"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1044","Чорнослив ваговий","120.00","70.00","204.00","1","0.59","70.32","119.54"
"2","1234","Арахіс ваговий сирий","120.00","70.00","204.00","1","0.50","60.00","102.00"
"3","20003166","Вівсянка німецька","28.00","30.00","37.00","0","0.00","0.00","0.00"
"4","4820001316308","кетчуп чілі 380 торчин","39.50","30.00","51.00","0","7.00","276.50","357.00"
"5","4820001316322","кетчуп до шашлику 380","39.50","30.00","51.00","0","5.00","197.50","255.00"
"6","4820001612950","Дріжджі первак 185 г","87.00","30.00","113.00","0","4.00","348.00","452.00"
"7","4820015101402","Суп ""Тетя Соня"" гороховы традиционный, брикет","29.00","24.14","36.00","0","19.00","551.00","684.00"
"8","4820043251506","Кисіль брикет СП  фруктово/ягідний 150г.","16.00","25.00","20.00","0","2.00","32.00","40.00"
"9","4820095390406","крохмаль кукурудзяний 200г","17.00","35.00","25.00","0","21.00","357.00","525.00"
"10","4820113380808","гриби шампіньйони "" Рио"" мариновані 280 мл.","56.50","27.00","73.00","0","1.00","56.50","73.00"
"11","4820132581019","Мюслі*Dr. Benner*кокос.кранчі 0.4кг.м/у","80.00","25.00","100.00","0","1.00","80.00","100.00"
"12","4820132581026","Кранчі *Д-р Беннер* Шоколадні 375г.м/у","80.00","25.00","100.00","0","3.00","240.00","300.00"
"13","4820143330941","вафельні коржі 250 пшенич","32.00","35.00","45.00","0","1.00","32.00","45.00"
"14","4820169833778","Кисіль плодовоягідний Дачка 150г","16.00","25.00","20.00","0","0.00","0.00","0.00"
"15","4820169833808","Кисіль вишня Дачка 150г","16.00","25.00","20.00","0","0.00","0.00","0.00"
"16","4820178461375","Норі Royal Tiger водорості для суші 11,5гр 4 шт","50.04","40.00","70.00","0","1.00","50.04","70.00"
"17","4820178461382","Листи Норі 8 листів ROYAL TIGER","89.76","40.00","126.00","0","0.00","0.00","0.00"
"18","4820178462440","Royal tiger соус соєвий теріякі 200мл","38.64","40.00","54.00","0","4.00","154.56","216.00"
"19","4820187380254","Норі 5 листів mayami","56.00","25.00","70.00","0","0.00","0.00","0.00"
"20","4820211663773","Картопляне пюре Хуторок зі смаком грибів та зеленню 30г","10.00","30.00","13.00","0","0.00","0.00","0.00"
"21","4820211664961","Картопляне пюре зі смаком яловичини з овочами Хуторок 30г","10.00","30.00","13.00","0","0.00","0.00","0.00"
"22","4820244490056","Суп стакан мясо","19.00","31.58","25.00","0","2.00","38.00","50.00"
"23","4820244790804","Капуста морська Бабусине літо Ревега 300г","37.00","31.58","55.00","0","0.00","0.00","0.00"
"24","4823039011597","Закуска бутербродна з індичкою та томатами 200г Горянка","42.00","30.92","56.00","0","1.00","42.00","56.00"
"25","4823039011665","Закуска бутербродна З телятиною та аджикою 200г Горянка","42.00","30.92","56.00","0","1.00","42.00","56.00"
"26","4823124600996","Квасоля в томатному соусі ТМ Banka 500 г скло","52.92","35.00","71.00","0","0.00","0.00","0.00"
"27","4823124604208","Суп з вермішеллю грибний Хуторок 18г","12.00","25.00","15.00","0","0.00","0.00","0.00"
"28","4823124604215","Суп з вермішеллю курячий Хуторок 18г","12.00","25.00","15.00","0","10.00","120.00","150.00"
"29","4823127300503","Соус соєвий класич ТМ Кітто 200мл","27.84","35.00","38.00","0","1.00","27.84","38.00"
"30","4823127307199","Картопляне пюре зі смаком сметани та зеленню Хуторок 30г","10.00","30.00","13.00","0","0.00","0.00","0.00"
"31","5901858000752","Кисіль полуниця еміх 40 г","10.50","50.00","16.00","0","37.00","388.50","592.00"
"32","5905709000199","Галеретка krawpak полуниця","12.00","50.00","18.00","0","19.00","228.00","342.00"
"33","7700000012197","Морква по корейськи 300г","29.00","40.00","50.00","0","1.00","29.00","50.00"
"34","8007290320766","Канелони Granoro 250гр Италия","62.00","24.19","77.00","0","1.00","62.00","77.00"
"35","8015997010750","Печенье SAVOIARDI Regina 400гр Италия","104.00","25.00","130.00","0","0.00","0.00","0.00"

