"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1148","Грудинка українська свинна Ходорів","263.00","40.00","370.00","1","0.00","0.00","0.00"
"2","1149","Крила курячі копчено-варені гриль Ходорів","176.00","40.00","247.00","1","0.42","73.22","102.75"
"3","1195","Ребра делікатес забіяка","156.00","30.13","203.00","1","0.01","1.87","2.44"
"4","1196","сало країнське","233.00","30.04","303.00","1","0.00","0.70","0.91"
"5","1197","Полядвиця","341.30","35.00","470.00","1","0.00","0.00","0.00"
"6","1198","Філе куряче копчено-варене забіяка","301.00","30.23","392.00","1","0.00","0.00","0.00"
"7","1203","Шпондер копчений","280.00","29.64","363.00","1","0.00","0.00","0.00"
"8","1206","Шинка домаш відкрита","291.00","44.33","420.00","1","0.03","7.57","10.92"
"9","1215","Продукт з м'яса птиці копчено-варений ""Крила курячі"" (в/у 0,8кг) Мясна історія","192.12","40.00","269.00","1","0.00","0.00","0.00"
"10","1240","Бочок домашній в с ходорів","289.50","35.00","391.00","1","1.10","317.29","428.54"
"11","1241","Гомілка куряча копч ходорів","228.00","40.00","320.00","1","0.00","0.00","0.00"
"12","1283","чіпси мясні зі свинини з медом та імбиром раневичі","775.00","60.00","1,240.00","1","0.22","168.95","270.32"
"13","1293","грудинка домаш раневичі","260.00","40.00","364.00","1","0.44","113.88","159.43"
"14","2202529706144","Бекон в/с зі свинини ТМ мясна історія","290.40","40.00","407.00","1","0.00","0.00","0.00"
"15","2304232003944","Шоковина пряна Червна калина","189.24","35.00","255.00","1","0.00","0.00","0.00"
"16","2995050002617","Грудинка козацька зі свинини забіяка","312.00","30.13","406.00","1","0.00","0.00","0.00"
"17","4820021573491","Слайси зі свинини хамон 0.8","1,029.60","50.00","1,544.40","1","0.31","319.18","478.76"
"18","4820191370241","Паштет мясний До сніданку 150 г Забіяка","41.16","35.00","56.00","0","0.00","0.00","0.00"
"19","4820211664756","Паштет печінковий Хуторок 130г","25.00","32.00","33.00","0","0.00","0.00","0.00"
"20","4820211664763","Паштет вершковий Хуторок 130г","25.00","28.00","32.00","0","2.00","50.00","64.00"
"21","4820246260121","Кабаноси ковбаски сиро-копчені з м'яса птиці саляміні чікен чедр М'ясна історія 70г","52.44","35.00","73.00","0","0.00","0.00","0.00"
"22","4820246260138","Кабаноси ковбаски сиро-копчені з м'яса птиці саляміні чікен оригінал М'ясна історія 70г","52.44","35.00","73.00","0","3.00","157.32","219.00"
"23","4822005002058","Паштет печінковий Ходорів 100г","40.50","38.00","56.00","0","1.00","40.50","56.00"
"24","4822005007961","Паштет Мясний Ходорів","42.00","35.00","58.00","0","0.00","0.00","0.00"
"25","4823124603379","Кабаноси ковбаски варено-копчені з яловичини 40г","36.00","30.56","47.00","0","1.00","36.00","47.00"
"26","4823124603454","Кабаноси ковбаски варено-копчені з м'яса птиці 40г","50.00","30.00","65.00","0","0.00","0.00","0.00"
"27","5900331026616","Паштет дуда 300гр","30.00","35.00","40.00","0","0.00","0.00","0.00"
"28","7700000012296","Крила курячі запечені гриль уп Ходорів","176.00","40.00","246.00","1","0.00","0.00","0.00"
"29","7700000012302","Ребра беконні вк вс Ходорів","362.00","35.00","488.00","1","0.00","0.00","0.00"
"30","7700000012500","бочок грудинка копчений олесинська","339.00","38.00","468.00","1","0.00","0.00","0.00"

