"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","2020614779015","Зошит клітинка 48","13.50","50.00","20.00","0","20.00","270.00","400.00"
"2","2020614783012","Зошит клітинка 36","10.00","50.00","15.00","0","16.00","160.00","240.00"
"3","5909584156422","Термос Edenberg EB 642","290.00","43.10","415.00","0","0.00","0.00","0.00"
"4","6902017751804","Электрочайник Grunhelm EKS-7518 1,8л 2000Вт дисковий *65882","260.00","53.85","400.00","0","0.00","0.00","0.00"
"5","6903317419371","крейда груба 4709","60.00","100.00","120.00","0","5.00","300.00","600.00"
"6","6935777690601","Крейда кольорова 6 кольорів джумбо","30.00","55.00","50.00","0","0.00","0.00","0.00"
"7","6942205288170","Фонарь ручной светодиод. аккумуляторный YJ-2833 1+12 LED","210.00","52.38","320.00","0","1.00","210.00","320.00"
"8","6957202441077","блокнот а5 80арк спіраль галограма","38.00","100.00","76.00","0","0.00","0.00","0.00"
"9","7700000011664","Стартовий пакет Київстар","410.00","9.76","450.00","0","4.00","1,640.00","1,800.00"
"10","7700000011671","Стартовий пакет Лайфсел","320.00","10.19","400.00","0","1.00","320.00","400.00"
"11","7700000012593","Пляшка (бутилка)під розлив 1.5","7.60","50.00","10.00","0","0.00","0.00","0.00"
"12","7700000012609","Пляшка (бутилка) під розлив 2.0","8.35","40.00","10.00","0","35.00","292.25","350.00"

