"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","3014260101503","Зубна щітка орал бі чорна ( три штуки)медіум","108.14","47.96","160.00","0","2.00","216.28","320.00"
"2","4260363470001","Презервативы с силиконовой смазкой классические","40.00","65.00","66.00","0","1.00","40.00","66.00"
"3","4260363470032","Презервативы  пупырчатые в силиконовой смазке доттед","30.00","120.00","66.00","0","1.00","30.00","66.00"
"4","4305615614076","Ісана піна для гоління сенсетів 300 мл","73.00","35.00","99.00","0","2.00","146.00","198.00"
"5","4311501499559","Зуб. щетка Элкос Дентал Миттел средняя","45.00","55.56","70.00","0","1.00","45.00","70.00"
"6","4744246013047","ватні диски 150+25 леді котон","65.00","60.00","104.00","0","9.00","585.00","936.00"
"7","4820003837443","Рушники паперові диво","25.00","50.00","38.00","0","4.00","100.00","152.00"
"8","4820077390035","Серветка *Алуспак* В асор-ті 100шт.","13.00","100.00","26.00","0","3.00","39.00","78.00"
"9","4820087823165","серветки вологі з екстр морський бриз нені","0.01","200.00","20.00","0","5.00","0.05","100.00"
"10","4820102052952","Пакети для сміття SWEET HOME еко 240л 10шт","115.00","50.00","173.00","0","3.00","345.00","519.00"
"11","4820185120371","Пакети для сміття 120 л ТМ Super Luxer","25.00","50.00","38.00","0","0.00","0.00","0.00"
"12","4820210640614","одеколон деш 80","18.00","100.00","36.00","0","7.00","126.00","252.00"
"13","4987176102232","запаска джілєт мак 3","60.83","60.00","100.00","0","12.00","729.96","1,200.00"
"14","5410076561834","Шамп пантін інтенсивне відновлення 400 мл","122.30","35.73","166.00","0","1.00","122.30","166.00"
"15","7501056349288","мило дав 135 пінк","50.00","35.00","68.00","0","0.00","0.00","0.00"
"16","7700000010889","Зажим для волосся","15.00","66.67","25.00","0","2.00","30.00","50.00"
"17","7700000010896","Невидимки для волосся 10 шт","4.00","100.00","8.00","0","1.00","4.00","8.00"
"18","7700000010933","Мочалка жорстка Bathtowel","25.00","80.00","45.00","0","0.00","0.00","0.00"
"19","7700000010957","Пилочка ля нігтів Zinger","10.00","100.00","20.00","0","3.00","30.00","60.00"
"20","7700000010964","Пенза мні з щіткою","12.00","108.33","25.00","0","0.00","0.00","0.00"
"21","7700000010971","Пенза більша різностороння","20.00","100.00","40.00","0","0.00","0.00","0.00"
"22","8001090533869","Олд спайс гель для душу+ шамп 2 в 1 Беарглов 400 мл","121.90","64.07","200.00","0","0.00","0.00","0.00"
"23","8001090542922","Олд спайс гель для душу + шампунь 2в1 Кептан 250 мл","88.05","40.00","123.00","0","1.00","88.05","123.00"
"24","8006530171182","Шампунь хеден  400 мл","125.00","35.00","169.00","0","2.00","250.00","338.00"
"25","8006530275132","Шампунь пантін  інтенсивне відновлення 250 мл","99.19","35.09","134.00","0","1.00","99.19","134.00"
"26","8006540476758","Шампунь пантін  густе та міцне 400 мл","122.30","35.73","166.00","0","1.00","122.30","166.00"
"27","8006540559406","мило сейверг 90 класік","29.00","40.00","41.00","0","2.00","58.00","82.00"
"28","8006540818824","Олд спайс гель для душу  Кептан 1 л","253.50","40.00","355.00","0","1.00","253.50","355.00"
"29","8683210420268","Вологі серветки бебі белла 120 шт","38.00","37.00","52.00","0","6.00","228.00","312.00"
"30","8690506519094","мило дуру 1+1 зелений чай","15.20","50.00","23.00","0","20.00","304.00","460.00"
"31","8700216058155","Шамп пантін безкінечно довге 400 мл","122.30","35.73","166.00","0","1.00","122.30","166.00"
"32","8700216508896","пантін бальзам ополіск 275","130.00","35.00","177.00","0","1.00","130.00","177.00"
"33","8700216508957","Пантін бальзам опол long","130.00","35.00","177.00","0","1.00","130.00","177.00"
"34","8700216610933","Олд спайс гель для душу+ шампунь Беарглов 1 л","253.50","40.00","355.00","0","1.00","253.50","355.00"
"35","8700216749497","Зубна щітка орал бі Кідс екстра мяка 1 шт","64.58","50.20","97.00","0","2.00","129.16","194.00"
"36","8700216821124","Пантін бальзам ополіск Smooth","130.00","35.00","177.00","0","1.00","130.00","177.00"
"37","8700216856812","Олд спайс гель для душу + шампунь Вайтвотер 400 мл","123.16","40.00","172.00","0","1.00","123.16","172.00"
"38","8700216859820","Олд спайс гель для душу+шамп Кептан 400 мл","121.90","64.07","200.00","0","0.00","0.00","0.00"
"39","8700216875615","Олд спайс Гель для душу+шамп 2 в 1 Найтпантер 400 мл","121.90","64.07","200.00","0","0.00","0.00","0.00"
"40","8712561538077","мило dove 90гр","40.00","35.00","54.00","0","2.00","80.00","108.00"
"41","8720181455940","CLEAR MEN шампунь чол. Баланс жирності 360мл","160.00","35.00","216.00","0","1.00","160.00","216.00"
"42","8720181455964","Clear шампунь проти лупи для чоловіків 360 мл щоденнний захист","160.00","35.00","216.00","0","1.00","160.00","216.00"
"43","8720633004436","Крем Бархатні ручки Свіжість кактуса","50.00","40.00","70.00","0","2.00","100.00","140.00"

