"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1119","Батончики ""Candy Nut"" рошен","214.55","35.00","290.00","1","0.93","199.96","270.28"
"2","3800020417577","НЕСТЛЕ батончик КітКат  40г Молочний шоколад","26.00","40.00","35.00","0","5.00","130.00","175.00"
"3","3800020418345","Батончик КитКат в молочном шокол. 64г","40.00","30.23","60.00","0","2.00","80.00","120.00"
"4","4000281349504","драже веган 215г","80.00","40.00","112.00","0","2.00","160.00","224.00"
"5","40084107","Яйця Кіндер універс","43.80","40.00","62.00","0","0.00","0.00","0.00"
"6","4009900460187","Скітлс жув.цукерки 38г Лісові Ягоди","27.00","29.63","35.00","0","1.00","27.00","35.00"
"7","4820005196180","Драже ""Родзинки у молочному шоколаді""  Boom choc 45г","17.50","40.00","26.00","0","7.00","122.50","182.00"
"8","4820042652137","Арахіс у какао порошку","23.89","40.00","35.00","0","6.00","143.34","210.00"
"9","4820113920059","Вітамін С Асковіт полуниця","12.00","25.00","15.00","0","11.00","132.00","165.00"
"10","4820157494271","Печ. Тінь сонця 1.6кг Toniya","162.73","35.00","220.00","1","0.16","26.69","36.08"
"11","4820195090701","Батончик *Еден Джой* Кокос 40г.(ЖКФ)","14.00","28.57","18.00","0","3.00","42.00","54.00"
"12","4820208388306","Драже родз.""Намистинки"" 130г","30.00","33.33","40.00","0","7.00","210.00","280.00"
"13","4820225850428","Драже Олівець","8.50","80.00","15.00","0","0.00","0.00","0.00"
"14","4820270930021","Шоколадне драже ""Пес Патрон"" олівець","15.00","33.33","20.00","0","1.00","15.00","20.00"
"15","4820289981458","Драже арахіс ""фірмовий"" Tonya 80г","22.00","27.27","28.00","0","11.00","242.00","308.00"
"16","4823000918672","Батончик лайн 42г","22.65","40.00","32.00","0","8.00","181.20","256.00"
"17","4823000918719","Батончик *Лайон* Стандарт 42г.(Нестле)","19.00","40.00","27.00","0","3.00","57.00","81.00"
"18","4823077613630","Батончик ""Рошен"" молочно-шоколадний, крем-брюле (синій) 43г","17.60","35.00","25.00","0","20.00","352.00","500.00"
"19","4823077630736","Чупа чупс Loli Pops рошен","3.13","200.00","10.00","0","35.00","109.55","350.00"
"20","4823077643781","Шоколад лакмі 270 тірамісу","140.95","35.00","190.00","0","0.00","0.00","0.00"
"21","4823077651182","Батончик рошен труфель  40 г","17.60","50.00","26.00","0","0.00","0.00","0.00"
"22","4823088614596","Батончик соло бісквіт вишня конті","317.16","35.00","428.00","1","0.68","216.94","292.75"
"23","5000159376655","Драже скітелс 38 г","22.60","40.00","32.00","0","14.00","316.40","448.00"
"24","5000159376792","Цукерки Драже ""Скітлс"" кисло мікс (зелений) 38г","24.50","50.00","37.00","0","1.00","24.50","37.00"
"25","5000159542890","Драже горіхове MnMs 45г арахіс","35.20","40.00","50.00","0","8.00","281.60","400.00"
"26","5000159550567","MilkyWay малий 22г","19.00","31.58","25.00","0","0.00","0.00","0.00"
"27","5000159557610","Баунті мале  57г","31.00","29.03","40.00","0","0.00","0.00","0.00"
"28","5000159558259","Баунті 57г","29.15","40.00","42.00","0","7.00","204.05","294.00"
"29","5900951297212","Драже шоколад MnMs 45г молочний шоколад","40.00","25.00","50.00","0","0.00","0.00","0.00"
"30","5900951310621","Снікерс малий 53г","26.80","35.00","37.00","0","0.00","0.00","0.00"
"31","5900951310935","Снікерс великий 100г","53.80","29.31","75.00","0","8.00","430.40","600.00"
"32","5900951310959","Батончик снікерс 112,5","53.55","35.00","75.00","0","1.00","53.55","75.00"
"33","5900951311260","Марс великий 100г","38.00","31.58","50.00","0","1.00","38.00","50.00"
"34","5900951311505","Батончик ""Снікерс"" 50 г","27.00","35.00","36.00","0","0.00","0.00","0.00"
"35","5900951311710","Снікерс 50г батончик","24.70","32.14","38.00","0","14.00","345.80","532.00"
"36","5900951312250","Твікс 75г","37.75","40.00","53.00","0","7.00","264.25","371.00"
"37","5900951313592","Twix 50гтвікс","25.20","40.00","35.00","0","3.00","75.60","105.00"
"38","5902978002732","Горошки клоун оригінал","19.00","40.00","27.00","0","10.00","190.00","270.00"
"39","5902978020194","польське драже ""Клоун"" жовте","20.00","25.00","25.00","0","0.00","0.00","0.00"
"40","5907437365489","Кульки міямі польща 500 г","63.80","35.00","86.00","0","3.00","191.40","258.00"
"41","6929309989097","Драже Kiss Candy зі смаком мяти","5.00","200.00","15.00","0","0.00","0.00","0.00"
"42","6971066333859","Драже тік-так","5.50","70.00","10.00","0","0.00","0.00","0.00"
"43","7613034120151","Батончик лайн білий малий","20.00","25.00","25.00","0","0.00","0.00","0.00"
"44","7613036731713","Батончик Лайон Кінг Сайз Lion 90г Арахіс 2+1 (Nestle)","38.00","31.58","50.00","0","1.00","38.00","50.00"
"45","7622201127206","паста мілка 350г","115.00","40.00","161.00","0","1.00","115.00","161.00"
"46","7622201762032","Батончик ""Picnic"" з крамельною  начинкою 48г","27.00","25.93","34.00","0","2.00","54.00","68.00"
"47","7700000012180","Батончик твікс 50 г","24.70","35.00","35.00","0","0.00","0.00","0.00"
"48","80135890","кіндер джой хлоп дівч 20г","57.50","40.00","81.00","0","0.00","0.00","0.00"
"49","80310891","кіндер джой робот 20г","65.00","45.00","94.00","0","0.00","0.00","0.00"
"50","80768258","Яйце шоколадне Кіндер Джой з ігруш дівчат","53.60","40.00","83.00","0","5.00","268.00","415.00"

