"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820048487351","Lady Cotton Палички ватні в п/пакеті 100шт. //50","15.00","66.67","25.00","0","0.00","0.00","0.00"
"2","4820048487368","Lady Cotton Палички ватні в п/пакеті 200шт. //50 вухочистка","33.50","100.00","67.00","0","4.00","134.00","268.00"
"3","4820087822687","Серветки вологі антибак з Д -пантенол ТМ NENI","0.01","0.00","15.00","0","0.00","0.00","0.00"
"4","4820180240500","бинт 5 на 10","6.50","150.00","20.00","0","10.00","65.00","200.00"
"5","4820180240654","вата нестерильна 50 г","10.00","100.00","20.00","0","0.00","0.00","0.00"
"6","4820180240661","Вата медична  Білосніжка 100 г","20.00","100.00","40.00","0","15.00","300.00","600.00"
"7","4820180240746","відріз марлевий 5м","63.00","66.67","105.00","0","5.00","315.00","525.00"
"8","4820185412711","Бинт марлевий 5м","10.00","100.00","20.00","0","1.00","10.00","20.00"
"9","4823071621402","Lady cotton Гігієнічні ватні палочки, 300 шт.","40.00","75.00","70.00","0","1.00","40.00","70.00"
"10","5908272618181","Ватні диски be beauty aloe vera 120","29.50","66.67","50.00","0","0.00","0.00","0.00"
"11","5908272618198","Спонжики  120 be beauti","29.50","50.00","45.00","0","1.00","29.50","45.00"
"12","6949427800036","Зубочистки в контейнері","8.00","150.00","20.00","0","0.00","0.00","0.00"
"13","6971221501222","пластир шт","1.00","400.00","5.00","0","26.00","26.00","130.00"
"14","6994670810332","Вухочистка деревяна в банці 89106","14.00","100.00","28.00","0","1.00","14.00","28.00"

