"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820000944748","Вино ореанда мускат 1,5 л Бпсол","123.50","35.00","167.00","0","3.00","370.50","501.00"
"2","4820000946735","Вино ореанда ПінНуар 1,5 л Чпсол","123.50","35.00","167.00","0","2.00","247.00","334.00"
"3","4820001726336","Вино""КагорМилосердя""0,7л","85.00","25.88","107.00","0","2.00","170.00","214.00"
"4","4820004385219","Вино""ФБ""Каберне""селект червоне cухе 0,75л/6пл","100.00","28.00","128.00","0","0.00","0.00","0.00"
"5","4820004385233","Вино""ФБ""Шардоне""селект біле cухе 0.75л/6пл","100.00","28.00","128.00","0","2.00","200.00","256.00"
"6","4820004920304","Вермут Маренго б дес Кобл 1 л","178.90","30.00","233.00","0","1.00","178.90","233.00"
"7","4820016631687","Вино Тамянка Марінталь  напівсолодке біле 1 л ТМ Котовський винзавод","63.00","25.40","79.00","0","1.00","63.00","79.00"
"8","4820016631953","Вино ""Котовський"" Кагор Український десертне червоне (штоф) 0,7л","84.00","30.00","109.00","0","2.00","168.00","218.00"
"9","4820016631960","Вино ""Котовський"" Кагор Український десертне червоне 0,7л","73.40","30.00","95.00","0","2.00","146.80","190.00"
"10","4820016632547","Вино КВЗ ПАЧ""МіцнеПівд""біле1","63.00","25.40","79.00","0","1.00","63.00","79.00"
"11","4820189290216","ВиноАзнауріАлазДолЧ/псол0,75","96.20","30.00","125.00","0","0.00","0.00","0.00"
"12","4820189290223","ВиноАзнауріАлазДолБ/псол0,75","96.20","30.00","125.00","0","1.00","96.20","125.00"
"13","4820189290629","Вино ігр Азнаурі БілБрют 0,75 л","146.00","35.00","197.00","0","1.00","146.00","197.00"
"14","4820189290896","Вино Aznauri Rose напівсолодке рожеве 9-13%","96.20","30.00","125.00","0","1.00","96.20","125.00"
"15","4820197560240","Вино виноградне ординарне столове червоне напівсолодке ""Болград"" ТМ ""Bolgrad Granato Rosso"" 0,75л4820210843794","94.02","30.00","125.00","0","3.00","282.06","375.00"
"16","4820197560271","Вино ординарне столове напівсолодке біле ""Болград"" ТМ ""Bolgrad Bianco Dolce"" 0,75л","92.34","30.00","123.00","0","2.00","184.68","246.00"
"17","4820197560899","Вино виноградне ординарне столове напівсолодке рожеве ""Болград""","93.90","30.00","123.00","0","4.00","375.60","492.00"
"18","4820197561858","Вино ординарне столове сухе біле «Дуо» 0,75 л","156.00","25.00","195.00","0","0.00","0.00","0.00"
