"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","2004656185041","лаваш вірмен ходорів 0.26","24.00","50.00","36.00","0","7.00","168.00","252.00"
"2","4820180814787","Виріб хлібобулочний здобний Паска з цукром CULTUA","51.00","27.45","65.00","0","0.00","0.00","0.00"
"3","4820191020122","макова начинка 500г велес","45.50","30.00","59.00","0","1.00","45.50","59.00"
"4","4820252360068","фольга джміль 20м","16.00","100.00","32.00","0","9.00","144.00","288.00"
"5","4823074613503","Роліні сосиска","20.09","50.00","32.00","0","20.00","401.80","640.00"
"6","4880201379176","папір пергамент смачне життя 50м","120.00","70.00","204.00","0","4.00","480.00","816.00"
"7","5901858001407","Полива шоколад emix","35.00","40.00","49.00","0","10.00","350.00","490.00"
"8","5904474260647","Будінг польський  сметанковий 41 г","8.00","50.00","12.00","0","30.00","240.00","360.00"
"9","7700000011343","Роліні вишня-шоколад","26.78","50.00","40.00","0","2.00","53.56","80.00"
"10","7700000011350","Роліні курка","21.48","50.00","33.00","0","12.00","257.76","396.00"
"11","7700000011367","Роліні  гриби","20.00","50.00","30.00","0","0.00","0.00","0.00"
"12","7700000011374","Роліні Сир та зелень","20.00","50.00","30.00","0","6.00","120.00","180.00"
"13","7700000011381","Роліні шпинат","19.53","50.00","31.00","0","10.00","195.30","310.00"
"14","7700000011411","Піца з грибами","136.08","25.00","200.00","0","5.00","680.40","1,000.00"
"15","7700000011428","Піца з ковбасою","127.26","25.00","200.00","0","3.00","381.78","600.00"
"16","7700000011954","Самса з курячим м'ясом","17.20","76.47","33.00","0","0.00","0.00","0.00"

