"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1055","Тушка копчена","250.00","30.00","325.00","1","0.00","0.00","0.00"
"2","3482210000211","Форель с/с 100г нарізка Рибна фішка","123.00","30.08","160.00","0","0.00","0.00","0.00"
"3","4820021572630","Мясо курки солоно-сушене пікантне Теплі моря","838.32","50.00","1,400.00","1","1.06","885.27","1,478.40"
"4","4820021572951","Лососева соломка зі смаком варених раків солоно-сушена Теплі моря","462.00","29.87","600.00","1","0.19","87.78","114.00"
"5","4820034100226","Палички кукур.*Молочні* 180г.(Стар)","24.00","30.00","32.00","0","5.00","120.00","160.00"
"6","4820186340143","Консерва Паста горіхова ""Чокофіні"" (стакан) 400г","67.00","30.00","88.00","0","2.00","134.00","176.00"
"7","4820188730348","Пряник королівський Ласка","123.00","30.89","161.00","1","0.01","0.98","1.29"
"8","4820191762251","Гель для прання ONIX 5л","180.00","35.00","243.00","0","0.00","0.00","0.00"
"9","4820192660570","Кукурудза ""Рання насолода"" 50г","16.00","56.25","25.00","0","2.00","32.00","50.00"
"10","4820195509807","Мило дитяче шарм 70г","9.00","66.67","15.00","0","0.00","0.00","0.00"
"11","4820207591905","Дитячі вологі серветки Summer fresh 120","28.50","40.35","40.00","0","0.00","0.00","0.00"
"12","4820208383103","Тістечка святкові енджой","261.53","35.00","353.00","1","0.00","0.00","0.00"
"13","4820237500540","Салфетка волога мала","3.80","163.16","10.00","0","2.00","7.60","20.00"
"14","4823039004629","Крем на сирній основі  Крем Класік 160гр.","39.48","35.00","55.00","0","3.00","118.44","165.00"
"15","4823039010934","Закуска бутербродна з куркою на грибами Бутербродиво 200г","42.00","33.00","56.00","0","0.00","0.00","0.00"
"16","4823039010941","Закуска бутербродна з шинкою по мексиканськи Бутербродиво 100г","21.72","31.82","30.00","0","1.00","21.72","30.00"
"17","4823039011580","Закусна бутербродна з індичкою та томатами Бутербродиво 100г","21.72","31.82","30.00","0","2.00","43.44","60.00"
"18","4823039011658","Закуска бутербродна з телятиною та аджикою Бутербродиво 100","21.72","31.82","30.00","0","1.00","21.72","30.00"
"19","4823127308455","Паштет курячий Хуторок 130г","38.00","31.58","50.00","0","0.00","0.00","0.00"
"20","5906453734767","Паштет JBB 300г","31.00","29.03","40.00","0","0.00","0.00","0.00"
"21","7700000011770","Тушонка свинна домашня(Іван)","130.00","30.14","200.00","0","14.00","1,820.00","2,800.00"
"22","7700000011787","М'ясо мідії Улов в олії зі спеціями 180г","62.00","29.03","80.00","0","0.00","0.00","0.00"
"23","7700000011800","Смалець 400г пласмаса","50.00","30.00","65.00","0","0.00","0.00","0.00"
"24","7700000011817","Смалець зі шкварками 400г","50.00","30.00","65.00","0","1.00","50.00","65.00"
"25","7700000011862","1 кг овоч. Нептун","180.00","27.78","230.00","0","0.00","0.00","0.00"
"26","7700000011879","Риба Ювілейна 0.180","80.00","25.00","100.00","0","0.00","0.00","0.00"
"27","7700000011923","Фумігатор (від комарів)","30.00","133.33","70.00","0","4.00","120.00","280.00"
"28","80040248","Тунець Rio Mare в олії 52г","71.00","29.58","92.00","0","0.00","0.00","0.00"
"29","8018708964342","Салата мікс bugir italy 100g в пластмасі","45.00","40.00","63.00","0","0.00","0.00","0.00"
"30","8436000934816","Оливки скло La tortola Barbacoa 370г","111.72","1,172.73","140.00","0","1.00","111.72","140.00"

