"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","080686021957","Лікер""Джим Бім Епл"" 0,5","560.00","29.46","725.00","0","1.00","560.00","725.00"
"2","091128841118","Віскі Scottis Collieз двома склянками 0,7л","563.40","30.00","740.00","0","0.00","0.00","0.00"
"3","3107872000507","Віскі""WilliamPeelBlendScotch""0,7","300.00","28.33","385.00","0","0.00","0.00","0.00"
"4","4823112500031","Напій алк. Блек Дак 0,5л","100.00","25.00","125.00","0","1.00","100.00","125.00"
"5","4823112500178","Нап""Блек Duck Сільвер""0,5","100.00","29.00","129.00","0","3.00","300.00","387.00"
"6","4823112500253","Нап""Солод""БлекDuckЯблуко""0,5","100.00","27.00","127.00","0","0.00","0.00","0.00"
"7","4860110960788","БрендіГр""Lekso""4*0,5л","205.00","24.88","256.00","0","0.00","0.00","0.00"
"8","4860110960795","БрендіГр""Lekso""5*0,5л","212.00","25.00","265.00","0","1.00","212.00","265.00"
"9","5000267014401","Віскі""Джоні Уокер""ред0.5","540.00","29.63","700.00","0","1.00","540.00","700.00"
"10","5000281025360","АлкНапКептанМорСпайс0,5","332.40","35.00","488.00","0","1.00","332.40","488.00"
"11","5000299223017","АлкНапКептанМорСпайсГол 0.7","469.00","30.00","610.00","0","1.00","469.00","610.00"
"12","5000299606728","Віскі""Балантайз""0.5л","450.00","25.56","565.00","0","0.00","0.00","0.00"
"13","5000387905634","Віскі Bells Original 0,7л(12) кор","349.00","40.00","500.00","0","1.00","349.00","500.00"
"14","5000387905771","Віскі Bells Original 0,5л (12)","269.30","35.00","460.00","0","1.00","269.30","460.00"
"15","5010327906676","Віскі Scottish Collie 0,7л","344.76","30.00","450.00","0","1.00","344.76","450.00"
"16","5010327946504","Віскі Scottish Collie, 0.5 л","285.00","27.14","360.00","0","0.00","0.00","0.00"
"17","5010677740203","НапЛікГорРомБакарОакхарт1л","510.00","25.49","640.00","0","0.00","0.00","0.00"
"18","5011007015534","Віскі""Джемесон"" 0,5","519.00","30.00","675.00","0","1.00","519.00","675.00"
"19","5099873046067","Віскі ""Jack Daniels""  0,5 л. 40%","601.86","31.00","789.00","0","1.00","601.86","789.00"
"20","5099873089798","Віскі""Джек Деніелс""0,7л","680.00","27.65","868.00","0","0.00","0.00","0.00"
"21","8006063007248","Віскі блендований ТМ""Крейзі Чарлі""0,7л білий","307.08","28.00","393.00","0","0.00","0.00","0.00"
"22","8006063007439","Віскі Крейзі чарлі блендований чорна етикетка 0,7 л.","307.08","28.00","393.00","0","1.00","307.08","393.00"
"23","8006063902017","Алкогольний напій на основі віскі з медовим смаком ТМ ""Беррі Бернард"" 0,7л","262.26","25.08","384.00","0","0.00","0.00","0.00"
"24","8006063902031","Віскі блендовий  ТМ ""Беррі Бернард"" 0,5л","200.76","30.00","261.00","0","1.00","200.76","261.00"
"25","8006063902048","Віскі бленд Беррі Бернард 0,7","250.32","25.00","315.00","0","0.00","0.00","0.00"
"26","8006063902109","Ром Блек Бей  Silver 0,7л","235.00","31.06","308.00","0","1.00","235.00","308.00"
"27","8053782390076","Алкогольний напій на основі віскі Баррі Бернард Спайс 0.7 л","262.50","30.00","341.00","0","1.00","262.50","341.00"
"28","8053782390502","Віскі блендовий ТМ Крейзі Чарлі 0.7 л чорна етикетка сувенірка","370.26","28.00","474.00","0","1.00","370.26","474.00"

