"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820004160069","Горілка ""Слава"" (ЛьвівЛГЗ/г14) 0,5л","105.00","30.00","137.00","0","3.00","315.00","411.00"
"2","4820004160625","Горілка ""Слава"" 0,05л","16.00","30.00","21.00","0","6.00","96.00","126.00"
"3","4820004160991","Горілка ""Слава"" (ЛьвівЛГЗ/г14) 0,25л","55.00","30.00","72.00","0","3.00","165.00","216.00"
"4","4820004162094","Горілка ""Львівська горілка. Шляхетна"" 0,5л","108.00","30.00","140.00","0","5.00","540.00","700.00"
"5","4820004162100","Горілка ""Львівська горілка. Шляхетна"" 0,7л","147.00","25.17","184.00","0","2.00","294.00","368.00"
"6","4820004162537","Горілка ""Львівська горілка. Шляхетна"" 0,25л","58.00","30.00","75.00","0","3.00","174.00","225.00"
"7","4820004162889","Горілка ""Львівська горілка. Шляхетна"" 0,10л","24.00","30.00","32.00","0","7.00","168.00","224.00"
"8","4820004163640","Горілка ""Слава"" (ЛьвівЛГЗ/г14) 0,375л","79.00","30.00","103.00","0","3.00","237.00","309.00"
"9","4820004163701","Горілка ""Львівська горілка. Шляхетна"" 0,375л","85.00","30.00","111.00","0","3.00","255.00","333.00"
"10","4820004163923","Горілка ""Лемберг"" (TM Lemberg)0,5л","111.00","30.00","145.00","0","3.00","333.00","435.00"
"11","4820004164562","Горілка особлива ""Вишукана"" (TM Lemberg)0,35л","76.50","30.00","99.00","0","2.00","153.00","198.00"
"12","4820004164906","Горілка ""Лемберг"" (TM Lemberg)0,75л","175.00","30.00","228.00","0","3.00","525.00","684.00"
"13","4820004165033","Горілка ""Лемберг"" (TM Lemberg)0,2л","46.00","30.00","60.00","0","5.00","230.00","300.00"
"14","4820024229098","Гор""Зелений день""0,2","46.00","26.09","58.00","0","2.00","92.00","116.00"
"15","4820050230075","Горілка ТМ Гетьман Львів 0.7л Преміум Сагайдачний (рейсталінг)","191.52","30.00","249.00","0","0.00","0.00","0.00"
"16","4820050231133","Гор""НАЛИВАЙКО""За волю""НОВИЙ диз 40% 0.5л/20пл","72.90","37.00","100.00","0","0.00","0.00","0.00"
"17","4820050231140","Гор""Наливайко""За волю""40% 0.25л/30пл","42.36","30.00","55.00","0","1.00","42.36","55.00"
"18","4820050231164","Гор наливайко за долю 40% 0,250 л","40.40","30.00","55.00","0","2.00","80.80","110.00"
"19","4820050232741","Перлова Преміум Чорна 0.5л","95.94","25.08","120.00","0","2.00","191.88","240.00"
"20","4820050232758","Перлова легка  0.5 горілка","90.60","25.83","114.00","0","2.00","181.20","228.00"
"21","4820050233038","Горілка Гетьман 0,5л. 40%","141.54","28.00","182.00","0","4.00","566.16","728.00"
"22","4820050233090","ГОРІЛКА НАЛИВАЙКО 100ГР","21.54","32.00","30.00","0","13.00","280.02","390.00"
"23","4820050233816","Гор. Гетьман 1л ( сіра)","260.76","28.00","334.00","0","2.00","521.52","668.00"
"24","4820050233922","Горілка Гетьман 40% 0.7 (сувенірна коробка )рейсталінг","276.18","30.00","359.00","0","1.00","276.18","359.00"
"25","4820050234516","Гор""Гетьман Айс"" 0,5л","141.54","30.00","184.00","0","4.00","566.16","736.00"
"26","4820050234660","Гор""Гетьман Айс"" 0,7л","191.52","30.00","249.00","0","5.00","957.60","1,245.00"
