"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","20267605","горіхи кешю 200г","115.00","40.00","161.00","0","2.00","230.00","322.00"
"2","3564700010136","арахіс токарі 500г","90.00","40.00","126.00","0","2.00","180.00","252.00"
"3","4056489150220","Alesto манго сушене 125","45.00","40.00","70.00","0","0.00","0.00","0.00"
"4","4820042810025","Фісташки Смажені 60г Біс-пак","43.00","40.00","63.00","0","0.00","0.00","0.00"
"5","4820055560115","Фісташки солені 45 г","48.39","40.00","68.00","0","1.00","48.39","68.00"
"6","4820087823318","Пшен.+карт. Скорпіон 50 г Снеки ТМ SNACK MOOD","16.70","40.00","24.00","0","0.00","0.00","0.00"
"7","4820182060670","Арахис ""Big Bob"" жар. соль. 30 г.","12.00","33.33","16.00","0","0.00","0.00","0.00"
"8","4820182069086","Big bob арахис сол 60г","22.62","38.10","33.00","0","1.00","22.62","33.00"
"9","4820182069116","Арахіс смажений смак бекон  ТМ BIG BOB 60","22.62","40.00","33.00","0","3.00","67.86","99.00"
"10","4820182069147","Арахіс  BIG BOB зі смаком сиру 70 гр","22.62","36.36","33.00","0","1.00","22.62","33.00"
"11","4820218090961","Арахіс смажений в хрцст.обол. МІХ 100г","20.07","40.00","28.00","0","0.00","0.00","0.00"
"12","4820218092859","Арахіс смажений в хр. оболон.з ароматом васабі 60 г","13.37","35.00","26.00","0","0.00","0.00","0.00"
"13","4820218092897","Арахіс смажений в хр. оболон.з ароматом сиру 60 г Rocky","13.20","35.00","20.00","0","3.00","39.60","60.00"
"14","4820218092934","Арахіс смажений в хрусткій оболонці зі смаком бекон ( родина)","19.28","35.00","30.00","0","3.00","57.84","90.00"
"15","4820218098912","Арахіс смаж в хруст обол королів краб","20.57","50.00","31.00","0","0.00","0.00","0.00"
"16","4820237810229","Арахіс до пива Козацька розвага 30г","16.00","37.50","22.00","0","0.00","0.00","0.00"
"17","4820253630405","Горішки бік-бок зі смаком васабі 55 г","20.16","48.81","33.00","0","0.00","0.00","0.00"
"18","4820253630429","Горішки бік-боб зі смаком сир 55 г","20.16","58.73","33.00","0","1.00","20.16","33.00"
"19","4820253630443","Горішки бік-бок зі смаком Телятина з аджикою 55 г","20.16","40.00","33.00","0","1.00","20.16","33.00"
"20","4820253630467","Горішки біг-боб зі смаком солодкий перець чилі 55 г","20.16","35.00","30.00","0","1.00","20.16","30.00"
"21","4820253632928","Арахіс BigBob сметана та зелень 60г","22.62","40.00","33.00","0","5.00","113.10","165.00"
"22","4820253633765","Big bob арахіс бастурма 60г","22.62","40.00","33.00","0","4.00","90.48","132.00"
"23","4820253633772","Арахіс BigBob васабі 60г","22.62","40.00","33.00","0","4.00","90.48","132.00"
"24","4820253633901","Big bob арахіс краб 60г","22.62","31.82","33.00","0","1.00","22.62","33.00"
"25","4820272981601","Арахіс смажений в хруст обол зі смак пряна паприка","0.01","0.00","22.00","0","0.00","0.00","0.00"
"26","4820284500104","Almaz ядро 100г","21.50","50.00","32.00","0","1.00","21.50","32.00"
"27","4820297640231","Арахіс смажений в шкаралупі Лускунчик 130 гр","37.76","35.00","53.00","0","12.00","453.12","636.00"
"28","4823127312179","Арахіс бік-бок томат спайсі 60 г","22.62","40.00","32.00","0","1.00","22.62","32.00"
"29","4823127312193","Біг-бог арахіс зі смаком білі гриби та сметана 60 г","22.62","33.00","33.00","0","2.00","45.24","66.00"
"30","7700000011145","Арахіс бекон у хрусткій оболонці ТМ Родина","23.00","30.43","30.00","0","0.00","0.00","0.00"
"31","7700000011152","Арахіс васабі у хрусткій оболонці ТМ Родина","19.54","40.00","30.00","0","7.00","136.78","210.00"
"32","7700000011589","Арахіс не смажений","138.00","30.43","180.00","1","0.00","0.00","0.00"
"33","7700000011930","Арахіс смажен. з сіллю","22.28","45.00","32.00","0","12.00","267.36","384.00"
"34","7700000012210","Арахіс смажен. в хрусткій оболонці сир 100г","19.01","50.00","29.00","0","1.00","19.01","29.00"

