"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820025660104","грінки з часн.і кропом Герчак 250г","58.00","24.14","85.00","0","2.00","116.00","170.00"
"2","4820088350028","Lekorna вафельні коржі","34.00","26.47","45.00","0","1.00","34.00","45.00"
"3","4820095740225","Грінки пшеничні Ладо 130 г","19.00","30.00","25.00","0","29.00","551.00","725.00"
"4","4820122281950","Pikkolo хлібці пшенично-рисові","19.00","25.00","25.00","0","21.00","399.00","525.00"
"5","4820122281967","Pikkolo хлібці пшенично-гречані","19.00","25.00","25.00","0","12.00","228.00","300.00"
"6","4820122282575","Pikkolo хлібці пшенично-кукурудзяні","20.00","25.00","25.00","0","4.00","80.00","100.00"
"7","4820122284197","Грінки тостові класичні pikkolo","34.00","26.47","43.00","0","4.00","136.00","172.00"
"8","4820122284272","Грінки тостові багатозернові Pikkolo","34.00","26.47","43.00","0","7.00","238.00","301.00"
"9","4820128030668","Арахіс фас 100 Кіра","15.50","50.00","24.00","0","10.00","155.00","240.00"
"10","4820245060050","Вафельні листи і бризолі 115 гр","39.00","40.00","55.00","0","1.00","39.00","55.00"
"11","5601560111189","Тости пшен. Мінігриль  90г","32.00","25.00","40.00","0","17.00","544.00","680.00"
"12","7700000011213","Тарталетки міні пісочні","26.00","26.92","33.00","0","0.00","0.00","0.00"
"13","7700000011220","Тарталетки великі пісочні","23.00","30.00","33.00","0","44.00","1,012.00","1,452.00"
"14","8005803010586","Грісіні Amor di Pane Gusto Pizza 125г Італія палички","49.00","50.00","74.00","0","2.00","98.00","148.00"
"15","8005803010661","Грізіні Amor di Pane езам 125г палички","49.00","50.00","74.00","0","3.00","147.00","222.00"

