"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","2201047401166","Чипси зі свинини Салтівський м'ясокомбінат 0,116г","122.00","30.33","159.00","0","0.00","0.00","0.00"
"2","4820182062537","ТМ Морські Путассу 20г","31.00","29.03","40.00","0","0.00","0.00","0.00"
"3","4820182062544","ТМ Морські Жовтий Полосатик 20г","31.00","29.03","40.00","0","0.00","0.00","0.00"
"4","4820182062568","1604160000^ ТМ Морські Анчоус 36","37.98","40.00","53.00","0","0.00","0.00","0.00"
"5","4820182063824","ТМ Морські Ставридка жовтохвоста сушена солона 36г","37.98","40.00","53.00","0","1.00","37.98","53.00"
"6","4820182063855","Філе путасу сушенесолоне з перцем янтарна з перцем ТМ морські  36 г","37.98","40.00","53.00","0","2.00","75.96","106.00"
"7","4820182067655","Тригла сушена солена ТМ морські 36 г","37.98","40.00","53.00","0","0.00","0.00","0.00"
"8","4823124600026","Джерки ""Шматочки яловичини"" ТМ ""La`Fileshka""","76.00","30.26","99.00","0","2.00","152.00","198.00"
"9","4823124600033","Джерки ""Шматочки свинини"" ТМ ""La`Fileshka""","65.00","30.77","85.00","0","1.00","65.00","85.00"
"10","4823124600064","Джерки ""Курка куряча в кунжуті"" ТМ ""La`Fileshka""","65.00","36.92","89.00","0","1.00","65.00","89.00"
"11","4823127312483","Кальмари сушені солоні ТМ ""Морські"" 15г","26.00","30.77","34.00","0","0.00","0.00","0.00"
"12","7700000012371","Таранка судак","650.00","60.00","1,040.00","1","0.08","50.70","81.12"
"13","7700000012388","Таранка окунь","550.00","60.00","900.00","1","1.00","550.00","900.00"
"14","7700000012463","чіпси свинина птиця вагові до пива","870.00","60.00","1,440.00","1","0.00","0.00","0.00"

