"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820055140225","Блискавка классик губка д/обуви мал бесцветная","27.00","48.15","40.00","0","2.00","54.00","80.00"
"2","4820055140331","Крем для взуття classic blyskavka","25.00","40.00","35.00","0","7.00","175.00","245.00"
"3","4820069608902","носки еко чол","17.00","55.00","26.00","0","6.00","102.00","156.00"
"4","4820101389042","КремДляВзуття Емол-NEW 90мл","25.00","44.00","36.00","0","11.00","275.00","396.00"
"5","4820185120968","Стрейч плівка 30 см","68.00","50.00","102.00","0","6.00","408.00","612.00"
"6","6972576875006","носки дитячі тонкі","26.00","60.00","42.00","0","0.00","0.00","0.00"
"7","8690757001089","Сільвер крем-блиск для взуття 50мл Коричневий банка","27.00","48.15","40.00","0","8.00","216.00","320.00"
"8","8690757001096","Сільвер крем-блиск для взуття 50мл Чорний банка","27.00","48.15","40.00","0","3.00","81.00","120.00"
"9","8690757001102","Silver Крем-блиск для взуття, безколірний, 50 мл","27.00","48.15","40.00","0","11.00","297.00","440.00"
"10","8690757002581","Фарба-відновлювач 300 мл Silver для нубуку та замші чорна аерозоль","98.00","40.00","140.00","0","1.00","98.00","140.00"

