"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4904530593437","Батарейка Тошіба R6","5.30","200.00","16.00","0","0.00","0.00","0.00"
"2","5000394141117","Батарейка Дюрасель R3","18.00","100.00","36.00","0","8.00","144.00","288.00"
"3","5000394172883","Батарейка Дюрасель R6","18.50","100.00","37.00","0","0.00","0.00","0.00"
"4","6902017201064","Батарейка Works AA","8.00","150.00","20.00","0","0.00","0.00","0.00"
"5","6902017290952","Батарейки лужні  АА / LR6W-45","14.00","42.86","20.00","0","0.00","0.00","0.00"
"6","6902017601062","Батарейка Works AAA","8.00","150.00","20.00","0","18.00","144.00","360.00"
"7","6902017690950","Батарейки лужні 1.5 B / AAA / LR03W-45","11.00","36.36","15.00","0","0.00","0.00","0.00"
"8","6941335423673","Фонарик ручний голуб","280.00","32.14","370.00","0","1.00","280.00","370.00"
"9","6942205278782","Фонарь ручной светодиодный YJ-209  1LED аккумуляторный","280.00","35.71","380.00","0","1.00","280.00","380.00"
"10","7638900302103","Энерджайзер батар поуэр ААА 3+1","22.00","36.36","30.00","0","3.00","66.00","90.00"
"11","7700000010582","Лампа гірлянда СВ 0301","80.00","150.00","200.00","0","2.00","160.00","400.00"
"12","7700000011657","Лазер Led Light","31.00","29.03","40.00","0","0.00","0.00","0.00"
"13","7700000011978","Батарейка бочка R20 PANASJNIC","20.00","100.00","40.00","0","1.00","20.00","40.00"
"14","887930410389","Батарейка Kodak EXTRA HEAVY DUTY R14 уп.вак1x2шт, цена 1 шт","10.00","150.00","25.00","0","7.00","70.00","175.00"
"15","887930411706","Батарейка KODAK EXTRA HEAVY DUTY АА  R 6 ваку. уп. 1x4 шт. цена 1шт","4.50","150.00","10.00","0","17.00","76.50","170.00"
"16","887930411713","Батарейки Kodak extra heavy duty сольова R03 ААА","4.00","200.00","10.00","0","96.00","384.00","960.00"

