"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820002712901","Напій єнергетичний Джетт 0,8л","21.15","30.00","30.00","0","0.00","0.00","0.00"
"2","4820002713045","Б/а енерг напій Джетт банка 0.33","16.94","50.00","25.00","0","4.00","67.76","100.00"
"3","4820002713601","Енергетик Jet манго апельсин 330мл","16.94","33.00","23.00","0","0.00","0.00","0.00"
"4","4820002713618","Енергетик Jet ківі яблуко 330мл","16.94","38.00","25.00","0","4.00","67.76","100.00"
"5","4820002713625","Енергетик Bronx non-alco 330ml","16.00","25.00","20.00","0","0.00","0.00","0.00"
"6","4820002713939","Ба напій Бронкс кола-кава 0,33 банка","16.94","35.00","25.00","0","9.00","152.46","225.00"
"7","4820002714042","сидр гріх і мед зі смаком персика 0,5бан","37.65","35.00","51.00","0","1.00","37.65","51.00"
"8","4820002714059","сидр гріх і мед зі смаком яблука 0,5бан","37.65","35.00","51.00","0","0.00","0.00","0.00"
"9","4820017002547","Вода моршинська зі смаком лимону 0.5 л","18.52","35.00","25.00","0","5.00","92.60","125.00"
"10","4820022692955","Best Shot energy drink 0.5 (ж.б.) енергетик","34.35","40.00","48.00","0","6.00","206.10","288.00"
"11","4820022692979","BEST SHOT Mango Coconut energy drink 0.5 (ж.б.)","34.00","35.00","46.00","0","6.00","204.00","276.00"
"12","4820022692993","BEST SHOT WATERMELON MELON 0.5 (ж.б.)","34.00","35.00","46.00","0","3.00","102.00","138.00"
"13","4820022693013","напій б.а енергет бест шот 0.25","24.60","35.00","33.00","0","4.00","98.40","132.00"
"14","4820022693150","Напій ба енерг BEST SHOT без цукру 0.5 зб","32.42","35.00","44.00","0","0.00","0.00","0.00"
"15","4820022693174","Напій б/а енерг. ""BEST SHOT Ківі-кактус""0,5л з/б","30.00","26.67","38.00","0","0.00","0.00","0.00"
"16","4820022693372","напій б.а бест шот  асаї 0.25","24.60","35.00","33.00","0","0.00","0.00","0.00"
"17","4820022693402","напій б.а енергет бест шот лохина","24.60","35.00","33.00","0","0.00","0.00","0.00"
"18","4820051240899","Напій безалкогольний енергетичний DRAGON 0.5л.","19.50","28.21","25.00","0","7.00","136.50","175.00"
"19","4820051241056","Напій DRAGON безалкогол.енерг.сил/газ 1 л","34.86","33.00","46.00","0","0.00","0.00","0.00"
"20","4820097890317","Напій безалкогольний  енергетичний газ Non Stop Original 0.25л ж/б","26.88","40.00","40.00","0","9.00","241.92","360.00"
"21","4820097890324","Напій безалкогольний  енергетичний газ Non Stop Original 0.5л ж/б","35.44","40.00","53.00","0","2.00","70.88","106.00"
"22","4820097890423","Напій Рево 0,5 слабоалкогольний","44.46","35.00","65.00","0","13.00","577.98","845.00"
"23","4820193032390","БРОНКС (BRONX) 0,5 жб","36.52","23.22","45.00","0","0.00","0.00","0.00"
"24","4820193034509","""БРОНКС (BRONX) чорна вишня"" 0,5  жб","36.52","31.43","48.00","0","2.00","73.04","96.00"
"25","4820193038873","""БРОНКС (BRONX) ківі яблуко"" 0,5 банка","36.52","31.43","48.00","0","0.00","0.00","0.00"
"26","4820193039924","Б/а енерг. напій Бронкс зі смаком ягід 0,33 банка","16.94","35.00","25.00","0","5.00","84.70","125.00"
"27","4820193039931","Ба  енерг. напій аромат зі смаком манго лимон-мята 0,33","16.94","35.00","25.00","0","4.00","67.76","100.00"
"28","4820193039948","Б/а енерг. напій чіт код оригінал 0.5 ( оболонь)","26.94","40.00","38.00","0","4.00","107.76","152.00"
"29","4820193039955","С/а енерг напій бронкс-чорниця 0,5 бан","33.84","40.00","47.00","0","3.00","101.52","141.00"
"30","4820250940156","Пиво Гараж  HARDCORE taste cherry more 0/5 банка","45.76","35.00","62.00","0","0.00","0.00","0.00"
"31","4820250943010","Напій ба енерг сил/газ на аром Баттер фрзн 0,5 банка","34.59","35.00","47.00","0","0.00","0.00","0.00"
"32","4820250943904","Напій б/а енергетичний сил/газ на аром ""Battery"" UNICORN","35.00","25.71","44.00","0","0.00","0.00","0.00"
"33","4820250944239","Напій б/а енергетичний соковий сер/газ ""Battery Peach Lemonade"" 0,5 банка","39.80","30.00","52.00","0","0.00","0.00","0.00"
"34","4820250944628","Напій б/а енергетичний сил/газ на аром ""Battery"" COLA"" 0,5 банка","34.59","34.38","47.00","0","3.00","103.77","141.00"
"35","4820250945014","Напій б/а енергетичний сил/газ на аром ""Battery Electric"" Синя малина 0,48 банка","34.03","37.00","47.00","0","1.00","34.03","47.00"
"36","4820252123069","Напій Рево слабоалк. чорне 0.5 ж/б","44.46","35.00","65.00","0","6.00","266.76","390.00"

