"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","12165900353700082","жувіленд зозуле кола","23.00","100.00","46.00","0","5.00","115.00","230.00"
"2","4001686322840","Haribo 175 g","61.00","31.15","80.00","0","1.00","61.00","80.00"
"3","4820042178491","Мармелад ""Лимонно-апельсинові дольки"" зі смаком лимона та апельсина","47.00","29.79","61.00","0","0.00","0.00","0.00"
"4","4820076360299","Лісові ягоди жувасики 150шт","2.00","50.00","3.00","0","0.00","0.00","0.00"
"5","4820076360312","Желейні цукерки Жувасики Міні Бургер 50шт/уп","11.00","36.36","15.00","0","26.00","286.00","390.00"
"6","4820128030132","Родзинки КІРА  100г. ізюм","23.00","35.00","31.00","0","12.00","276.00","372.00"
"7","4820150031152","Цукати 100г Юна-Пак","30.00","23.33","37.00","0","0.00","0.00","0.00"
"8","4820183980540","Веселі пружинки з ароматом полуниці 75 гр","21.72","35.00","30.00","0","0.00","0.00","0.00"
"9","4820240037330","желейки бімі гумі 70","18.50","50.00","28.00","0","4.00","74.00","112.00"
"10","4820240038924","желейки бімі гумі 70","18.50","50.00","28.00","0","4.00","74.00","112.00"
"11","4820280823146","Маршмеллоу Тапка-лапка demi 20г","18.00","38.89","25.00","0","0.00","0.00","0.00"
"12","4823077636295","Желейні рошен юмі гамі 70 г дуо міх","20.55","40.00","30.00","0","0.00","0.00","0.00"
"13","4823077636349","Желейки юмі гумі ведмедики 70 г","20.55","35.00","31.00","0","3.00","61.65","93.00"
"14","4823077636370","Yumi Gummi DONUTS 70г","20.55","35.00","31.00","0","3.00","61.65","93.00"
"15","4823077636387","Желейні цукерки Yummi Gummi 70г Fiizy Worms","20.55","40.00","30.00","0","0.00","0.00","0.00"
"16","4823077636394","Yummi Gummi Funny Cola 70g","22.00","36.36","30.00","0","0.00","0.00","0.00"
"17","4823077638459","Yummi Gummi banan 70г","20.55","40.00","30.00","0","2.00","41.10","60.00"
"18","4823077638466","Yummi gummi cherry 70г","24.00","25.00","30.00","0","0.00","0.00","0.00"
"19","4823077641398","желейки  Yummi Gummi Smile Mix 70 ?","20.55","40.00","30.00","0","0.00","0.00","0.00"
"20","4823077641411","Желейки юмі гумі морква","20.55","50.00","31.00","0","4.00","82.20","124.00"
"21","4823077643484","Желейки рошен юмі гамі 70 г кавун","20.55","40.00","30.00","0","0.00","0.00","0.00"
"22","4823077643491","Yumm gumy чізкейк 70г","20.55","35.00","30.00","0","0.00","0.00","0.00"
"23","4823077644979","Желейки юмі гумі полуничка 70 г","20.55","50.85","31.00","0","0.00","0.00","0.00"
"24","4823077645020","Желейки юмі гумі флафи шип","20.55","50.00","31.00","0","0.00","0.00","0.00"
"25","4823077645037","желейки юмі гумі дей дрим","20.55","50.00","31.00","0","2.00","41.10","62.00"
"26","5900353700143","Желейки цукерки зозуле","23.00","100.00","46.00","0","4.00","92.00","184.00"
"27","5900353700211","Zelki Zozole Rainbow // Zelki Zozole Rainbow жувіленд зозуля","23.00","50.00","35.00","0","0.00","0.00","0.00"
"28","5900353702499","желейки зозуле","23.00","100.00","46.00","0","0.00","0.00","0.00"
"29","5900353702871","желейки зозуле","23.00","100.00","46.00","0","1.00","23.00","46.00"
"30","6920344804925","Мега сюрприз","38.00","31.58","50.00","0","4.00","152.00","200.00"
"31","6929309005315","Копілка желе тигр 13 г","3.65","100.00","7.00","0","52.00","189.80","364.00"
"32","6929309254386","желейки  Джелік асорті","3.20","50.00","5.00","0","0.00","0.00","0.00"
"33","6929309914082","Кисла пятка  неон електрошок","5.00","100.00","10.00","0","20.00","100.00","200.00"
"34","6930978550044","Око троля 60шт желе джем","6.50","100.00","13.00","0","0.00","0.00","0.00"
