"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4014400933420","Жуйки Мамба 140 г","37.00","35.14","50.00","0","2.00","74.00","100.00"
"2","4820212960215","Лимонна жуйка  монстер шок","2.00","50.00","3.00","0","0.00","0.00","0.00"
"3","4820270931349","Toffi time абрикос жуйки","7.00","42.86","10.00","0","0.00","0.00","0.00"
"4","50173808","Жуйки Орбіт Солодка мята","16.33","40.00","23.00","0","0.00","0.00","0.00"
"5","50173976","Жуйки орбіт синій","16.33","50.00","25.00","0","17.00","277.61","425.00"
"6","6973218826394","жуйки х дент 16г","7.50","100.00","15.00","0","0.00","0.00","0.00"
"7","7622201760939","Дірол Ікс-Фреш свіжість тропічних фруктів пластинками","22.44","40.00","32.00","0","1.00","22.44","32.00"
"8","7622202320972","Жувальна гумка Дірол Ікс-Фреш в пластинках Свіжість м'яти, 13,5г","22.44","40.00","32.00","0","1.00","22.44","32.00"
"9","7622202321016","Жувальна гумка Дірол Ікс-Фреш в пластинках Баблфреш зі смаком фруктів та м'яти, 13,5г","22.44","40.00","32.00","0","1.00","22.44","32.00"
"10","7622210633262","Дірол Жувальна гумка  Класична м’ята 14г","17.58","40.00","25.00","0","2.00","35.16","50.00"
"11","7622210634023","Дірол жув.гумка  14г Морозна м’ята","18.00","27.78","23.00","0","0.00","0.00","0.00"
"12","7622210634061","Дірол жув.гумка  14г Льодяна м’ята","18.00","27.78","23.00","0","0.00","0.00","0.00"
"13","7622210634108","Жувальна гумка Дірол кавун-диня","14.95","40.00","25.00","0","12.00","179.40","300.00"
"14","7622210644169","Дірол Вайт жув.гумка  14г Полуниця","17.58","40.00","25.00","0","19.00","334.02","475.00"
"15","8851255415284","Жувальна гумка+сюрприз Candy bubble gum","12.00","25.00","15.00","0","1.00","12.00","15.00"

