"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1179","Фарш деш синій","43.00","45.00","62.00","1","10.53","452.70","652.74"
"2","4751031690444","крабові палички Атлантіка 200гр","55.00","30.91","72.00","0","2.00","110.00","144.00"
"3","4770190138536","Крабові палички 250г Краб Крабич","55.00","30.91","72.00","0","3.00","165.00","216.00"
"4","4770190192682","Крабові палички краб крабич 0,5 кг","100.00","30.00","130.00","0","2.00","200.00","260.00"
"5","4770190350211","Крабові палички ""Esva"" заморожені 200г","45.00","28.89","58.00","0","0.00","0.00","0.00"
"6","4820005924325","Суміш мексиканьська Лімо 400г","64.00","25.37","87.00","0","2.00","128.00","174.00"
"7","4820005924363","Суміш  Весняна замор.400г ""Лімо""","64.00","35.00","87.00","0","1.00","64.00","87.00"
"8","4820005928729","Броколі Лімо 400г","82.00","24.39","102.00","0","0.00","0.00","0.00"
"9","4820005928736","Шпинат Лімо 400г","60.00","25.00","75.00","0","0.00","0.00","0.00"
"10","4820267432934","Суміш грецька Лімо 400г","71.00","25.35","89.00","0","0.00","0.00","0.00"
"11","4820267433511","Чебуреки ""Класичні"" смажені, 2кг","131.64","35.00","178.00","1","0.00","0.00","0.00"
"12","5999515630046","Кишка 10м.","60.00","33.33","80.00","0","0.00","0.00","0.00"
"13","8710438000849","Карт. фрі 9 мл оригінал","108.80","35.00","147.00","1","2.50","272.00","367.50"

