"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820116280075","Сірники ""Козачок"" 10шт.","0.70","100.00","2.00","0","1,089.00","762.30","2,178.00"
"2","4823003205618","Сигарети честерфілд блю","139.48","8.00","151.00","0","0.00","0.00","0.00"
"3","4823003216577","Сигарети філіп моріс ред","129.86","8.00","140.00","0","0.00","0.00","0.00"
"4","4823003216843","Сигарети ЛМ фірзт гут лонг ред","129.86","8.00","140.00","0","0.00","0.00","0.00"
"5","5907760151681","Газ до запальничок","30.00","66.67","50.00","0","0.00","0.00","0.00"
"6","6935071377116","зажигалка fox","8.00","150.00","20.00","0","2.00","16.00","40.00"
"7","6935071377246","Запальничка з носиком ККК","15.50","100.00","45.00","0","27.00","418.50","1,215.00"
"8","6945220601818","Запальничка кишенькова одноразова DUUM DM-001-A Пєзо","7.20","150.00","20.00","0","6.00","43.20","120.00"
"9","6945230701720","Запальничка кишен однор дуум дм 002 кремнієва","0.01","100.00","20.00","0","17.00","0.17","340.00"
"10","6945230702024","Запальничка багаторазова Duum DM-009T (захист від вітру)","14.10","100.00","30.00","0","11.00","155.10","330.00"
"11","6945231000129","DUUM Запальничка багаторазова ліхтарик Лед","11.40","100.00","25.00","0","18.00","205.20","450.00"
"12","8412765970443","запальничка д24","21.00","100.00","42.00","0","13.00","273.00","546.00"
"13","8710732217127","Запальничка Cricket Standart Original","19.50","94.44","35.00","0","2.00","39.00","70.00"

