"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","3086127501641","BIG Леза для гоління, 5 шт.","18.50","100.00","50.00","0","19.00","351.50","950.00"
"2","7700000011701","Насадка на станок Gillette","77.00","29.87","100.00","0","0.00","0.00","0.00"
"3","7702018070732","Одноразові станки жін.Simply Venus (1шт.)","22.83","75.00","35.00","0","38.00","867.54","1,330.00"
"4","7702018487158","Станок жіночий Venus 3 sensitive дорогий","34.00","32.35","45.00","0","4.00","136.00","180.00"
"5","7702018490646","Gillete blue 3 sensitive aloe","27.00","48.15","40.00","0","4.00","108.00","160.00"
"6","7702018541775","Gillete blue smooth comfort gel","21.66","52.38","33.00","0","12.00","259.92","396.00"
"7","8006540947418","Зубна паста бленда мед 75 делікатне","35.00","28.57","45.00","0","0.00","0.00","0.00"
"8","8700216077217","Набір жілет венус Гладенькість бритва з 2 змінними кас+ сатін саре","264.64","52.71","400.00","0","3.00","793.92","1,200.00"
"9","8700216148146","Станок GILETTE Blue 3 дорогий","25.83","25.00","40.00","0","14.00","361.62","560.00"
"10","8700216169028","Станок GILETTE 2 дешевий","9.50","66.67","20.00","0","55.00","522.50","1,100.00"
"11","8700216591850","Гель джілет для гоління 200 мл ( по дві штуки) заспокійливий","121.43","35.88","165.00","0","2.00","242.86","330.00"

