"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820034600306","Молоко згущене sladosvit 300г","44.00","29.55","57.00","0","1.00","44.00","57.00"
"2","4820034600726","Згущене молоко  Сладосвіт 450 гр","58.00","29.31","75.00","0","0.00","0.00","0.00"
"3","4820034600764","Сгущ.молоко вар.для детей 500г с/б","73.00","31.51","96.00","0","7.00","511.00","672.00"
"4","4820034600818","""Сладосвит "" ИРИСКА банка стекло500гр.","52.00","30.77","68.00","0","2.00","104.00","136.00"
"5","4820034600931","Карамелька 500 г 8% sladosvit","44.00","29.55","57.00","0","4.00","176.00","228.00"
"6","4820034600986","Молоко згущене чорнобаївське 300г sladosvit","44.00","29.55","57.00","0","0.00","0.00","0.00"
"7","4820034601204","Молоко незбиране згущене sladosvit жб 200г","35.00","28.57","45.00","0","2.00","70.00","90.00"
"8","4820144811180","Молоко згущене з цукром ТМ ""Полтавочка""8,5% , 920г/15ПЕТ","110.28","30.00","145.00","0","0.00","0.00","0.00"
"9","4820144811197","Полтавочка  Молоко згущене з цукром 8,5% 380г","52.44","35.00","71.00","0","0.00","0.00","0.00"
"10","4820144813870","Продукт згущений  з цукром ТМ полтавочка 8.5% 920 г","98.52","30.00","129.00","0","4.00","394.08","516.00"
"11","4820144813887","Продукт згущений 380 г полтавочка","45.00","30.00","60.00","0","2.00","90.00","120.00"
"12","4820187330044","Молоко згущене з цукром знежирене карамелізоване з коровами","40.00","30.00","52.00","0","0.00","0.00","0.00"
"13","4820261570304","Іриска 0.5кг варена ковбаска","58.00","30.91","76.00","0","7.00","406.00","532.00"
"14","4820261570533","Вершки згущені з цукром 15г","8.00","25.00","10.00","0","8.00","64.00","80.00"
"15","4820261570816","Іриска молоко згущене варене з хлопчиком банка 0.5л","65.00","30.77","85.00","0","0.00","0.00","0.00"
"16","4823124604055","Молоко незбиране згущене з цукром Хуторок","59.00","30.51","77.00","0","2.00","118.00","154.00"
"17","4823124604062","Молоко згущене з цукром варене Хуторок","61.00","29.51","79.00","0","5.00","305.00","395.00"
"18","4823124604079","Молоко незбиране згущене 500г Хуторок","71.00","29.58","92.00","0","0.00","0.00","0.00"
"19","4823124604086","Молоко незбиране згущене Хуторок 800г","71.00","104.23","145.00","0","0.00","0.00","0.00"

