"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4007965560002","ELMEX  зубна паста 75 мл. від карієсу червона","118.00","36.36","160.00","0","6.00","708.00","960.00"
"2","4007965560200","Зубна паста Елмекс Для чутливих","105.00","40.00","150.00","0","0.00","0.00","0.00"
"3","4311501073858","Зубніа щітка (2шт) Denta max","40.00","100.00","80.00","0","0.00","0.00","0.00"
"4","4311501106860","Зубная паста Elkos fluor fresh 125мл Германия","37.00","48.65","55.00","0","1.00","37.00","55.00"
"5","4311501657478","Зубная паста Elkos krauter 125мл Германия","37.00","48.65","55.00","0","0.00","0.00","0.00"
"6","4311501657508","Зубна паста елкос дента мах 125 мл","37.00","40.00","52.00","0","2.00","74.00","104.00"
"7","6001076001025","Аквафреш 100мл зуб паста","60.00","25.00","75.00","0","0.00","0.00","0.00"
"8","6920354824845","ЗП Колгейт Макс кристал 100 мл","60.00","33.33","80.00","0","0.00","0.00","0.00"
"9","6920354826177","Зубна паста Colgate 150","55.00","45.45","80.00","0","4.00","220.00","320.00"
"10","6920354835759","Зубна паста Colgate 100","46.00","52.17","70.00","0","1.00","46.00","70.00"
"11","8006530160124","Зубна паста блендаменд антікарієс 125 мл","38.38","35.00","52.00","0","4.00","153.52","208.00"
"12","8006540947340","Зубна паста бленда мед 75","34.00","32.35","45.00","0","0.00","0.00","0.00"
"13","8006540948071","Зубна паста blend-a-med 75ml","32.00","35.00","45.00","0","2.00","64.00","90.00"
"14","8690506557256","Зубна паста саніно 75мл","31.00","41.94","44.00","0","6.00","186.00","264.00"
"15","8718951291010","ЗП Колгейт Макс Фреш 100 мл синяя","60.00","33.33","80.00","0","2.00","120.00","160.00"

