"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820000371339","Кава натур.мел.*Старого Львова* Лігумінна 250г.брикет","108.00","24.55","138.00","0","10.00","1,080.00","1,380.00"
"2","4820000570442","Кава Еспрессо Галка міцна мелена 100г","53.00","24.07","68.00","0","6.00","318.00","408.00"
"3","4820000574303","-Кава розчин.*Галка* Класична 100г.м/у","91.00","25.00","115.00","0","5.00","455.00","575.00"
"4","4820000574396","Кава натур.мел.*Галка* Еспресо 225г.в/у","112.00","25.00","145.00","0","6.00","672.00","870.00"
"5","4820046680129","Цикорій скло рідкий 200мл Цикоринка 200г","61.00","30.00","80.00","0","4.00","244.00","320.00"
"6","4820097818472","Ferarra Caffe Кава мелена Crema Irlandese 250г","170.00","30.00","225.00","0","0.00","0.00","0.00"
"7","4820198872410","Ferarra Caffe Кава мелена Cuba Libre 250г","182.00","33.00","242.00","0","4.00","728.00","968.00"
"8","5900910000761","Капуччино ""La Festa"" шоколадный пакет","6.00","33.33","8.00","0","1.00","6.00","8.00"
"9","5901123000036","Кава мелена Woseba mocca fix Gold 250г","205.00","30.00","267.00","0","5.00","1,025.00","1,335.00"
"10","5901123700035","Кава мелена Woseba mocca fix Gold 500г","350.00","30.00","455.00","0","0.00","0.00","0.00"
"11","7613035706804","Напиток з какао NESGUIK 140г. м/у Нестле","72.80","35.00","98.00","0","5.00","364.00","490.00"
"12","7700000011268","Кава Lavazza crema e gusto 250g лаваца","180.00","30.00","234.00","0","6.00","1,080.00","1,404.00"
"13","7700000011459","Еспресо","19.00","31.58","25.00","0","0.00","0.00","0.00"
"14","7700000011466","Американо","22.00","36.36","30.00","0","-1.00","-22.00","-30.00"
"15","7700000011473","Американо з молоком","26.00","34.62","35.00","0","0.00","0.00","0.00"
"16","7700000011480","Макіято","33.00","36.36","45.00","0","0.00","0.00","0.00"
"17","7700000011497","Капучіно","33.00","36.36","45.00","0","0.00","0.00","0.00"
"18","7700000011503","Шоколад","33.00","36.36","45.00","0","0.00","0.00","0.00"
"19","7700000011510","Лате","33.00","36.36","45.00","0","0.00","0.00","0.00"
"20","7700000011527","Молочний шоколад","33.00","36.36","45.00","0","0.00","0.00","0.00"
"21","7700000011534","Мокачіно","33.00","36.36","45.00","0","0.00","0.00","0.00"
"22","7700000012753","кава лате","15.00","200.00","45.00","0","57.00","855.00","2,565.00"
"23","8718868141187","Напій розч.*Elite**Цикорій* 100г.м/у","42.00","25.00","55.00","0","9.00","378.00","495.00"
"24","8720254649313","Кава нат. мел. Fort oriental 225г","110.00","24.55","138.00","0","6.00","660.00","828.00"

