"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1294","Кава лаваца суерте  250 г","172.00","35.00","232.00","0","4.00","688.00","928.00"
"2","4002720430002","кава Melita AROMA 500g","234.50","30.25","310.00","0","1.00","234.50","310.00"
"3","4008167023609","Кава мелена Classic ТМ Dalmayr 500г","360.00","25.00","450.00","0","0.00","0.00","0.00"
"4","4008167023913","кава кафедор класік 500","320.00","30.00","416.00","0","1.00","320.00","416.00"
"5","4008167103714","Кава заварна Dallmayr prodomo мелена 500г","380.00","30.00","494.00","0","3.00","1,140.00","1,482.00"
"6","4013743001667","Кава Мелена 500г, меланже мока фікс","242.00","30.17","315.00","0","0.00","0.00","0.00"
"7","4021155108645","капучіно польща школ 1кг","215.00","30.00","280.00","0","1.00","215.00","280.00"
"8","4021155122252","Капучино карамель 1кг Hearts","215.00","35.00","290.00","0","1.00","215.00","290.00"
"9","4021155164016","КАПУЧІНО HEARTS  lrish cream 1кг.","215.00","35.00","290.00","0","1.00","215.00","290.00"
"10","4260502740026","Кава 500г, Мелена Кьонінгс Крема","243.00","30.04","316.00","0","1.00","243.00","316.00"
"11","4820000371582","кава лігуміна зерно 1 кг","475.00","27.00","605.00","0","1.00","475.00","605.00"
"12","4820000570435","Галка напій розч 100г Галич-Ранок","30.00","27.59","39.00","0","13.00","390.00","507.00"
"13","4820000574457","Кава розчин.*Галка* Класична 150г.м/у","130.00","27.00","165.00","0","5.00","650.00","825.00"
"14","4820046680174","Напій нерозчинний ""Курземе"" 0,250 г.","36.00","26.47","45.00","0","3.00","108.00","135.00"
"15","4820097817895","Ferarra Caffe Кава мелена Arabica 250г 100%","182.00","30.18","237.00","0","0.00","0.00","0.00"
"16","4820145620910","Кава натур.мел.*Кава зі Львова* Еспресо 225г.в/у червона","139.00","25.36","174.00","0","2.00","278.00","348.00"
"17","4820145620934","Кава мелена Львівська зелена 225г","153.00","25.00","192.00","0","3.00","459.00","576.00"
"18","4820145621450","Кава зі Львова крем джандзя 150г","104.00","25.00","130.00","0","0.00","0.00","0.00"
"19","4820149487298","Чай едемс лісові ягоди зі шматочками 100 г","62.00","30.00","80.00","0","3.00","186.00","240.00"
"20","4820187048932","Кава якобс  монарх класік 230 г","177.00","30.00","230.00","0","5.00","885.00","1,150.00"
"21","4820198875183","Кава Fererra Irlandese зерно 1кг","665.00","30.00","850.00","0","0.00","0.00","0.00"
"22","4823115406309","Ferarra Кава мелена Elegante, 250г","170.00","30.00","221.00","0","1.00","170.00","221.00"
"23","5900910000228","Капучино LAFesta GV hazelnut 12.5г.*10шт.","5.40","50.00","8.00","0","0.00","0.00","0.00"
"24","5900910000372","Напиток шоколадный растворимый LA FESTA капучино (0.125 кг.)","5.40","50.00","8.00","0","0.00","0.00","0.00"
"25","5900910000631","Ла Феста Розчинний напій зі смаком гарячий шоколад 22г стік","8.00","25.00","10.00","0","10.00","80.00","100.00"
"26","5900910000778","Капучіно стійки горіх ля феста 12.5 г","5.50","50.00","8.00","0","20.00","110.00","160.00"
"27","5901211000702","Кава Les Cafes SAF CARAMEL 250г","132.00","25.00","165.00","0","0.00","0.00","0.00"
"28","5901583408229",".Кава розчин.гранул.*Кафе Дор* Голд 200г.с/б (Польща)","228.00","30.00","297.00","0","0.00","0.00","0.00"
"29","5901583412844","Кава розчинна 200г LeCafe Gold c/б","200.00","25.00","250.00","0","0.00","0.00","0.00"
"30","5901583414077","Кава розчинна Cafe d`Or o Poranku 300г","190.00","30.00","250.00","0","0.00","0.00","0.00"
"31","5901583414534","Кава Парана 500г","250.00","30.00","325.00","0","0.00","0.00","0.00"
"32","5905658500023","Кава кароузель клас. 500 г","214.00","30.00","278.00","0","3.00","642.00","834.00"
"33","7610899125000","Кава чіко оро еліт 250г","175.00","30.00","228.00","0","0.00","0.00","0.00"
"34","7610899170253","Кава чіко доро традиційна 250 г","180.00","30.00","234.00","0","5.00","900.00","1,170.00"
"35","7613036449748","Кава розчин.*Нескафе* Класік 1.8г.стік","6.00","33.33","8.00","0","0.00","0.00","0.00"
"36","7613036449755","Кава нескафе классік коробка 25 стиков 45г","6.00","33.33","8.00","0","48.00","288.00","384.00"
"37","7700000011848","Кава 250г. Мелена Росса Лавацца","197.00","30.46","257.00","0","0.00","0.00","0.00"
"38","7700000011855","Кава 250г, мелена суерте Лавацца","173.00","30.06","225.00","0","0.00","0.00","0.00"
"39","7700000012043","Кава 1кг в зернах virtuos","538.00","30.11","700.00","0","1.00","538.00","700.00"
"40","7700000012067","Кава мелена Rocco Lavazza","197.00","35.00","243.00","0","0.00","0.00","0.00"
"41","7700000012715","кава еспресо 40г","9.00","150.00","25.00","0","100.00","900.00","2,500.00"
"42","7700000012722","кава американо","9.00","200.00","30.00","0","62.00","558.00","1,860.00"
"43","7700000012739","кава макіято","15.00","200.00","45.00","0","100.00","1,500.00","4,500.00"
"44","7700000012746","кава капучіно","15.00","200.00","45.00","0","98.00","1,470.00","4,410.00"
"45","7700000012760","кава мокачіно","15.00","200.00","45.00","0","99.00","1,485.00","4,455.00"
"46","7700000012777","кава шоколад","15.00","200.00","45.00","0","99.00","1,485.00","4,455.00"
"47","7700000012784","кава молочний шоколад","15.00","200.00","45.00","0","98.00","1,470.00","4,410.00"
"48","8000070012783","Кава мелена ""Lavazza"" Qualita Oro вищий сорт, 250 г. (в/у)","265.00","30.19","345.00","0","2.00","530.00","690.00"
"49","8001685122379","Кава Пелліні віваче традиціонале250 г","164.00","30.00","213.00","0","2.00","328.00","426.00"
"50","8001685132668","Кава пелліні топ нобіле 100% 250г","262.50","30.00","341.00","0","2.00","525.00","682.00"
"51","8007100054003","Капучіно GRASTAN 250","170.00","35.00","230.00","0","2.00","340.00","460.00"
"52","8029997105019","Кава INTENSO CAFFE MOTTA 250г","192.00","25.00","240.00","0","0.00","0.00","0.00"
"53","8029997800013","Кава Nikol gusto classico caffe motta 250g","164.32","25.00","175.00","0","1.00","164.32","175.00"
"54","8445291306851","Nescafe 3в1 turbo 12г","5.83","50.00","10.00","0","17.00","99.11","170.00"
"55","8445291307216","Nescafe 3в1 original 12г","5.83","50.00","10.00","0","16.00","93.28","160.00"
"56","8711000574195","Кава мелена Jacobs Kronung Classic 70г","82.00","25.00","105.00","0","4.00","328.00","420.00"
