"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","2200000190925","Стиральна гумка панда","2.00","200.00","6.00","0","1.00","2.00","6.00"
"2","2200000193636","Лінійка 20 см. Китай","5.00","100.00","10.00","0","5.00","25.00","50.00"
"3","4041485109068","Папка ТМ fox kids","3.00","233.33","10.00","0","1.00","3.00","10.00"
"4","4690219046225","ручка 4768 каріна24","2.08","150.00","7.00","0","16.00","33.28","112.00"
"5","4820049490015","Тетрада Зошит шкільний, 12 арк. (клітинка)","4.50","55.56","7.00","0","4.00","18.00","28.00"
"6","4820049490022","Тетрада шкільна А5 в лінію 12 арк (тварини)","4.50","55.56","7.00","0","4.00","18.00","28.00"
"7","4820049490039","Зошит шкільний 12арк коса лінія, з допоміжною лінією Тетрада","5.00","60.00","8.00","0","7.00","35.00","56.00"
"8","4820049490046","Зошит 18 арк.клітинка Тверда 91285 ПАЗЛ, 20/400, 5к.","6.00","50.00","9.00","0","1.00","6.00","9.00"
"9","4820049490060","Зошит шкільний 24арк клітинка Тетрада","7.50","60.00","12.00","0","4.00","30.00","48.00"
"10","4820049490145","Зошит шкільний 96арк клітинка Тетрада","26.00","53.85","40.00","0","5.00","130.00","200.00"
"11","4820049490183","Альбом для рисования 16л. ассорти","25.00","60.00","40.00","0","0.00","0.00","0.00"
"12","4820049490237","Альбом для малювання А4 бічна спіраль 16 арк. Тетрада","23.00","73.91","40.00","0","5.00","115.00","200.00"
"13","4820058220672","Тетрадь школьная А5 в клеточку 60 листов Brisk 2552","17.00","58.82","27.00","0","0.00","0.00","0.00"
"14","4820071010373","Клей-карандаш ПВА 15 гр. 4-338 4Offise","8.00","150.00","20.00","0","10.00","80.00","200.00"
"15","4820071011608","4820116739054Фломастери 12кол ""Смайли"" БАРВІНОК","20.00","100.00","40.00","0","0.00","0.00","0.00"
"16","4820097120551","Розмальовка Мандарін +наліпки, веселі завдання 8 арк.А4","8.00","150.00","20.00","0","2.00","16.00","40.00"
"17","4893729105172","Папка з рибками","3.00","233.33","10.00","0","1.00","3.00","10.00"
"18","4985642935865","Ручка АНЕ 521","6.00","100.00","12.00","0","1.00","6.00","12.00"
"19","5931227910559","Ручка синя, чорна, фіолетова, червона полосатая 0,7мм","2.20","150.00","8.00","0","29.00","63.80","232.00"
"20","6920930352168","Ручка автомат синя AIHAO","6.00","100.00","12.00","0","3.00","18.00","36.00"
"21","6920930359921","Ручка АН 521","6.00","100.00","12.00","0","0.00","0.00","0.00"
"22","6920930380130","Ручка гел. ""AIHAO"" 801 черн.красн. син.фиол. набор","2.00","150.00","5.00","0","3.00","6.00","15.00"
"23","6936380998115","Канц.карты игральные ""Дама"" 36 шт. пластиковые","8.00","150.00","20.00","0","0.00","0.00","0.00"
"24","6936971220045","Маркер Х 8004","4.00","150.00","10.00","0","0.00","0.00","0.00"
"25","6939184890371","скрепка упаковка","3.00","233.33","10.00","0","5.00","15.00","50.00"
"26","6948910000007","Ручка connect","16.00","25.00","20.00","0","1.00","16.00","20.00"
"27","6948910010983","Ручка vinson №7631 масляна синя","4.00","525.00","25.00","0","8.00","32.00","200.00"
"28","6948910070314","Ручка срібного кольору inson","16.00","25.00","20.00","0","7.00","112.00","140.00"
"29","6948910080313","Ручка Noble 7031","8.00","150.00","20.00","0","0.00","0.00","0.00"
"30","6951359602008","Карандаш простой Color-it зел.","2.00","200.00","6.00","0","5.00","10.00","30.00"
"31","6956446900036","маркер чорний №8004","3.25","250.00","11.00","0","11.00","35.75","121.00"
"32","6958209636589","Ручка шарик. AН-555 wenao wenxuan","2.00","150.00","5.00","0","7.00","14.00","35.00"
"33","6971082858138","Коректор Weibo 9ml","10.00","150.00","25.00","0","4.00","40.00","100.00"
"34","6971354530335","Фломастери DRY 6шт","69.00","30.43","90.00","0","2.00","138.00","180.00"
"35","6971649161206","маркер тонкий чорний двостор RX-120","3.50","300.00","14.00","0","8.00","28.00","112.00"
"36","6977202788040","Маркер грубий чорний","4.00","150.00","10.00","0","2.00","8.00","20.00"
"37","6987654568244","Набір фламастерів 24 шт ANIDY","90.00","44.44","130.00","0","0.00","0.00","0.00"
"38","7700000010544","Обкладинка для зошита прозора","0.00","0.00","0.00","0","10.00","0.00","0.00"
"39","7700000010551","Конверт 16х23 білий","0.50","300.00","2.00","0","29.00","14.50","58.00"
"40","7700000011602","Бульбашки великі","10.00","50.00","25.00","0","27.00","270.00","675.00"
"41","7700000012401","Спиртометр","17.50","200.00","53.00","0","5.00","87.50","265.00"
"42","8902310000126","Бумага  А4 ""CRYSTAL PRINT"" С 70г/м2 500л.","0.29","200.00","2.00","0","438.00","127.02","876.00"
"43","8907016030170","Ручки Hiper масл.Shark HO-200 0,7мм чорна (10)","3.00","233.33","10.00","0","0.00","0.00","0.00"
"44","8907016033379","Ручка чорна гелева HIPER WHITE SHARK","4.00","150.00","10.00","0","2.00","8.00","20.00"
"45","8907016033454","Ручка Hiper HO-200 SHARK","4.00","150.00","10.00","0","2.00","8.00","20.00"
"46","8907016033478","ручка гіпер масляна фіолет","5.30","100.00","11.00","0","9.00","47.70","99.00"
"47","8907016033560","Ручка гелевая Hiper White Shark HG-811 0,6мм черная","8.00","150.00","20.00","0","0.00","0.00","0.00"
"48","9786178230647","Розмальовка РН 48","15.00","100.00","30.00","0","0.00","0.00","0.00"

