"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820000457514","Квас Тарас Білий банка 0,5л","25.73","36.93","36.00","0","0.00","0.00","0.00"
"2","4820000457521","Квас Тарас Чорний банка 0,5л","22.40","31.98","35.00","0","0.00","0.00","0.00"
"3","4820002711096","Квас Старокиївський 1л","27.68","35.00","45.00","0","12.00","332.16","540.00"
"4","4820002713090","Б/а Квас Старокиївський 0,5/бан Оболонь","25.90","35.00","35.00","0","0.00","0.00","0.00"
"5","4820002713120","Ба Квас Київський Білий 2 л","57.36","30.00","75.00","0","2.00","114.72","150.00"
"6","4820002713885","Ба Квас Київський темний 0.5 банка","22.02","35.00","30.00","0","2.00","44.04","60.00"
"7","4820002713908","Квас Київський Темний ба 2 л","57.36","30.00","75.00","0","0.00","0.00","0.00"
"8","4820002713915","Ба напій ж.брод Квастель зі смаком коктелю Вест Індіан Кулер 0.5 банка оболонь","24.12","35.00","33.00","0","4.00","96.48","132.00"
"9","4820009942103","Напій ба квас пет 1л","30.18","40.00","42.00","0","0.00","0.00","0.00"
"10","4820046960306","Напій бродіння фільтрований с/г квас Львівський бочковий ППБ п/пл 2л","64.00","30.98","85.00","0","4.00","256.00","340.00"
"11","4820046965660","Квас львівський чорний ППБ з/б 0.5","27.15","35.00","37.00","0","4.00","108.60","148.00"
"12","4820046965707","Квас львівський білий ППБ з/б 0.5","27.15","35.00","37.00","0","3.00","81.45","111.00"
"13","4820250942389","Квас Тарас (розливний) 0.5 напій ба","14.54","58.18","28.00","0","220.00","3,198.80","6,160.00"
"14","4820250943751","Квас flower зі смаком квітів бузини 500мл","25.50","37.25","35.00","0","2.00","51.00","70.00"
"15","51895","Квас Тарас банка 0.5","22.40","30.00","35.00","0","7.00","156.80","245.00"

