"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820001314465","Соус тартар торчин 200 г","37.00","35.00","49.00","0","3.00","111.00","147.00"
"2","4820001316063","Кетчуп Лагідний 250г","29.00","30.00","39.00","0","4.00","116.00","156.00"
"3","4820001316087","Кетчуп Торчин Чілі 250г","32.00","30.00","42.00","0","41.00","1,312.00","1,722.00"
"4","4820001316100","Кетчуп до шашлику 250г","29.00","30.00","39.00","0","6.00","174.00","234.00"
"5","4820166615421","Кетчуп барбекю дой-пак 250 г ТМ Кухар Рішельє","24.31","40.00","35.00","0","2.00","48.62","70.00"
"6","4820189942801","Кетчуп лагідний МакМай дой-пак 0,270 г","29.88","35.00","40.00","0","3.00","89.64","120.00"
"7","4820189942849","Кетчуп до шашлику МакМай дой-пак 0,270 г","29.88","35.00","40.00","0","5.00","149.40","200.00"
"8","4820195515150","Кетчуп для дітей Pripravka","34.00","26.47","43.00","0","0.00","0.00","0.00"
"9","4820291620017","Кетчуп класичний Pripravka","32.00","25.00","40.00","0","0.00","0.00","0.00"

