"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","0201975000808","Нарізка Салямі верона ковб. сирокоп. 0.080 гр","31.08","40.00","50.00","0","4.00","124.32","200.00"
"2","0201976000807","Ковбаса салямі нарізна соборна 0.080 г","31.92","56.64","50.00","0","5.00","159.60","250.00"
"3","102","Салямі зі свининою Забііяка","209.00","30.62","273.00","0","0.01","1.05","1.37"
"4","1056","Грудка куряча копчено варена Ходорівські ковбаси","316.00","40.00","443.00","1","0.38","120.08","168.34"
"5","1057","Балик запечений Ходорівський м'ясокомбінат","360.00","30.28","469.00","1","0.00","0.00","0.00"
"6","1058","Шинка екстра Ходорівський м'ясокомбінат","354.00","29.94","460.00","1","0.00","0.00","0.00"
"7","1059","Сальтисон язиковий","239.00","29.71","310.00","1","0.00","0.00","0.00"
"8","1060","Хлібець м'ясний апетитний RK","171.00","30.41","223.00","1","0.00","0.00","0.00"
"9","1061","Ковбаса варена бутербродна Моя ковбаска","115.00","30.43","150.00","1","0.00","0.00","0.00"
"10","1062","Грудинка з часником","267.00","29.93","365.00","1","0.00","0.00","0.00"
"11","1063","Ковбаски напівкопчені мисливські Ходорівський м'ясокомбінат","341.50","40.00","480.00","1","0.60","204.90","288.00"
"12","1064","Ковбаса варена Родинська Люкс Гаяр","154.00","35.00","208.00","1","6.82","1,049.82","1,417.94"
"13","1065","Ковбаса домашня запечена Ходорівський м'ясокомбінат","477.00","35.00","645.00","1","0.00","0.00","0.00"
"14","1066","Ковбаса напівкопчена Ходорівський м'ясокомбінат","329.00","30.09","428.00","1","0.00","0.00","0.00"
"15","1067","Ковбаса варено-копчена салямі європейська Ходорівський м'ясокомбінат","294.00","29.93","382.00","1","0.00","0.00","0.00"
"16","1068","Ковбаса напівкопчена фірмова рублена   Ходорівський м'ясокомбінат","331.00","40.00","465.00","1","0.00","0.00","0.00"
"17","1069","Салямі мілано  Ходорівський м'ясокомбінат","334.50","35.00","455.00","1","0.64","214.08","291.20"
"18","1070","Горіхова салямі   Ходорівський м'ясокомбінат","373.00","35.00","505.00","1","0.00","0.00","0.00"
"19","1071","Ковбаса варена русанівська  Ходорівський м'ясокомбінат","303.00","40.00","430.00","1","0.84","254.52","361.20"
"20","1072","Ковбаски єгерські  Ходорівський м'ясокомбінат","206.00","35.00","280.00","1","0.00","0.00","0.00"
"21","1075","Ковбаса варена сімейна Забіяка","213.00","30.05","277.00","1","0.00","0.00","0.00"
"22","1076","Ковбаса варена посольська Забіяка","220.00","30.00","286.00","1","0.00","0.00","0.00"
"23","1077","Ковбаса салямі Тірольська Моя ковбаска","231.00","35.00","312.00","1","2.08","480.94","649.58"
"24","1078","Ковбаса напівкопчена фермерська RK","264.20","35.00","360.00","1","0.75","198.68","270.72"
"25","1079","Ковбаса рублена куряча RK","224.50","35.00","305.00","1","0.00","0.00","0.00"
"26","1080","Ковбаса напівкопчена панська RK","265.10","35.00","360.00","1","0.28","72.90","99.00"
"27","1081","Ковбаса напівкопчена салямчик з сиром ЛГВ","154.00","35.00","210.00","1","1.48","228.54","311.64"
"28","1082","Ковбаса сиро-копчена Дерчагівська з коньяком","483.00","30.02","628.00","1","0.00","0.00","0.00"
"29","1083","Теляча вар (Гаяр)","148.00","35.00","200.00","1","0.00","0.00","0.00"
"30","1142","Ковбаса Любительська (Синюга) Вс термоупаковка Ходорівський м'ясокомбінат","276.50","35.00","375.00","1","1.09","302.49","410.25"
"31","1143","Ковбаса Краківська напівкопчена в/с (ДСТУ) Ходорів","381.50","33.00","507.00","1","0.00","0.00","0.00"
"32","1144","Ковбаски Мюнхенські Варені Ходорів","265.50","35.00","360.00","1","0.94","249.57","338.40"
"33","1145","Ковбаски зальцбурзькі Ходорів білі","202.95","35.00","290.00","1","0.00","0.00","0.00"
"34","1146","Ковбаса Дрогобицька напівкопчена Ходорів","457.50","35.00","620.00","1","0.38","172.02","233.12"
"35","1147","Ковбаса куряча з вершками Ходорів","161.50","40.00","226.10","1","0.00","0.00","0.00"
"36","1151","Ковбаса варена ""Бутербродна""Забіяка (малі батони)","134.28","35.00","182.00","1","0.56","75.73","102.65"
"37","1152","Ковбаса варена ""Бутербродна"" велика","131.16","40.00","184.00","1","2.05","268.35","376.46"
"38","1153","Ковбаса варена Вищого сорту ""Вершкова"" (малі батони)","203.76","30.16","265.00","1","0.00","0.00","0.00"
"39","1154","Ковбаса варена Першого сорту ""З курятиною""","195.84","30.17","255.00","1","0.00","0.00","0.00"
"40","1162","Ковбаса Галицька на дровах н/к ТМ ЧК в/с газ","260.76","30.39","340.00","1","0.00","0.00","0.00"
"41","1163","Ковбаса Гуцульська н/к ТМ ЧК 1/с газ","147.36","30.29","192.00","1","0.00","0.00","0.00"
"42","1164","Ковбаса Сервелат в/к в/c ТМ ЧК 1/г вак","142.80","40.00","200.00","1","0.00","0.00","0.00"
"43","1165","Ковбаски Кабаноси н/к ТМ ЧК 1/с газ","211.32","35.00","286.00","1","0.00","0.00","0.00"
"44","1182","Ковбаса рублена напівкопчена вищого сорту забіяка","302.00","30.13","393.00","1","0.00","0.00","0.00"
"45","1183","Салямі королівська першого сорту забіяка пів пал","198.24","40.00","279.00","1","0.62","122.31","172.14"
"46","1184","Салямі домашня забіяка пів пал","161.00","29.81","209.00","1","0.01","0.81","1.05"
"47","1185","Ковбаса напівкопчена домашня забіяка","312.00","29.81","405.00","1","0.00","0.00","0.00"
"48","1186","Ковбаса напівкопчегна посольська ходорівський комбінат","350.00","35.00","473.00","1","1.06","371.00","501.38"
"49","1187","Ковбаса дрогобицька ВС RK","405.10","35.00","550.00","1","0.00","0.00","0.00"
"50","1188","Ковбаса варена з телятиною Гаяр","143.00","30.07","186.00","1","0.00","0.00","0.00"
"51","1189","Ковбаса варена фірмова з молоком забіяка","161.04","40.00","226.00","1","0.00","0.00","0.00"
"52","1190","Ковбаса варена теляча з вершками Червона калина","143.00","30.07","186.00","1","0.00","0.00","0.00"
"53","1191","Ковбаса Печена на соломі перша столиця","274.00","29.93","356.00","1","0.00","0.00","0.00"
"54","1192","Ковбаса печена у вакуумі","280.00","30.00","364.00","1","0.65","180.88","235.14"
