"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1172","Морква по-корейськи 500г","38.00","31.58","50.00","1","0.00","0.00","0.00"
"2","4750817133120","Сардина бест рига в олії 240гр","55.00","27.00","70.00","0","1.00","55.00","70.00"
"3","4751003922443","Консерва Ventspils Сардины в масле 240гр","66.00","30.16","86.00","0","4.00","264.00","344.00"
"4","4751029290823","Сардина Valmis old Traditions 240 гр","62.00","30.51","81.00","0","4.00","248.00","324.00"
"5","4820015946393","Соус томатний *Український* Класичний 485г.с/б (Рідний Край)","39.50","25.00","49.00","0","5.00","197.50","245.00"
"6","4820040021652","Ікра  білкова  червона 115г","23.00","30.43","30.00","0","0.00","0.00","0.00"
"7","4820040021676","Ікра білкова чорна 115г","23.00","30.43","30.00","0","0.00","0.00","0.00"
"8","4820049140118","Кукуруза  БАБУСИН ПРОДУКТ консерва 340г","33.00","30.30","43.00","0","0.00","0.00","0.00"
"9","4820049400953","Кукурудза скло хелло 340 г","31.00","30.00","40.00","0","8.00","248.00","320.00"
"10","4820062442428","Шпроти в олії склоь 250 г ТМ Baltijas","115.89","35.00","156.00","0","2.00","231.78","312.00"
"11","4820079201063","Начинка кондитерська ""Райдужна"" малина","38.00","31.58","50.00","0","0.00","0.00","0.00"
"12","4820113380815","Гриби шампіньони ""Ріо""марин.480мл","65.00","30.77","85.00","0","2.00","130.00","170.00"
"13","4820141690047","Консерва Щедра Нива Кукурудза цукрова 420гр","33.00","30.30","43.00","0","0.00","0.00","0.00"
"14","4820141690160","Горошок зелений консервований ТВИСТ ""Щедра нива"" в/с скло 460г","32.50","27.00","42.00","0","0.00","0.00","0.00"
"15","4820141690313","Горошок щедра нива преміум 340 г","28.50","25.00","36.00","0","15.00","427.50","540.00"
"16","4820141690320","Горошок консервований Щедра нива 200г","25.00","30.43","31.00","0","11.00","275.00","341.00"
"17","4820141690344","Кукурудза консервована Щедра нива 170г","24.00","28.00","30.00","0","0.00","0.00","0.00"
"18","4820165030430","КвасоляБ/тЛюбава","35.00","28.57","45.00","0","0.00","0.00","0.00"
"19","4820166616671","Кетчуп до шашлику дой-пак 250 г ТМ КУхар Рішельє","24.31","35.00","35.00","0","3.00","72.93","105.00"
"20","4820169831477","Ананас конс.(кольца)580мл ELF","65.00","30.77","85.00","0","1.00","65.00","85.00"
"21","4820169831491","Ананас конс.(кусочками)580мл ELF","65.00","30.77","85.00","0","0.00","0.00","0.00"
"22","4820169831767","Персик ТМ ""Elf"" половинки 820гр.","74.00","30.43","100.00","0","1.00","74.00","100.00"
"23","4820183770806","Кілька ""Аквамарин"" №5 в т/с ж/б 230 гр","34.00","23.53","42.00","0","0.00","0.00","0.00"
"24","4820183770820","Кілька Аквамарин с фас. в том. соусе 230г","34.00","26.47","43.00","0","0.00","0.00","0.00"
"25","4820183772930","Сардини в олії аквамарин","48.00","30.00","63.00","0","6.00","288.00","378.00"
"26","4820186126303","Персики половинки 820 г","74.00","30.00","96.00","0","4.00","296.00","384.00"
"27","4820186127485","Маслини чорні б/к  300 г (вілерман)","40.00","35.00","55.00","0","12.00","480.00","660.00"
"28","4820204640019","Квасоля томат смачного 460 г","31.00","30.00","40.00","0","10.00","310.00","400.00"
"29","4820204640026","Фасоля біла смачного","31.00","30.00","40.00","0","6.00","186.00","240.00"
"30","4820204640057","Мед штучний Смачного","32.00","31.25","42.00","0","9.00","288.00","378.00"
"31","4820209620016","Тушонка свинна Вербена","88.00","30.68","115.00","0","1.00","88.00","115.00"
"32","4820209620047","М'ясо курей у власному соку Вербена","92.00","30.43","120.00","0","3.00","276.00","360.00"
"33","4820209620283","М'ясо індиків Вербена","104.00","29.81","135.00","0","3.00","312.00","405.00"
"34","4820260410021","Шпроти Varo 160г","77.00","22.08","94.00","0","0.00","0.00","0.00"
"35","4820260410359","Тунець подрібнений в олії Varo","62.00","29.03","80.00","0","0.00","0.00","0.00"
"36","4820260410571","Сардина варо 240 г латвія","65.00","30.00","85.00","0","1.00","65.00","85.00"
"37","4820261460018","Консерва свинина тушкована 500г. iqekc","120.24","35.00","163.00","0","2.00","240.48","326.00"
"38","4820261460025","консерва свинина туристська 500г. iqekc","120.00","30.00","156.00","0","2.00","240.00","312.00"
"39","4820261460032","тушонка курка по домашньому iqekc","93.00","29.03","120.00","0","0.00","0.00","0.00"
"40","4820261460049","паштет мясний домашній 500г iqekc","73.00","30.14","95.00","0","0.00","0.00","0.00"
"41","4820261460056","Паштет з м'яса птиці iqekc","88.00","30.68","115.00","0","0.00","0.00","0.00"
"42","4820275520012","Ікра імітована Лососева ТМ Ниваагропродукт жб 130 г","76.56","40.00","110.00","0","0.00","0.00","0.00"
"43","4820275870223","Кілька у томатному соусі Даринка","28.50","30.00","37.00","0","4.00","114.00","148.00"
"44","4822005002492","Паштет печінковий 325 г металева  банка","64.00","35.00","86.00","0","1.00","64.00","86.00"
"45","4822005002720","Патет мясний 325 г метал. банка","64.00","30.00","86.00","0","0.00","0.00","0.00"
"46","4823039010842","Закуска бутербродна з шинкою по-мексиканськи","42.00","30.00","56.00","0","0.00","0.00","0.00"
"47","4823101000719","Товстолобик в томатному соусі Сніданок Короля","77.00","29.87","100.00","0","2.00","154.00","200.00"
"48","4823124600620","Лосось натуральний ""Салатний"" ТМ Морські","62.00","24.19","77.00","0","3.00","186.00","231.00"
"49","4823124600637","Корнішони мариновані Banka","84.00","29.76","109.00","0","0.00","0.00","0.00"
"50","4823124600941","Квасоля в томатному соусі Хуторок","40.38","29.27","53.00","0","13.00","524.94","689.00"
"51","4823124600958","Квасоля в ніжному соусі Хуторок","39.00","30.77","51.00","0","0.00","0.00","0.00"
"52","4823124600989","Квасоля у ніжному соусі Banka","51.06","29.63","70.00","0","3.00","153.18","210.00"
"53","4823124601009","перець гострий по-мексиканськи ТМ банка 300 г","61.68","35.00","83.00","0","0.00","0.00","0.00"
"54","4823124603355","Шампіньйони мариновані цілі з овочами хуторок 465 г","89.22","35.00","120.00","0","0.00","0.00","0.00"
"55","4823124603362","Шампіньйони мариновані цілі з овочами хуторок 300 г","62.34","35.00","84.00","0","2.00","124.68","168.00"
"56","4823127300732","Ікра з кабачків ТМ Хуторок 410 г скло","51.60","35.00","70.00","0","4.00","206.40","280.00"
"57","4823127314784","Повидло яблучне ТМ Хуторок 600 г","67.32","35.00","91.00","0","3.00","201.96","273.00"
"58","4823127318539","Гриби закусочні намеко мариновані ""the Banka"" 300 г","88.68","30.00","115.00","0","2.00","177.36","230.00"
"59","5060162905082","Кукурудза міні 200 г  сан едуардо","25.00","30.00","33.00","0","0.00","0.00","0.00"
"60","5901581104178","Кукурудза кінг 400 г","28.00","30.00","36.00","0","6.00","168.00","216.00"
"61","5902693180180","Оливки с миндалем","105.00","23.81","130.00","0","1.00","105.00","130.00"
"62","5902693180210","Шпроти ""М&К"" польські 112г.","90.00","30.00","117.00","0","9.00","810.00","1,053.00"
"63","5902693180227","Шпроти М&K скло-банка 250г.","120.00","25.44","150.00","0","0.00","0.00","0.00"
"64","5902693181064","КукурудзаПольська MK 400г","34.00","32.35","45.00","0","2.00","68.00","90.00"
"65","5902693181651","Горошок консервований  MK польський","32.00","31.25","42.00","0","7.00","224.00","294.00"
"66","5904947609010","Тунець польський шматочки в олії 170г МК","70.00","33.00","95.00","0","9.00","630.00","855.00"
"67","5904947609102","Тунець дроблений польський 170г","50.00","35.00","68.00","0","6.00","300.00","408.00"
"68","5905999154763","Кукурудза консервоваеа польська Green Garden","35.00","31.43","46.00","0","1.00","35.00","46.00"
"69","5906716200831","Горошок зелений консервований Jamar 400 г","41.40","30.00","54.00","0","3.00","124.20","162.00"
"70","5906716200848","Кукурудза консервована солодка 400г jamar","39.96","30.00","52.00","0","1.00","39.96","52.00"
"71","5906716201180","Квасоля червона консервована 400г","39.72","30.00","52.00","0","0.00","0.00","0.00"
"72","5999886128050","кукурудза мала","21.00","30.00","27.00","0","11.00","231.00","297.00"
"73","8436000934809","Оливки  скло Mediterranea 370 г","111.72","35.00","151.00","0","0.00","0.00","0.00"
"74","8436006917844","Чорні оливки б\к ля фрагуа 0.390 г","78.72","35.00","106.00","0","2.00","157.44","212.00"
"75","8436024290028","Оливки MAESTRO DE OLIVA без кісточки, ж.б., 300 г","65.00","29.23","84.00","0","2.00","130.00","168.00"
"76","8436024296143","Оливки зелені ""Maestro de Oliva"" 280","55.00","30.91","72.00","0","4.00","220.00","288.00"
"77","8436024299212","оливки Maestro de Oliva з лимоном280","65.00","29.23","84.00","0","0.00","0.00","0.00"
"78","8436545531969","Оливка з болгарським перцем Olispania","79.44","30.38","108.00","0","1.00","79.44","108.00"
"79","8436545531976","Оливка з лимоном Olispania","79.44","35.00","108.00","0","0.00","0.00","0.00"
"80","8436545534113","Оливка з зеленим перцем чілі Olispania","79.44","32.05","108.00","0","1.00","79.44","108.00"
"81","8436545534168","Оливка з червоною рибою Olispania","79.00","30.38","103.00","0","0.00","0.00","0.00"
"82","8437006915908","маслини без кісточки 300мл","40.00","30.00","52.00","0","0.00","0.00","0.00"
"83","8437006916806","Оливки зелені Ibelus","36.00","30.56","47.00","0","0.00","0.00","0.00"
"84","8437018473670","тунець 500г","225.00","40.00","315.00","0","1.00","225.00","315.00"
"85","8680395188839","оливки унус з сиром 290","130.00","40.00","182.00","0","3.00","390.00","546.00"
"86","8855301217938","Тунець цілий у вл. Валміс 150 г","64.00","29.69","83.00","0","0.00","0.00","0.00"
"87","8859325780607","Ананаси кільцями 580мл.","65.00","20.00","78.00","0","1.00","65.00","78.00"
"88","8859325781857","Ананас консервований різаний Tropicana","54.00","29.63","70.00","0","1.00","54.00","70.00"

