"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820139280212","Коньяк Закарпатський ""Пять зірочок"" 0,25л","131.00","25.95","165.00","0","0.00","0.00","0.00"
"2","4820139280243","Закарпатський коньяк 0,25л 4 зірки","128.00","25.00","160.00","0","2.00","256.00","320.00"
"3","4820139280267","Коньяк 0.5 л. тм тиса ординарн.***","211.00","25.12","264.00","0","0.00","0.00","0.00"
"4","4820139280779","Бренді ординарний Три зірочки тиса  0,250","110.90","30.00","145.00","0","2.00","221.80","290.00"
"5","4820139280786","Бренді ординарний три зірочки тиса 0,5","210.66","32.00","280.00","0","2.00","421.32","560.00"
"6","4820189290094","**Коньяк Азнаури украина 3р. 0.5л","170.60","30.00","222.00","0","0.00","0.00","0.00"
"7","4820189290100","Коньяк Азнаурі 4* 0.5л","178.00","24.72","222.00","0","0.00","0.00","0.00"
"8","4820189292845","Коньяк Азнаурі 0,350гр 3*","118.00","24.58","147.00","0","0.00","0.00","0.00"
"9","4820189294047","Коньяк України одинарний ""П'ять зірочок"" 0,5 Упаковка","233.00","30.00","303.00","0","0.00","0.00","0.00"
"10","4820189294696","Коньяк Азнаурі 0,250 вишня","83.60","30.00","110.00","0","9.00","752.40","990.00"
"11","4820189294719","Спирт. напій Азнаурі езпрессо 0.250","83.50","30.00","110.00","0","5.00","417.50","550.00"
"12","4820189294733","Коньяк Азнаурі Еспрессо 0,5л","153.00","30.00","200.00","0","1.00","153.00","200.00"
"13","4820189294757","СпиртНап""AZNAURIWildCherry""0,5лНК","153.20","30.00","200.00","0","6.00","919.20","1,200.00"
"14","4820189294771","Коньяк Aznauri Chocolate 0,5l","153.20","30.00","200.00","0","6.00","919.20","1,200.00"
"15","4820189295341","Коньяк Aznauri 3* 0,5l","170.60","30.00","222.00","0","10.00","1,706.00","2,220.00"
"16","4820189295365","Бренді""АЗНАУРІ""4* 0,5л","187.10","30.00","243.00","0","2.00","374.20","486.00"
"17","4820189295389","Коньяк Азнаурі 5* 0.5","202.50","30.37","265.00","0","0.00","0.00","0.00"
"18","4820189295495","Бренді Aznauri 5* 0,25l","107.10","27.00","137.00","0","3.00","321.30","411.00"
"19","4820189295518","Бренді Aznauri 3* 0,1l","44.70","30.00","60.00","0","3.00","134.10","180.00"
"20","4820189295532","Бренді""АЗНАУРІ""3* 0,25л","94.10","35.00","130.00","0","6.00","564.60","780.00"
"21","4820189295594","Коньяк Aznairi 3* 1l","312.00","25.00","390.00","0","0.00","0.00","0.00"
"22","4820189295617","Бренді""АЗНАУРІ""3* 0,35л","125.90","27.00","160.00","0","4.00","503.60","640.00"
"23","4820189295631","Коньяк Aznauri 3* 0,7l","232.90","30.00","303.00","0","2.00","465.80","606.00"
"24","4820189295785","Спирт. нап. Азнаурі СпайсХані 0,5 л","153.20","30.00","199.00","0","3.00","459.60","597.00"
"25","4823112500659","Коньяк Ай-Петрі 3*  0,1л","34.98","38.00","48.00","0","20.00","699.60","960.00"
"26","4823112504909","Коньяк ай-петрі 100г","30.00","33.33","40.00","0","1.00","30.00","40.00"
"27","4823122204028","Коньяк Adjari 3* 500ml","176.00","25.00","220.00","0","0.00","0.00","0.00"
"28","4823136400850","Коньяк Бр Ай-Петрі 0,1 л","32.50","35.00","45.00","0","0.00","0.00","0.00"
"29","4823136400874","Коньяк Ай-Петрі 0,250","65.00","30.00","85.00","0","0.00","0.00","0.00"
"30","4860128440029","Бренді ординарний ТМ Ардіані 0.25л","87.90","25.00","110.00","0","2.00","175.80","220.00"
"31","4860128440050","Бренді ""Ардаміані"" 3* 0.5","159.96","25.00","200.00","0","3.00","479.88","600.00"

