"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","067238891190","Мило dove (дав) оригінал 135г","50.00","25.00","65.00","0","0.00","0.00","0.00"
"2","20244641","шампунь хеден ментол 400мл","150.00","35.00","205.00","0","2.00","300.00","410.00"
"3","3014260228682","Пена для бритья Gillette для чувств кожи 200мл","71.00","35.00","100.00","0","4.00","284.00","400.00"
"4","3838824208985","Schauma for men Шампунь проти надмірної лупи, 400 мл","110.00","31.82","145.00","0","2.00","220.00","290.00"
"5","4006000007946","Антиперспіран ""Енергія свіжості"" NIVEA","90.00","38.89","125.00","0","0.00","0.00","0.00"
"6","4006000026626","Антиперспірант ""Чорне та Біле невидимий: класичний"" NIVEA MEN","105.00","33.33","140.00","0","1.00","105.00","140.00"
"7","4006000026763","Антиперспірант ""Чорне та Біле невидимий: чистий""","90.00","38.89","125.00","0","0.00","0.00","0.00"
"8","4006000035185","Дезодорант нівея спрей чол 150мл","110.00","38.00","152.00","0","3.00","330.00","456.00"
"9","4006000092621","Дезодорант нівея спрей жін 150мл","98.00","40.00","137.00","0","0.00","0.00","0.00"
"10","4056800114047","Лак-блеск для волос суперсильной фиксации ""Wellaflex"" 250 мл","130.00","26.92","165.00","0","2.00","260.00","330.00"
"11","4066447770728","Дезодорант Soft Flower 24h Balea","70.00","28.57","90.00","0","0.00","0.00","0.00"
"12","4066447770766","Антиперспірант 5in1 Protection 48h Balea","70.00","28.57","90.00","0","0.00","0.00","0.00"
"13","4066447873092","Гель для душу Balea фісташка 300мл","46.00","30.43","60.00","0","2.00","92.00","120.00"
"14","4066447873108","Гель для душу Balea інжир слива 300мл","46.00","30.43","60.00","0","1.00","46.00","60.00"
"15","4066447948134","Дезодорант Sensitive 48h Balea","70.00","28.57","90.00","0","0.00","0.00","0.00"
"16","4084500479821","олд спайс спрей вайт вотер","95.00","40.00","133.00","0","1.00","95.00","133.00"
"17","4084500610699","Шампунь Хеден Repair care 400ml","172.00","29.65","223.00","0","1.00","172.00","223.00"
"18","42438977","Стік ддля чол.део чорне та біле Нівея 50мл","107.00","40.00","150.00","0","2.00","214.00","300.00"
"19","42438984","Стік д/чол.део Nivea Cool Ksck 50мл.","107.00","40.00","150.00","0","2.00","214.00","300.00"
"20","4260363470049","Презевативы ароматные с силикон. смазк.","40.00","65.00","66.00","0","1.00","40.00","66.00"
"21","4311501648247","Піна для гоління Елкос","80.00","31.25","105.00","0","1.00","80.00","105.00"
"22","4820026140704","Крем детский ""Биотон"" c молоком козячим 75мл","25.00","60.00","40.00","0","3.00","75.00","120.00"
"23","4820026142692","обл. Біотон   2692    шампунь    Біотошка    250","40.00","37.50","55.00","0","2.00","80.00","110.00"
"24","4820051294250","Шампунь ""Effect"" Екстракт орхідеї 1л","35.00","42.86","50.00","0","1.00","35.00","50.00"
"25","4823001600545","Лак для волосся ""Леда Style "" 5 мега сильної фіксації","75.00","35.00","102.00","0","4.00","300.00","408.00"
"26","4823001604253","Лак для волосся ""Леда Style "" 4  экстра сильної фіксації","85.00","35.00","115.00","0","3.00","255.00","345.00"
"27","4823107601323","шампунь уті путі","35.00","48.57","52.00","0","1.00","35.00","52.00"
"28","4823107608001","Дитячий крем Shik захисний з екстрактом календули","20.00","50.00","30.00","0","1.00","20.00","30.00"
"29","5000174244823","Дезодорант ""Секрет"" кремовый 40мл","75.00","33.33","100.00","0","0.00","0.00","0.00"
"30","5011321336049","Head &amp; Shoulders Classic Clean Szampon do w?osow 400 ml","172.00","29.65","223.00","0","0.00","0.00","0.00"
"31","5060040300145","Презервативы contex класик к.1147","20.00","75.00","35.00","0","0.00","0.00","0.00"
"32","5410076561223","Pantene Pro-V Aqua Light Szampon do w?osow cienkich i przet?uszczaj?cych si? 400 ml","122.30","30.77","166.00","0","1.00","122.30","166.00"
"33","5900017064000","Антиперспірант ""Чорне та біле"" жін. NIVEA","90.00","38.89","125.00","0","0.00","0.00","0.00"
"34","59002734","Дезодорант Rexona invisible on black+white сухий","88.00","38.89","125.00","0","3.00","264.00","375.00"
"35","59004752","Дезодорант сухий рексона Pure","88.00","35.00","120.00","0","1.00","88.00","120.00"
"36","59004790","Рексона суха на чорному та білому","96.00","30.21","125.00","0","0.00","0.00","0.00"
"37","59099277","Антиперспірант кульовий Rexona Алое Вера 48 годин","55.00","32.73","73.00","0","0.00","0.00","0.00"
"38","59099291","Антиперспірант кульковий rexona біоритм 48 годин","55.00","32.73","73.00","0","0.00","0.00","0.00"
"39","59099574","Антиперспірант-олівець dove дотик свіжості","110.00","36.36","150.00","0","0.00","0.00","0.00"
"40","6904598199006","ЛаХот Презервативы классические 3шт.","8.00","150.00","20.00","0","16.00","128.00","320.00"
"41","6953350030293","помада гігієнічна","14.00","150.00","20.00","0","10.00","140.00","200.00"
"42","7702018464692","Гель для бритья Gillette Fusion Sensitive 200мл","135.00","28.15","173.00","0","1.00","135.00","173.00"
"43","8001090965431","Олд спайс гель для душу + шампунь 3в1 250 мл","88.05","40.00","123.00","0","1.00","88.05","123.00"
"44","8001841923765","Дезодорант антиперспірант OldSpise Whitewater","90.00","38.89","125.00","0","0.00","0.00","0.00"
"45","8006540377208","OLD SPICE спрей Тигр150","95.00","40.00","133.00","0","1.00","95.00","133.00"
"46","8006540416778","Бальзам-ополіскувач Pantene Pro-V Додатковий об'єм","95.00","26.32","120.00","0","0.00","0.00","0.00"
"47","8006540838761","Гель для душу та шампунь Old Spice Оазис. З ароматом димної ванілі 400мл","130.00","26.92","165.00","0","0.00","0.00","0.00"
"48","8032680398483","dermomed shower gel з ірисом","120.00","29.17","155.00","0","0.00","0.00","0.00"
"49","8690506094126","Крем для бритья ""ARKO Men"" Cool с витамином Е, освежающий, 65г","45.00","33.33","60.00","0","0.00","0.00","0.00"
"50","8690506346560","Пена для бритья АРКО ""Shaving Foam Cool"" 300+100мл","75.00","36.00","102.00","0","0.00","0.00","0.00"
"51","8690506346584","Піна для гоління 300 г екстра чутлива шкіра Арко","75.00","36.00","102.00","0","0.00","0.00","0.00"
