"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820071570075","Телец пластівці вівсяні Екстра 400г","20.00","25.00","25.00","0","0.00","0.00","0.00"
"2","4820071570341","пластіві тілець 800гр Геркулес","38.00","26.32","48.00","0","9.00","342.00","432.00"
"3","4820094533194","Пластівці вівсяні Кузуб 400г","26.00","26.92","33.00","0","0.00","0.00","0.00"
"4","4820094533200","Пластівці ""КП "" 5 злаків+кунжут в пак. 0,4(30шт)","34.45","25.00","45.00","0","1.00","34.45","45.00"
"5","4820094533217","Пластівці ""КП "" 7 злаків+нас.гарбуза в пак. 0,4(30шт)","36.28","27.27","47.00","0","0.00","0.00","0.00"
"6","4820094533224","Пластівці ""КП "" 9злак+льон в пак. 0,4(30шт)","26.75","30.84","35.00","0","0.00","0.00","0.00"
"7","4820094536270","Козуб Каша вівсяна 40г Лісові ягоди","10.00","30.00","13.00","0","0.00","0.00","0.00"
"8","4820098570065","Пшоно смакота","47.00","25.00","59.00","0","0.00","0.00","0.00"
"9","4820132581033","Dr.Benner Мюслі Фруктовий мікс 300г","45.36","30.00","60.00","0","0.00","0.00","0.00"
"10","4820132581040","Dr.Benner Мюслі Екзотичні Фрукти 300г","45.36","30.00","60.00","0","0.00","0.00","0.00"
"11","4820132581682","3 злака Doctor Benner","30.00","23.33","37.00","0","0.00","0.00","0.00"
"12","4820132581699","7 злаків Doctor Benner","30.00","23.33","37.00","0","0.00","0.00","0.00"
"13","4820132583198","Dr.Benner Мюслі Фітнес 300г","43.00","25.58","54.00","0","1.00","43.00","54.00"
"14","4820132583778","Крупа вівсяна плющена Doctor Benner","30.00","23.33","37.00","0","1.00","30.00","37.00"
"15","4820132583822","Хлопья ваніль-шоколад Doctor Benner","40.00","25.00","50.00","0","0.00","0.00","0.00"
"16","4820168880476","крупа пшеничка сто пудов 700г","15.00","30.00","22.00","0","8.00","120.00","176.00"
"17","4820168881831","Крупа Кус кус 400 г Сто пудов","38.00","30.00","52.00","0","12.00","456.00","624.00"
"18","4820168886027","Булгур Велл 0.7кг ТМ Сто пудов","37.00","27.03","47.00","0","2.00","74.00","94.00"
"19","4820174600150","Хатинка крупа Пшенична 900г Артек","33.72","26.47","43.00","0","2.00","67.44","86.00"
"20","4820174600198","Перловка 1кг ТМ Хатынка","38.21","30.00","50.00","0","4.00","152.84","200.00"
"21","4820174600211","Крупа Ячка Хатинка 700г","26.00","23.08","32.00","0","0.00","0.00","0.00"
"22","4820174600242","Крупа кукурудзяна дрібна синя 0.4","15.52","30.00","20.00","0","0.00","0.00","0.00"
"23","4820174600372","""Хатинка"" крупа Горох 1кг","41.00","24.39","51.00","0","1.00","41.00","51.00"
"24","4820205980046","Рис пропачений (Повний глечик)900г","40.00","25.00","52.00","0","12.00","480.00","624.00"
"25","4820205980053","Рис Довгий Повний Глечик 900г.","40.00","25.00","50.00","0","16.00","640.00","800.00"
"26","4820205980060","Рис  круглозернистий ""Повний  глечик"" 900гр","43.00","25.58","54.00","0","10.00","430.00","540.00"
"27","4820205980084","Кутя ""Повн.Глечик"" 700г","20.00","25.00","25.00","0","4.00","80.00","100.00"
"28","4820205980091","крупа Кукурудзяна 700г. Повний Глечик","17.00","25.00","22.00","0","8.00","136.00","176.00"
"29","4820205980107","Крупа Перлова 700г.","18.00","22.22","22.00","0","9.00","162.00","198.00"
"30","4820205980114","Пшоно""Повний глечик""","42.50","25.00","54.00","0","11.00","467.50","594.00"
"31","4820205980121","Крупа ячмінна Повн.Глечик 700г","17.00","30.00","23.00","0","16.00","272.00","368.00"
"32","4820205980138","Крупа Манна Повний Глечик 900г.","19.50","25.00","25.00","0","4.00","78.00","100.00"
"33","4820205980152","Горох Повний Глечик Жовтий 900г.","24.00","25.00","30.00","0","12.00","288.00","360.00"
"34","4820205980169","Крупа пшенична (Повний глечик) 700г","16.50","30.00","22.00","0","35.00","577.50","770.00"
"35","4820205980176","Крупа Гречана ""Повний глечик"" 900г","49.00","25.00","74.00","0","3.00","147.00","222.00"
"36","4820217880143","Цукор родинна щедрість 900 г","25.50","27.00","34.00","0","7.00","178.50","238.00"
"37","4820266090395","Каша гречана зі свининою Тернопільський м'ясокомбінат","87.00","29.89","113.00","0","0.00","0.00","0.00"
"38","4820271600015","Сіль йод повний глечик","15.50","40.00","23.00","0","50.00","775.00","1,150.00"
"39","4820271600022","Кукурудзяна крупа ""Екстра"" Повний Глечик 700г","15.00","26.67","19.00","0","0.00","0.00","0.00"
"40","4823127308035","Крупа гречана Панський Хуторок","49.56","28.00","64.00","0","1.00","49.56","64.00"
"41","4823127308073","Крупа булгур Панський Хуторок","27.78","30.00","38.00","0","1.00","27.78","38.00"
"42","4823127308394","Рис круглий шліфований  ТМ Хуторок  панський 400г","31.86","30.00","41.00","0","2.00","63.72","82.00"
"43","5907437368923","Кульки на молоко HOPKI","90.00","24.44","112.00","0","0.00","0.00","0.00"
"44","7700000012432","сочевиця","65.00","30.00","85.00","0","3.00","195.00","255.00"

