"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1027","Серце куряче","96.00","30.21","125.00","1","2.03","194.88","253.75"
"2","1028","Філе куряче","180.00","30.21","250.00","1","2.76","496.98","690.25"
"3","1029","Крило курки","87.00","35.00","120.00","1","0.88","76.21","105.12"
"4","1030","Гомілка","75.00","50.00","112.00","1","0.00","0.00","0.00"
"5","1031","Четвертинка","75.00","50.00","112.00","1","2.99","224.48","335.22"
"6","1032","Спинка","30.00","40.00","50.00","1","0.61","18.39","30.65"
"7","1033","Печінка","86.00","40.00","120.00","1","0.59","50.57","70.56"
"8","1034","Стегно","110.00","45.00","160.00","1","4.40","483.67","703.52"
"9","1035","Кості голі","3.00","150.00","12.00","1","20.00","60.00","240.00"
"10","1504220014124","Шашлик свинячий ходорівський мясокомбінат","218.00","40.00","306.00","1","1.41","308.25","432.68"
"11","2922899012828","Крило куряче мариноване пікантне","84.24","60.00","145.00","1","0.00","0.00","0.00"
"12","2924953008006","Стегно куряче в маринаді ""Барбекю"" ( горянка)","150.48","60.00","242.00","1","1.99","298.85","480.61"
"13","2924964008187","Гомілка куряча в  маринаді барбекю","110.28","50.00","167.00","1","1.88","207.33","313.96"

