"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820292820010","Niebieska iskra 18h","10.00","50.00","15.00","0","-1.00","-10.00","-15.00"
"2","4820292820034","Свічка запаска 42г","15.00","60.00","25.00","0","0.00","0.00","0.00"
"3","4820986004023","свічка запас. 18год. Меморіал","9.00","50.00","15.00","0","79.00","711.00","1,185.00"
"4","4820986004054","Меморіал 24год Запаска для Лампадки","12.00","55.00","20.00","0","65.00","780.00","1,300.00"
"5","4820986004092","Меморіал 48h yunior","22.00","50.00","36.00","0","16.00","352.00","576.00"
"6","4826200243662","Лампадка 36 год (36-62) квіти термо","72.00","50.00","108.00","0","0.00","0.00","0.00"
"7","4826200244819","лампадка 48год хрест великий 8шт","105.00","50.00","158.00","0","0.00","0.00","0.00"
"8","4826300413655","лампадка 36год роза серце нове 8шт","72.00","50.00","108.00","0","0.00","0.00","0.00"
"9","5906927000541","запаска bispol р50","12.25","33.33","20.00","0","28.00","343.00","560.00"
"10","5906927000794","Запаски до лампадки 1 шт bispol art. p70 сер","16.00","38.89","25.00","0","20.00","320.00","500.00"
"11","5906927001630","Bispol Запаска до лампадки, арт.W03 2.5 доби","28.50","50.00","44.00","0","34.00","969.00","1,496.00"
"12","5906927001647","Bispol Запаска до лампадки, арт.W04 3.5 доби","41.00","50.00","63.00","0","35.00","1,435.00","2,205.00"
"13","5906927003054","Запаска лампатка вис.5,5 1шт. р30 міні","8.40","62.50","13.00","0","49.00","411.60","637.00"
"14","5906927007595","Запаска для лампадки парафінова Bispol 48 год.WO2","22.00","50.00","33.00","0","54.00","1,188.00","1,782.00"
"15","7700000010995","Лампадка yunior кольор. скло асорт","26.00","38.46","36.00","0","3.00","78.00","108.00"
"16","7700000011008","Лампадка yunior кольор. скло мала","16.00","62.50","26.00","0","15.00","240.00","390.00"
"17","7700000011015","Лампадка біла хрестик середня","55.00","30.91","72.00","0","0.00","0.00","0.00"
"18","7700000011039","Лампадка пластмаса дешева колір","6.00","66.67","10.00","0","110.00","660.00","1,100.00"
"19","7700000011046","Запаска Меморіал Yunior 36h","20.00","36.36","30.00","0","25.00","500.00","750.00"
"20","7700000011053","Лампадка біла з образом","70.00","28.57","90.00","0","2.00","140.00","180.00"
"21","7700000011060","Лампадка чорна-ліхтарик на батарейку","68.00","25.00","85.00","0","0.00","0.00","0.00"
"22","7700000011077","Лампадка більша коричнева у пластмасовій коробці","145.00","17.24","170.00","0","0.00","0.00","0.00"
"23","7700000011084","Лампадка дуже біла прямокутна скло","240.00","25.00","300.00","0","0.00","0.00","0.00"
"24","7700000011091","Лампадка велика скло прямокутна","210.00","23.81","260.00","0","0.00","0.00","0.00"
"25","7700000011107","Лампадка велика суцільне скло","130.00","23.08","160.00","0","0.00","0.00","0.00"
"26","7700000012029","Лампадка велика чорна","200.00","53.85","300.00","0","2.00","400.00","600.00"
"27","7700000012036","Лампадка кругла матір божа золото","70.00","57.14","110.00","0","0.00","0.00","0.00"
"28","7700000012203","лампадка 36 год (36-D) наклейка","72.00","50.00","108.00","0","0.00","0.00","0.00"
"29","7700000012333","лампадка 24 год хрест квадрат біла 8шт","48.00","50.00","72.00","0","1.00","48.00","72.00"
"30","7700000012340","лампадка 90год скло вітраж 4шт","170.00","50.00","255.00","0","0.00","0.00","0.00"
"31","7700000012524","лампадка 48гщд голуб","105.00","50.00","158.00","0","4.00","420.00","632.00"
"32","7700000012531","лампадка 36год наклейка хрест памятаємо","78.00","50.00","117.00","0","4.00","312.00","468.00"
"33","7700000012548","лампадка 24 год павутинка","48.00","50.00","72.00","0","11.00","528.00","792.00"
"34","7700000012647","лампадка 36г квадрат пластмаса біла","120.00","55.00","186.00","0","3.00","360.00","558.00"
"35","7700000012654","лампадка 36 г троянда кераміка 8шт","78.00","55.00","121.00","0","5.00","390.00","605.00"
"36","7700000012661","лампадка 36 г капличка 8шт","78.00","55.00","121.00","0","6.00","468.00","726.00"

