"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820166613618","Майонез Кухар Рішельє 175г 40,5% Три яйця","15.83","30.00","21.00","0","0.00","0.00","0.00"
"2","4820166615650","Майонезний соус 40,5% філ-пак 340гр*30шт Три яйца","30.13","30.00","39.00","0","0.00","0.00","0.00"
"3","4820189940432","Майонез МакМай Провансаль 67% 170г пак.","18.72","40.00","28.00","0","0.00","0.00","0.00"
"4","4820241525782","Майонезний соус  40,5 % філ-пак  340 г ( кухар рішельє)","30.13","28.00","40.00","0","14.00","421.82","560.00"
"5","4820241526017","Майонезний соус 40,5 % філ-пак 175 г три яйця","15.83","30.00","21.00","0","14.00","221.62","294.00"
"6","4823097400913","МАЙОНЕЗ ЩЕДРО ПРОВАНСАЛЬ 67% 0,190ГР","26.00","25.00","34.00","0","86.00","2,236.00","2,924.00"
"7","4823097402696","Майонез Щедро 67% 700г","72.00","27.00","91.00","0","18.00","1,296.00","1,638.00"
"8","4823097407165","майонез щедро провансаль 300г 67% дойпак","46.00","25.00","59.00","0","23.00","1,058.00","1,357.00"
"9","4823097407622","майонез щедро провансаль ф.п 0,3","38.00","25.00","52.00","0","38.00","1,444.00","1,976.00"

