"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4056489633341","Макарони для лазані Combino 500г","93.00","24.73","116.00","0","2.00","186.00","232.00"
"2","4820044840891","Макарони КИЇВМІКС Пера 1кг","38.00","25.00","48.00","0","1.00","38.00","48.00"
"3","4820044840921","Макарони *Київ Мікс* Ріжки 1кг","38.00","29.41","49.00","0","10.00","380.00","490.00"
"4","4820044840938","Макарони *Київ Мікс* Ріжки мал. 1кг.","34.00","29.41","48.00","0","0.00","0.00","0.00"
"5","4820044840945","Макарони *Київ Мікс* Мушлі 1кг.(Акція -5%)","37.00","29.73","48.00","0","1.00","37.00","48.00"
"6","4820044840969","Макарони *Київ Мікс* Павутинка 1кг.","38.00","25.00","50.00","0","8.00","304.00","400.00"
"7","4820044840990","Макарони *Київ Мікс* Спіраль 1кг","38.50","25.00","49.00","0","5.00","192.50","245.00"
"8","4820044841027","Макарони КИЇВМІКС 1кг Пружинка","38.00","25.00","48.00","0","3.00","114.00","144.00"
"9","4820044841515","Макарони *Київ Мікс* Спагетті Довга 1кг","38.00","29.41","50.00","0","5.00","190.00","250.00"
"10","4820060950345","Макаронні Вир Ірна Локшина Лагманна Яєчні 400 гр","40.00","30.00","52.00","0","0.00","0.00","0.00"
"11","4820096260050","Макарони ""Тая"" Класичні спіральки 1кг","37.00","27.00","46.00","0","2.00","74.00","92.00"
"12","4820096260180","Макароны перья Тая 1000г Украина (1.0 шт)","32.00","31.25","42.00","0","0.00","0.00","0.00"
"13","4820143340018","Макарони домашні Vermicelli lungo 400г","27.50","25.00","35.00","0","23.00","632.50","805.00"
"14","4820143340025","Макарон локшина  ТМ Домашні макарони  400г","29.00","25.00","37.00","0","20.00","580.00","740.00"
"15","4820167530976","макарон італія пастела 400г","38.00","33.00","51.00","0","1.00","38.00","51.00"
"16","4820179256796","Вермішель Reeva 60г курка","10.83","40.00","15.00","0","88.00","953.04","1,320.00"
"17","4820211661021","Макарони""Ла Паста""супові-зірочки 400г.","40.00","25.00","50.00","0","3.00","120.00","150.00"
"18","4820212460289","Вермішель стакан овочева приправа","19.00","31.58","25.00","0","0.00","0.00","0.00"
"19","4820244490018","130г вермішель шв.приг.курка з мексикан.соусом Золотий дракон ТМ","26.00","34.62","35.00","0","0.00","0.00","0.00"
"20","4820244490032","130г вермішель шв.приг.м'ясо з томат..соусом Золотий Дракон ТМ","26.00","34.62","35.00","0","0.00","0.00","0.00"
"21","4820244490087","Golden Dragon вермішель швидкого прготування зі смаком грибів 80г (не гостра)","19.00","31.58","25.00","0","0.00","0.00","0.00"
"22","4820244490483","Вермішель рисова курка Skorovarka","6.00","33.33","8.00","0","0.00","0.00","0.00"
"23","4820244490896","Вермішель рисова з куркою негостра Skorovarka","6.00","33.33","8.00","0","0.00","0.00","0.00"
"24","4820244490902","Вермішель рисова гриби негостра Skorovarka","6.00","33.33","8.00","0","0.00","0.00","0.00"
"25","4820244490919","Вермішель рисова сир негостра Skorovarka","6.00","33.33","8.00","0","0.00","0.00","0.00"
"26","4820244490926","Вермішель рисова телятина гостра Skorovarka","6.00","33.33","8.00","0","0.00","0.00","0.00"
"27","4823124600705","Вермішель зі смаком курки Хуторок","10.00","30.00","13.00","0","0.00","0.00","0.00"
"28","4823124600712","Вермішель зі смаком курки Хуторок 60 г","9.78","40.00","14.00","0","8.00","78.24","112.00"
"29","4823124603843","Вермішель зі смаком качки Хуторок","10.00","30.00","13.00","0","1.00","10.00","13.00"
"30","4823124604796","Вермішель швидкого приготування зі смаком домашньої курки хуторок лоток 90 г","25.50","40.00","36.00","0","0.00","0.00","0.00"
"31","4823124604802","Вермішель швидкого приготування зі смаком гуляшу гостра ТМ хуторок лоток 90 г","25.50","49.02","38.00","0","0.00","0.00","0.00"
"32","4823124604819","Вермішель швидкого приготування зі смаком грибної юшки ТМ хуторок лоток 90 г","25.50","40.00","38.00","0","0.00","0.00","0.00"
"33","4823124604901","Вермішель швидкого приготування зі смаком домашньої курки Хуторок стакан 80 г","21.00","40.00","33.00","0","0.00","0.00","0.00"
"34","4823124604925","Вермішель швидкого приготування зі смаком гуляшу гостра Хуторок стакан 80 г","21.00","40.00","33.00","0","0.00","0.00","0.00"
"35","4823124604963","Локшина шп  зі смаком грибів з соусом солодкий чилі КІТТО","32.00","31.25","42.00","0","0.00","0.00","0.00"
"36","4823127300626","Макарони спагеті ля паста 400 г","35.04","40.00","58.00","0","3.00","105.12","174.00"
"37","4823127300756","Макарони вермішель La pasta 400г","40.00","25.00","50.00","0","4.00","160.00","200.00"
"38","4823127300770","Макарони Пера La pasta 400г","40.20","40.00","55.00","0","3.00","120.60","165.00"
"39","4823127300800","Макарони фігурні черепашки 400 г ля паста","40.20","40.00","56.00","0","1.00","40.20","56.00"
"40","4823127300817","Макарони рожки La pasta 400г","40.00","25.00","50.00","0","0.00","0.00","0.00"
"41","4823127303771","Макарони гнізда La pasta 400г","71.00","25.35","89.00","0","0.00","0.00","0.00"
"42","4823127306673","Макарон Спагетті Хуторок 450 г","20.76","35.00","30.00","0","5.00","103.80","150.00"
"43","4823127306918","Макарони фігурні бантики 400 г ля паста","46.62","35.00","63.00","0","3.00","139.86","189.00"
"44","4823127316917","Макарони серця La pasta 400г","40.00","25.00","50.00","0","0.00","0.00","0.00"
"45","5201013019941","Макарон Grano dorato 500g","45.00","35.00","61.00","0","0.00","0.00","0.00"
"46","5900242000866","смачки 400 польща","42.00","33.00","56.00","0","4.00","168.00","224.00"
"47","5900242002013","смачки 200гр польща","22.00","35.00","30.00","0","6.00","132.00","180.00"
"48","5904072001154","Бабуні макарон 0,250","32.00","30.00","43.00","0","11.00","352.00","473.00"
"49","5998720700018","макарон польс павутинка 500гр","40.00","25.00","50.00","0","2.00","80.00","100.00"
"50","8008857200057","Макарон регіна спагеті 0,5 (5)","38.00","35.00","52.00","0","1.00","38.00","52.00"
"51","8008857200170","Макарони реджіа спагетті 17 0,5","37.00","33.00","49.00","0","0.00","0.00","0.00"
"52","8008857200217","Макарон регіна спагеті 500 г","37.00","35.14","50.00","0","4.00","148.00","200.00"
"53","8008857300344","Макарони Pasta Reggia Penne ziti rigate 34 (Італія)","37.00","25.00","50.00","0","5.00","185.00","250.00"
"54","8008857300481","Макарон паста регіна0,500","37.00","35.00","50.00","0","3.00","111.00","150.00"
"55","8008857300603","Макаронні вироби ""gomiti rigati"" №60 500 г ракушки реджіа","40.00","25.00","50.00","0","1.00","40.00","50.00"
"56","8008857300627","Макарон регіна 500 г (ракушка)","37.00","35.14","50.00","0","2.00","74.00","100.00"
"57","8008857300634","МАКАРОНИ PASTA REGGIA CAVATAPPI 63 (ІТАЛІЯ)","40.00","25.00","50.00","0","0.00","0.00","0.00"
"58","8008857300641","Макаронні вироби ""gnocchi"" №64 500 г reggia di caserta","40.00","25.00","50.00","0","1.00","40.00","50.00"
"59","8008857300887","Макарони Reggia 500g","37.50","35.00","51.00","0","0.00","0.00","0.00"
"60","8008857400839","Макароны ""Reggia"" бабочка 500гр Farfalle","55.00","9.09","60.00","0","0.00","0.00","0.00"

