"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820054811300","Масло *Румо* 73% 180г.(Ружин Еколин)","64.00","29.69","83.00","0","4.00","256.00","332.00"
"2","4820141402930","Масло *Екстра* Селянське пергамент 73% 500г.(Богодухів)","168.00","30.00","218.00","0","3.00","504.00","654.00"
"3","4820156990668","Масло дід і баба 73% 180г","72.10","30.00","94.00","0","8.00","576.80","752.00"
"4","4820171650110","Масло с/в ""Селянське"" 73% фас. 200г. ТМ ""Дари Карпат""","70.56","30.39","92.00","0","6.00","423.36","552.00"
"5","4820171650233","Масло с/в ""Екстра"" 82.5% фас. 200г. ТМ ""Дари Карпат""","79.80","30.39","104.00","0","3.00","239.40","312.00"
"6","4820171650363","Масло Екстра 82,5 % 380 г","109.56","30.00","142.00","0","3.00","328.68","426.00"
"7","4820171650547","Масло Подільське екстра 82,5% 200г","41.16","30.77","54.00","0","0.00","0.00","0.00"
"8","4820184340961","Масло ТМ Гощаночка 83% 200г","63.36","29.23","84.00","0","5.00","316.80","420.00"
"9","4820222762137","Масло вершк. Галичина 82%","78.00","30.77","102.00","0","1.00","78.00","102.00"
"10","4820222762144","Масло солодковершкове Галичина 72,6% 180г","72.00","29.17","93.00","0","5.00","360.00","465.00"
"11","4820239242653","Масло селянське 73%  180 г Ферма","89.50","30.23","117.00","0","2.00","179.00","234.00"
"12","4823039010293","Масло Вершкова долина 72,5% 400г","61.00","29.51","79.00","0","0.00","0.00","0.00"
"13","5900229010215","Масло Пальма 250гр Bielmar","42.00","30.95","55.00","0","2.00","84.00","110.00"
"14","5900512300108","Масло 82% Mlekovita 200г","68.00","30.88","89.00","0","0.00","0.00","0.00"
"15","5900820009816","Масло молочна долина  83%","44.00","30.00","57.00","0","0.00","0.00","0.00"
"16","5905477001008","масло польське млечна долина 200г","69.00","28.99","89.00","0","0.00","0.00","0.00"
"17","7700000011336","Спред попілянське 400г","72.50","25.00","91.00","0","20.00","1,450.00","1,820.00"
"18","7700000011435","Масло Горянка 72,5% 450г","80.00","30.00","104.00","0","0.00","0.00","0.00"

