"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4015400979043","Рідке мило сейгер класичне яскраво біле 225 г","59.76","35.00","81.00","0","0.00","0.00","0.00"
"2","4015400979074","Рідке мило сейгер 225 г алоє","59.76","35.00","81.00","0","0.00","0.00","0.00"
"3","4056489814337","Рідке мило Cien 750ml Апельсин тропік","52.00","30.77","68.00","0","0.00","0.00","0.00"
"4","4056489814399","Рідке мило Cien 750ml вишневий пиріг","52.00","30.77","68.00","0","0.00","0.00","0.00"
"5","4311501002971","Мило ELKOS body з мигдалем","30.00","66.67","50.00","0","0.00","0.00","0.00"
"6","4820023362925","Мило господарче тверде 72% ТМ ""Сила"", н. м.200 г, в пл.//48","15.50","53.33","23.00","0","10.00","155.00","230.00"
"7","4820185122276","Губка лазнева фігурна Аквамен Prodom","15.00","60.00","50.00","0","7.00","105.00","350.00"
"8","4820195500514","Мыло Гранд Шарм Беби 5*70 Заб.с перв.дней","10.00","50.00","15.00","0","11.00","110.00","165.00"
"9","4820195500712","Grand Шарм мило туалетне тверде ""Дитяче"" 70 г","9.00","50.00","15.00","0","0.00","0.00","0.00"
"10","4820263230909","Крем-мило туалетне тверде дитяче з календулою ТМ ""Dr.MaMa""","14.00","42.86","20.00","0","0.00","0.00","0.00"
"11","5902686256168","Мило рідке лінда 1л","67.00","35.00","90.00","0","0.00","0.00","0.00"
"12","5902686256175","Мило рідке лінда 1л","67.00","35.00","90.00","0","1.00","67.00","90.00"
"13","7501056371821","Крем-мило Dove Дотик свіжості","50.00","35.00","70.00","0","1.00","50.00","70.00"
"14","7700000010599","Мильничка кол.","10.00","150.00","25.00","0","4.00","40.00","100.00"
"15","8000700000005","Крем-мило DOVE Краса та Догляд 100гр","40.00","37.50","55.00","0","0.00","0.00","0.00"
"16","8001841028989","SAFEGUARD Мило туалетне Классическое Ослепительно Біле","15.00","40.00","21.00","0","0.00","0.00","0.00"
"17","8006540559420","Мило Safeguard ромашка","29.00","40.00","42.00","0","3.00","87.00","126.00"
"18","8006540559482","Мило Safeguard алоє","32.00","28.13","41.00","0","0.00","0.00","0.00"
"19","8690506517977","Duru мило 1*100 океан","25.00","32.00","33.00","0","12.00","300.00","396.00"
"20","8690506519087","Мило Дуру 1 1 морські мінерали 400г","15.00","53.33","23.00","0","0.00","0.00","0.00"
"21","8690506521929","CLEAN*WHITE Дуру мило госп. 125гр. відбілююче","18.00","44.93","25.00","0","12.00","216.00","300.00"
"22","8692624152634","мило rubis milk & dea minerals","15.00","53.33","23.00","0","0.00","0.00","0.00"
"23","8718951608009","Мило Palmolive new formula delicate care almond & milk","25.00","40.00","35.00","0","1.00","25.00","35.00"

