"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4014500520711","вершки порційні","2.25","100.00","5.00","0","43.00","96.75","215.00"
"2","40338576","Йогурти Zottis 115г","18.00","40.00","27.00","0","15.00","270.00","405.00"
"3","4751008970371","Даноніно йогурт 2,1% 70г полуничний,збагач кальцієм і вітаміном D","24.87","40.00","35.00","0","2.00","49.74","70.00"
"4","4820049891157","Десерт ВИШНЯ 400 г","36.12","30.00","47.00","0","0.00","0.00","0.00"
"5","4820049891171","Десерт ПОЛУНИЦЯ 400 г","38.76","30.00","51.00","0","0.00","0.00","0.00"
"6","4820049891218","Десерт ПЕРСИК 400 г","36.12","30.00","47.00","0","0.00","0.00","0.00"
"7","4820052669897","Коктейль вершк.-ванільний молочний 2.5% 212г Даноне","27.17","38.00","37.00","0","2.00","54.34","74.00"
"8","4820141409687","Молоко питне ультрапастеризоване 2.5% українське 950 г","37.80","30.00","49.00","0","0.00","0.00","0.00"
"9","4820141409694","Вершки питні 10% жир 500г ТМ Українські","55.08","35.00","74.00","0","0.00","0.00","0.00"
"10","4820219343028","Bob Snail пюре дитяче яблуко-банан 90г","31.32","35.00","43.00","0","0.00","0.00","0.00"
"11","4820219343035","Bob Snail пюре дитяче яблуко-персик 90г","31.32","35.00","42.00","0","0.00","0.00","0.00"
"12","4820219343042","Пюре фруктове яблуко-манго 90 г (равлик боб)","31.32","35.00","43.00","0","0.00","0.00","0.00"
"13","4820219343820","Пюре фруктове яблуко-груша-чорна смородина 90 г( равлик боб)","31.32","35.00","43.00","0","0.00","0.00","0.00"
"14","4820219343875","Пюре РБ ябл.малина 90г","31.32","35.00","43.00","0","0.00","0.00","0.00"
"15","4820222760164","Галичина Йогурт Карпатський Вишня 2,2% 300г","32.04","30.00","42.00","0","0.00","0.00","0.00"
"16","4820222760249","Молоко TGA 2,5% 950г Галичина","38.00","31.58","50.00","0","8.00","304.00","400.00"
"17","4820222760317","Галичина Вершки ТГА 10% 500г п/п","63.00","30.16","82.00","0","0.00","0.00","0.00"
"18","4820222760577","Молоко галичина безлактозне 950 г","65.94","30.00","83.00","0","11.00","725.34","913.00"
"19","4820222760591","Вершки ГАЛИЧИНА 33% 500гр.","137.00","29.93","178.00","0","0.00","0.00","0.00"
"20","4820222761680","Вершки галичина 15% 500г","75.00","29.33","101.00","0","0.00","0.00","0.00"
"21","4820222761727","Йогурт галичина 2.2%  вишня-брусниця 550 г","54.72","30.00","71.00","0","0.00","0.00","0.00"
"22","4820222761741","Йогурт Галичина 600 г малина-гранат","54.72","30.00","71.00","0","0.00","0.00","0.00"
"23","4820222761864","йогурт галичина лісові ягоди стакан","38.88","35.00","53.00","0","0.00","0.00","0.00"
"24","4820222761871","Йогурт в стакані лохина і чорниця Галичина","38.88","35.00","53.00","0","0.00","0.00","0.00"
"25","4820222762090","Йогурт  ст. 2,5  Вишня  Галичина","38.88","30.00","51.00","0","0.00","0.00","0.00"
"26","4820222762496","Йогурт малина Галичина 300г","32.04","28.13","42.00","0","0.00","0.00","0.00"
"27","4820222762502","Йогурт чорниця-злаки Галичина 300г","32.04","28.13","42.00","0","0.00","0.00","0.00"
"28","4820222762526","Йогурт абрикос Галичина 300г","32.04","28.13","42.00","0","0.00","0.00","0.00"
"29","4820222762533","Йогурт лісові ягоди Галичина 300г","32.04","30.00","42.00","0","0.00","0.00","0.00"
"30","4820222762540","Йогурт полуниця Галичина 300г","32.04","28.13","42.00","0","1.00","32.04","42.00"
"31","4820222762557","Йогурт чорниця Галичина 300г","32.04","30.00","42.00","0","0.00","0.00","0.00"
"32","4820222762564","Йогурт злаки Галичина 300г","32.04","30.00","42.00","0","0.00","0.00","0.00"
"33","4820222762571","Йогурт Злаки 550г галичина","54.72","32.08","72.00","0","1.00","54.72","72.00"
"34","4820222762588","Йогурт галичина чорниця-злаки 550г","54.72","29.63","71.00","0","0.00","0.00","0.00"
"35","4820222762717","Кефір ПЕТ 2,5% 870г Галичина","51.60","30.00","65.00","0","11.00","567.60","715.00"
"36","4820222762731","Кефір ПЕТнежирний 870г Галичина","51.42","26.41","65.00","0","0.00","0.00","0.00"
"37","4820222762830","Йогурт галичина без цукру 2.2% 300 г","32.04","30.00","42.00","0","0.00","0.00","0.00"
"38","4820222762922","Йогурт Молочар полуниця 400г 1%","24.60","28.00","32.00","0","1.00","24.60","32.00"
"39","4820222762939","Йогурт Молочар персик 400г 1%","24.60","30.00","32.00","0","2.00","49.20","64.00"
"40","4820222763806","Йогурт  ст. 2,5  Полуниця-суниця  Галичина","38.88","30.00","53.00","0","1.00","38.88","53.00"
"41","4820222764674","Коктейль молочний мілк шаке вершково-ванільний 235 г","34.50","30.00","45.00","0","1.00","34.50","45.00"
"42","4820222764698","Коктейль молочний мілк шаке фісташка 235 г","34.50","30.00","45.00","0","1.00","34.50","45.00"
