"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820005922345","Морозиво ТМ Лімо із печивом 100г","43.26","33.00","58.00","0","15.00","648.90","870.00"
"2","4820005922413","Морозиво ТМ в вафельному стаканчику Лімо","24.06","33.00","32.00","0","5.00","120.30","160.00"
"3","4820005922833","Морозиво Лімо ріжок зі смаком малини Біг Айс 140г","50.46","35.00","68.00","0","1.00","50.46","68.00"
"4","4820005923786","Морозиво Лімо класичне 1кг","229.40","30.00","299.00","0","4.00","917.60","1,196.00"
"5","4820005923793","Лімо класичне 500г","0.01","35.00","188.00","0","6.00","0.06","1,128.00"
"6","4820005923809","Мор.Рукав Клубника 1кг Лімо","226.30","35.00","305.00","0","1.00","226.30","305.00"
"7","4820005923823","Морозиво  Лісова ягода 500г.рукав (Лімо)","138.80","35.00","190.00","0","1.00","138.80","190.00"
"8","4820005924219","Мор ріжок бік іге ківі 140 г","50.46","35.00","69.00","0","1.00","50.46","69.00"
"9","4820005924653","Морозиво *1965* Пломбір 75г.стакан (Лімо)","29.58","30.00","39.00","0","17.00","502.86","663.00"
"10","4820005924769","Мор ЛіМО ""Золотий ключик"" клубника, плас стакан, 100г","37.26","35.00","50.00","0","11.00","409.86","550.00"
"11","4820005925049","Морозиво Лімо 1965 шоколадний пломбір 65г","29.58","35.00","40.00","0","35.00","1,035.30","1,400.00"
"12","4820005926015","Мор каштан лімо шок рукав 1кг","237.60","35.00","321.00","0","1.00","237.60","321.00"
"13","4820005926022","Ескімо Лімо каштан зі Львова з шоколадним смаком 70г","32.64","30.00","43.00","0","12.00","391.68","516.00"
"14","4820005926039","Морозиво Лімо каштан зі смаком ванілі 65г","27.00","25.93","34.00","0","3.00","81.00","102.00"
"15","4820005926091","Морозиво Лімо Плодово-ягідне на палочці 70г","32.64","30.00","42.00","0","15.00","489.60","630.00"
"16","4820005926121","Ескімо Лімо Львівське 70г","32.64","30.00","43.00","0","15.00","489.60","645.00"
"17","4820005926145","Морозиво ТМ пломбір лімо 70 г на палочці","28.08","30.00","37.00","0","6.00","168.48","222.00"
"18","4820005926176","Морозиво ескімо Корівка Лімо 65г","32.64","30.00","43.00","0","11.00","359.04","473.00"
"19","4820005926275","Морож.Эскимо Марите 70г Лимо","32.64","31.03","43.00","0","4.00","130.56","172.00"
"20","4820005926299","Ескімо Пломбір Лімо 1965 80г","45.84","35.00","62.00","0","23.00","1,054.32","1,426.00"
"21","4820005927210","Лімо морозиво з шоколадним смаком та згущеним молоком 65г","23.76","33.00","32.00","0","32.00","760.32","1,024.00"
"22","4820005927227","Морозиво Лімо зі смаком лісових ягід 65 г","23.76","35.00","32.00","0","23.00","546.48","736.00"
"23","4820005927241","Лімо морозиво зі смаком Вишні 65г","23.76","35.00","32.00","0","7.00","166.32","224.00"
"24","4820005928897","Ріжок преміум йогурт та лісові ягоди Лімо 85г","42.48","35.00","58.00","0","8.00","339.84","464.00"
"25","4820005928941","Мор лід полуничний зі стержнем н-ча Банан 70 г","20.34","35.00","27.00","0","3.00","61.02","81.00"
"26","4820012593521","Морозиво ласунка лід Світлофор вишня, абрикос, зелене яблуко 95 г","28.50","33.00","38.00","0","22.00","627.00","836.00"
"27","4820012593644","Морозиво *Стоп-Наркотик* Ескімо з маком та кунж.85г.(Ласунка* Л545*)","44.64","30.77","59.00","0","14.00","624.96","826.00"
"28","4820012593699","Морозиво з вишневою підваркою 70г Ласунка","26.16","30.77","35.00","0","3.00","78.48","105.00"
"29","4820012593712","Морозиво  ""Ласунка"" шоколад з гущеним молоком 70г","26.16","30.77","35.00","0","21.00","549.36","735.00"
"30","4820012594467","Морозиво ласунка Кавун зі смаком кавуна та дині","29.46","33.00","39.00","0","12.00","353.52","468.00"
"31","4820012596133","Морозиво лід Мохіто Айс 95 г ласунка","28.50","35.00","38.00","0","32.00","912.00","1,216.00"
"32","4820180813070","Віоліо БІСКОТТІ","274.60","35.00","370.00","1","1.10","302.06","407.00"
"33","4820180813124","Спартак БІСКОТТІ","240.78","40.00","338.00","1","1.20","288.94","405.60"
"34","4820180814343","Біскоті тістечко оригінальне львівське","245.00","24.90","306.00","1","0.00","0.00","0.00"
"35","4820193551921","Мороженое ЛАСУНКА Пломбир в вафельном стаканчике, 70г","30.00","33.33","40.00","0","1.00","30.00","40.00"
"36","4820193552102","Пломбір Малюк-ам стакан 80г Ласунка","32.00","31.25","42.00","0","3.00","96.00","126.00"
"37","4820193553123","Морозиво Бажане з полуничною підваркою 115 г ласунка","42.48","30.00","55.00","0","10.00","424.80","550.00"
"38","4820193553741","Морозиво Гран Прі ласунка з малиною ріжок 155 г","60.00","35.00","80.00","0","12.00","720.00","960.00"
"39","4820193556346","Морозиво Стакан Великан 90гр курага/чорнослив Ласунка","37.44","31.43","49.00","0","22.00","823.68","1,078.00"
"40","4820193556865","Морозиво Міх де лбкс зі смаком жувальної  гумки з напов. кремовий соус та маршмелоу 550 г","200.28","35.00","270.00","0","1.00","200.28","270.00"
"41","4820193557039","Морозиво Банкет 90г. вишня - темний шоколад Ласунка","45.00","28.89","58.00","0","0.00","0.00","0.00"
"42","4820193557251","Морозиво Лев Більгійський шоколад 80г пломбір Ласунка","43.00","30.23","56.00","0","14.00","602.00","784.00"
"43","4820193557374","Морозиво ласунка стакан Малюк-АМ зі згущ. молоком 85 г","0.01","33.00","44.00","0","41.00","0.41","1,804.00"
"44","4820193557435","Люба-Буба 2кольори Ласунка 70г","29.34","35.00","40.00","0","9.00","264.06","360.00"
"45","4820193557800","Морозиво Вершкове 500г + 100 Ласунка","126.00","30.95","165.00","0","0.00","0.00","0.00"
"46","4820193557824","Морозиво Вершкове 8.5%  ТМ Ласунка 1000г","211.00","30.33","275.00","0","0.00","0.00","0.00"
"47","4820193557848","Стакан Великан пломбір Ласунка 95г","37.44","33.33","50.00","0","27.00","1,010.88","1,350.00"
"48","4820193558142","Морозиво Стакан Великан Вишня Абрикос  100г Ласунка","37.44","32.35","50.00","0","29.00","1,085.76","1,450.00"
"49","4820193559101","Торт-морозиво Ласунка Буржуй Празький 800г","294.00","25.17","368.00","0","0.00","0.00","0.00"
"50","4820193559477","Сирок Ваніль Великан Ласунка 45г","24.48","31.82","33.00","0","23.00","563.04","759.00"
"51","4820220130112","Морозиво ""ХРЕЩАТИК КИЇВСЬКИЙ ТОРТ"" ПЛОМБИР  вафельний ріжок 140 Г","61.00","24.59","76.00","0","0.00","0.00","0.00"
"52","4820220130174","Морозиво пломбір крем-брюле 100г","33.00","24.24","41.00","0","1.00","33.00","41.00"
"53","4820220130273","Морозиво ""Хрещатик"" пломбір сендвіч 75г","42.60","30.00","55.00","0","9.00","383.40","495.00"
"54","4820220131430","Мороз Пломбір Крем/Брюле циліндр 500г","129.00","24.81","161.00","0","0.00","0.00","0.00"
"55","4820220131591","Ескімо хрещатик корівка зі смаком карамелі 75г","39.00","25.64","49.00","0","1.00","39.00","49.00"
"56","4820220132338","Морозиво хрещатик пломбір шоколадний у вафел. стак. золтий стандарт 90 г","37.20","30.00","48.00","0","22.00","818.40","1,056.00"
"57","4820220132604","Морозиво каштан карамель шок 75г","30.00","26.67","38.00","0","2.00","60.00","76.00"
"58","4820220133564","Морозиво Хрещатик пломбір ріжок Kids полуниця-ваніль 80г","36.00","25.00","45.00","0","0.00","0.00","0.00"
"59","4820220133571","Хрещатик пломбір кідс 70","39.00","28.21","50.00","0","1.00","39.00","50.00"
"60","4820220133588","Морозиво хрещатик у вафельному стаканчику київський торт 70г","43.00","25.58","54.00","0","0.00","0.00","0.00"
"61","4820220134127","Морозиво хрещатик Магнат преміум карамель карт.стак. 350 г","0.01","35.00","179.00","0","2.00","0.02","358.00"
"62","4820220134196","Морозиво магнат панна кота карт. стак. 350 г","0.01","30.00","179.00","0","1.00","0.01","179.00"
"63","4820220134219","Морозиво хрещатик Магнат преміум манго карт. стак. 350 г","0.01","35.00","179.00","0","1.00","0.01","179.00"
"64","4820220134233","Ескімо хрещатик пломбір фісташка-малина 75г","45.30","30.00","59.00","0","8.00","362.40","472.00"
"65","4820220134271","Ескімо  Хрещатик каштан з смаком кокос-мигдаль 75г","39.00","25.64","49.00","0","0.00","0.00","0.00"
"66","4820220134455","Пломбір Хрещатик юзу 90г","41.00","24.39","51.00","0","0.00","0.00","0.00"
"67","4820220134462","Пломбір зі смаком попкорну Хрещатик 90г","41.00","24.39","51.00","0","2.00","82.00","102.00"
"68","4820244501790","Сухе морозиво зі смак чорниці 60 г (монік)","17.00","40.00","25.00","0","5.00","85.00","125.00"
"69","4820244501806","Сухе морозиво зі смак ванілі 60 г ( монік)","17.00","40.00","25.00","0","5.00","85.00","125.00"
"70","4820244501813","Сухе морозиво зі смак полуниці (монік) 60 г","17.00","40.00","25.00","0","5.00","85.00","125.00"
"71","4820244501820","Сухе морозиво зі смак шоколаду 60 г ( монік)","17.00","40.00","25.00","0","5.00","85.00","125.00"
"72","4820267430763","Суміш техаська Лімо 400г","78.00","25.64","98.00","0","0.00","0.00","0.00"
"73","4820267431142","Ріжок преміум зі смаком маскарпоне і білий персик Лімо 85г","39.00","25.64","49.00","0","0.00","0.00","0.00"
