"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820000190077","Вода Оболонська 2л сильногазована","24.00","25.00","30.00","0","0.00","0.00","0.00"
"2","4820000430012","вода миргородська 1,5 газована","20.29","35.00","27.00","0","5.00","101.45","135.00"
"3","4820000431569","Вода Аква-Лайф негазована 5 л.","52.42","30.01","68.00","0","2.00","104.84","136.00"
"4","4820001830071","Вода СВАЛЯВА ""Поляна квасова"" минеральная с/газ, 1,5 л ПЭТ","44.80","35.00","60.00","0","46.00","2,060.80","2,760.00"
"5","48200051241124","Карпатська джерельна 1.0л сильногаз","17.16","40.00","24.00","0","0.00","0.00","0.00"
"6","4820009490017","Вода мінер. ""Плосківська"" газ 1,5 л","26.60","35.00","36.00","0","49.00","1,303.40","1,764.00"
"7","4820010772607","Вода Detox Aqua Миргород1л","51.42","30.00","67.00","0","0.00","0.00","0.00"
"8","4820013570354","Мин вода ""добрая вода"" сильногазированная 2л / добр","16.00","31.25","21.00","0","0.00","0.00","0.00"
"9","4820013570361","Добра вода слабогазована 2л","16.00","31.25","21.00","0","0.00","0.00","0.00"
"10","4820017000024","Вода МОРШИНСКАЯ минеральная негазированная 1,5 л, ПЕТ","25.95","30.00","35.00","0","46.00","1,193.70","1,610.00"
"11","4820017000055","Вода МОРШИНСКАЯ минеральная сильногазированная 1,5л, ПЕТ","25.95","35.00","35.00","0","60.00","1,557.00","2,100.00"
"12","4820017000062","Моршинська 0.5 л. негаз","15.94","31.74","21.00","0","0.00","0.00","0.00"
"13","4820017000253","Моршинская 1,5 л. слаб. газ","25.95","35.00","35.00","0","37.00","960.15","1,295.00"
"14","4820017000260","Вода моршинська 0,5 слабогаз","16.24","30.00","21.00","0","13.00","211.12","273.00"
"15","4820017000277","Вода минеральная МОРШИНСКАЯ негаз 6л, ПЕТ","73.44","30.00","96.00","0","2.00","146.88","192.00"
"16","4820017000543","Вода мінеральна ""Моршинська"" негазована 0.75л","18.22","35.00","25.00","0","0.00","0.00","0.00"
"17","4820017000550","Вода мінеральна ""МОРШИНСЬКА"" слабогаз 0,75л ПЭТ","18.22","35.00","25.00","0","12.00","218.64","300.00"
"18","4820017000574","Мінеральна вода моршинская спорт 0.75 л. н/газ пет","22.49","35.00","30.00","0","19.00","427.31","570.00"
"19","4820017000604","вода моршинська 6л","72.07","30.43","94.00","0","0.00","0.00","0.00"
"20","4820017000833","Вода минеральная МОРШИНСКАЯ негаз 0,33л ""Спортик""","15.00","26.67","20.00","0","0.00","0.00","0.00"
"21","4820017001625","Вода мінерально ""Моршинська"" спорт ковпачок, 0,33л","15.73","35.00","21.00","0","1.00","15.73","21.00"
"22","4820017001649","Вода ""МОРШИНКА"" ""Для дітей"" (негазов) 6л","73.44","35.00","99.00","0","0.00","0.00","0.00"
"23","4820017001823","Вода ""Моршинська"" (пет) 0,5л Джуніор Спорт н/г","19.79","35.00","27.00","0","8.00","158.32","216.00"
"24","4820017002646","Напій безалкогольний негазований з соком зі смаком полуниці Моршинська п/пл 1.5л","29.99","36.71","41.00","0","0.00","0.00","0.00"
