"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1014","Бендерики Лімо","66.00","24.24","82.00","1","0.00","0.00","0.00"
"2","1015","Пельмені Сімейні","89.00","24.72","111.00","1","0.00","0.00","0.00"
"3","1016","Пельмені Лімо україньські з яловичиною свининою та курятиною","140.00","25.00","175.00","1","0.00","0.00","0.00"
"4","1180","Шашлик відро","200.00","35.00","270.00","1","0.00","0.00","0.00"
"5","4820005923212","Пельмені вагові сімейні","85.32","50.00","130.00","1","5.00","426.60","650.00"
"6","4820005925940","Вареники з картоплею 850г Лімо","87.48","35.00","118.00","0","1.00","87.48","118.00"
"7","4820005925988","Вареники з картопл. та циб. 850г","80.00","25.00","100.00","0","1.00","80.00","100.00"
"8","4820069110092","Пельмені по домашньому ручної роботи 1кг","161.00","40.00","225.00","0","2.00","322.00","450.00"
"9","4820085601079","Нагетси з філе легко","235.33","30.00","306.00","1","2.52","592.09","769.90"
"10","4820221330054","Багет Стейк 235г","46.20","40.00","65.00","0","7.00","323.40","455.00"
"11","4820221330061","Багет Шашлик 235г","43.92","29.78","57.00","0","0.00","0.00","0.00"
"12","4820221330078","гамбургери з котлетою та сиром 215г","40.68","40.00","57.00","0","0.00","0.00","0.00"
"13","4820221330115","Багет з Куркою 235г","46.20","40.00","65.00","0","3.00","138.60","195.00"
"14","4820267430015","Листкове тісто Лімо 900г","94.00","24.47","117.00","0","1.00","94.00","117.00"
"15","4820267430022","Тісто листове Лімо 450г","49.00","24.49","61.00","0","3.00","147.00","183.00"
"16","4820267430039","Тісто листково-дріждове Лімо 900г","96.48","35.00","130.00","0","2.00","192.96","260.00"
"17","4820267430046","Тісто Листове-Дріжджове 450гр","50.60","35.00","68.00","0","1.00","50.60","68.00"
"18","4820267430282","Картопля фрі 10 мм лімо","101.28","30.00","132.00","1","0.38","38.08","49.63"
"19","4820267430701","Пельмені Лімо зі свииною,курятиною та індичкою три мяса 750г","118.08","35.00","160.00","0","0.00","0.00","0.00"
"20","4820267430787","Булгур з овочами Лімо 400 г","71.00","25.35","89.00","0","0.00","0.00","0.00"
"21","4820267430800","Картопля фрі соломкою 8 мл ТМ лімо","101.28","40.00","142.00","1","0.00","0.00","0.00"
"22","4820267432040","Пельмені укр лімо з ялов свининою та курят","134.52","40.00","190.00","1","3.00","404.10","570.76"
"23","4820267432996","Суміш овочева Джуніор 400 г лімо","68.28","30.00","89.00","0","0.00","0.00","0.00"
"24","4820267433993","Нагетси курячі Лімо","236.00","30.08","307.00","1","0.00","0.00","0.00"
"25","4823074610878","Бендерики з мясним фаршем лімо","96.72","30.00","130.00","1","2.18","211.04","283.66"
"26","5999534580001","Кишка","59.00","30.51","77.00","0","1.00","59.00","77.00"
"27","7700000011312","Вареники з капустою 1кг 777","99.00","25.25","124.00","0","0.00","0.00","0.00"
"28","7700000012357","Пельмені  Равіолі Волинські 0.750  гр","107.00","35.00","145.00","0","0.00","0.00","0.00"
"29","7700000012364","Пельмені Сатурн 0.750","104.00","35.00","140.00","0","0.00","0.00","0.00"
"30","8710438045789","Картопля фрі","88.80","35.00","120.00","1","2.50","222.00","300.00"

