"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4067700015549","Лікер Jagermeister  0.5л (6)","466.08","30.02","606.00","0","1.00","466.08","606.00"
"2","4820004160359","Бальзам ""Дністер"" 40% 0,5л","115.00","30.00","150.00","0","3.00","345.00","450.00"
"3","4820004160755","Бальзам ""Дністер"" 40% 0,2л","51.00","33.00","68.00","0","5.00","255.00","340.00"
"4","4820004921585","Вермут ""Маренго"" біле десертне 0.5л к.535","118.70","30.00","155.00","0","2.00","237.40","310.00"
"5","4820004925118","Вермут Маренго ""Мохито"" дес. біл. пл. 0,5 л 15%","118.00","27.00","150.00","0","1.00","118.00","150.00"
"6","4820029432240","Напій дес.алк н/г  Гаївка зі смаком горіха  0,5 л скло","96.16","30.00","125.00","0","2.00","192.32","250.00"
"7","4820050237265","Наст""Гетьман""Гербал 0,5л","145.38","27.00","185.00","0","2.00","290.76","370.00"
"8","4820050237630","Наст Гетьман Журавлина 38% 0,5","145.38","30.00","190.00","0","1.00","145.38","190.00"
"9","4820139280816","Бренді  витриманий  закарпатський 0.5 тиса","244.95","32.00","330.00","0","3.00","734.85","990.00"
"10","4820189295457","бренді азнаурі 4 0.25","98.00","30.00","127.00","0","4.00","392.00","508.00"
"11","4820197565993","Спиртний напій ароматизований «Вишневий (Cherry)» 0,5л ТМ Легка Рука","100.00","25.00","125.00","0","0.00","0.00","0.00"
"12","4820197566013","Спиртний напій ароматизований «Капучіно (Cappuccino)» 0,5л ТМ Легка Рука","100.00","25.00","125.00","0","0.00","0.00","0.00"
"13","4820197566143","Спиртний напій ароматизований «Медова Журавлина (Honey Cranberry)» 0,5л ТМ Легка Рука","100.00","25.00","125.00","0","0.00","0.00","0.00"
"14","4820210842001","KALGANOFF Настоянка ""КАЛГАНОВА З МЕДОМ НА КОНЬЯКУ"" 0,5 л","96.00","21.88","117.00","0","0.00","0.00","0.00"
"15","4820210842018","KALGANOFF Настоянка ""КАЛГАНОВА З МЕДОМ НА КОНЬЯКУ"" 0,25 л ТМ ""KALGANOFF""","49.68","20.77","60.00","0","1.00","49.68","60.00"
"16","4820210842162","KALGANOFF Настоянка ""КАЛГАНОВА З МЕДОМ НА КОНЬЯКУ"" 0,1 л","21.90","36.99","30.00","0","0.00","0.00","0.00"
"17","4820210842346","Настоянка ""Журавлина""CRANBERRY ТМ Львів княжий 0,5л","116.82","37.00","160.00","0","0.00","0.00","0.00"
"18","4820210842360","KALGANOFF Настоянка ""КАЛГАНОВА З МЕДОМ НА КОНЬЯКУ"" 0,7 л","133.20","28.38","171.00","0","0.00","0.00","0.00"
"19","4820210842445","KALGANOFF Настоянка ""КАЛГАНОВА З МЕДОМ ТА БРЕНДІ"" 0,25 л ТМ ""KALGANOFF""","46.92","25.00","60.00","0","0.00","0.00","0.00"
"20","4820210842469","Настоянка ""КАЛГАНОВА З МЕДОМ ТА БРЕНДІ"" ТМ ""Kalganoff"" 0,5","94.56","30.00","123.00","0","3.00","283.68","369.00"
"21","4820210842483","KALGANOFF Настоянка ""КАЛГАНОВА З МЕДОМ ТА БРЕНДІ"" 0,7 л ТМ ""KALGANOFF""","132.00","29.55","171.00","0","1.00","132.00","171.00"
"22","4820210842872","Настоянка ""З ВІСКІ"" 0,5 л ТМ ""KALGANOFF""","94.32","30.00","125.00","0","8.00","754.56","1,000.00"
"23","4820210842889","Настоянка ""З РОМОМ"" 0,5 л ТМ ""KALGANOFF""","102.48","21.98","125.00","0","2.00","204.96","250.00"
"24","4820210843770","Настоянка калганова з медом та бренді 0.1","22.86","35.00","31.00","0","0.00","0.00","0.00"
"25","4820210843794","4820210843718KALGANOFF Настоянка ""КАЛГАНОВА З МЕДОМ НА КОНЬЯКУ"" 0,35 л ТМ ""KALGANOFF""","73.14","30.00","96.00","0","0.00","0.00","0.00"
"26","4820224220185","Вермут""Марінталь Вишня""0,5 л","50.00","30.00","65.00","0","2.00","100.00","130.00"
"27","4820229032882","Наст""Медовуха гречана""0,2","42.02","33.00","58.00","0","2.00","84.04","116.00"
"28","4820229032899","Наст""Медовуха гречана""0,5","83.70","30.00","109.00","0","3.00","251.10","327.00"
