"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820055560030","Ядро Соняшника 60 гр","9.44","35.00","15.00","0","0.00","0.00","0.00"
"2","4820091630711","Міні соломка солодка 85 г ТМ Vladka","9.00","100.00","18.00","0","18.00","162.00","324.00"
"3","4820096190104","Насіння GOLD не солене 140г.","27.22","40.00","38.00","0","0.00","0.00","0.00"
"4","4820096190241","Насіння горобчик 50г","9.50","60.00","15.00","0","8.00","76.00","120.00"
"5","4820096190272","Насіння жар.""Горобчик"" 100г","20.00","30.00","26.00","0","0.00","0.00","0.00"
"6","4820096190289","Насіння горобчик гроші 100г","17.90","45.00","26.00","0","0.00","0.00","0.00"
"7","4820096190326","Насіння жар.сол.120г ГОЛД","23.86","35.00","38.00","0","16.00","381.76","608.00"
"8","4820182060175","Ядра соняшника смажені ТМ ""Сан Санич"" 50г","11.00","27.27","14.00","0","0.00","0.00","0.00"
"9","4820182060991","Насіння жар. СанСанич  гарбузове 80г солоні","37.56","32.43","50.00","0","4.00","150.24","200.00"
"10","4820182065590","Насіння гарбуза смажене солоне ТМ ""Сан Санич"" L 140г","64.00","25.00","80.00","0","0.00","0.00","0.00"
"11","4820182260537","Ядро насіння соняшника смажене VIP 60г","14.00","28.57","18.00","0","0.00","0.00","0.00"
"12","4820262550176","Насіння гарбузове смажене нелущене 40г VIP","16.00","31.25","21.00","0","0.00","0.00","0.00"
"13","4820297640040","Насіння соняшника смажене Велике та смачне зерня несолене 90 г","31.92","38.00","44.00","0","5.00","159.60","220.00"
"14","4820297640057","Насіння Смачне Зерня сіль 90г","28.00","40.00","43.00","0","23.00","644.00","989.00"
"15","4820297640378","Ядро соняшника смажене підсолене 100 г","19.01","100.00","38.00","0","13.00","247.13","494.00"
"16","4823127308592","Насіння соняшникове ТМ ""Сансанич"" М 100г","30.36","50.00","44.00","0","3.00","91.08","132.00"
"17","4823127308608","Насіння соняшника солена Сан Санич 100 г","30.36","50.00","44.00","0","4.00","121.44","176.00"
"18","4823127308936","Насіння соняшника смаж ТМ Ласунчик 95 г","16.14","50.00","25.00","0","0.00","0.00","0.00"
"19","4823127308943","Насіння соняшника смаж солоне ТМ Ласунчик 95 г","16.14","50.00","25.00","0","0.00","0.00","0.00"
"20","4823127313008","Насіння соняшника смажене 140 г Ласунчик","21.78","34.00","34.00","0","0.00","0.00","0.00"
"21","4823127313923","Насіння соняшника смажене солоне ""Преміум смугасте"" ТМ ""Сан санич"" 95г","35.94","40.00","50.00","0","3.00","107.82","150.00"
"22","4823127314494","Насіння соняшника смажене ""Преміум смугасте"" тм ""Сан Санич"" 95г","35.94","35.00","50.00","0","0.00","0.00","0.00"

