"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1006","Чері фасована","50.00","50.00","74.00","0","2.00","100.00","148.00"
"2","1011","Часник стар","140.00","66.67","240.00","1","0.70","98.28","168.48"
"3","1126","Печериці свіжі","96.00","40.00","137.00","1","0.00","0.00","0.00"
"4","1127","Перець Чілі","350.00","80.00","530.00","1","0.36","125.65","190.27"
"5","1128","Огірок довгий","35.00","40.00","50.00","1","1.50","52.43","74.90"
"6","1129","Огірок корнішон","20.00","100.00","35.00","1","0.00","0.00","0.00"
"7","1132","Пікінська капуста","50.00","40.00","70.00","1","0.00","0.00","0.00"
"8","1133","Кріп свіж","300.00","100.00","600.00","1","0.00","0.00","0.00"
"9","1134","Помідор","65.00","40.00","95.00","1","0.00","0.00","0.00"
"10","1135","Капуста молода","23.00","50.00","37.00","1","14.86","341.83","549.89"
"11","1136","Помідор чері","270.00","30.33","380.00","1","0.00","0.00","0.00"
"12","1137","Перець болгарський","90.00","40.00","130.00","1","3.14","282.78","408.46"
"13","1138","Зелена цибулька вагова","150.00","50.00","300.00","1","0.00","0.00","0.00"
"14","1175","Цибуля","25.00","185.71","38.00","1","9.56","239.05","363.36"
"15","1176","Капуста стара","7.00","185.71","20.00","1","1.40","9.80","28.00"
"16","1177","Морква стара","35.00","100.00","55.00","1","0.00","0.00","0.00"
"17","1178","Буряк старий","8.00","100.00","20.00","1","0.00","0.00","0.00"
"18","1216","кабачок свіжий","20.00","40.00","35.00","1","0.00","0.00","0.00"
"19","1219","Помідор гілка","95.00","40.00","140.00","1","0.00","0.00","0.00"
"20","1229","Картопля молода","13.00","50.00","26.00","1","0.00","0.00","0.00"
"21","1236","Часник молодий","190.00","50.00","285.00","1","0.00","0.00","0.00"
"22","1237","Капуста цвітна","40.00","40.00","58.00","1","1.05","41.96","60.84"
"23","1251","Буряк молодий","20.00","45.00","37.00","1","14.90","298.04","551.37"
"24","1253","помідор закарпат","50.00","50.00","78.00","1","0.00","0.00","0.00"
"25","1269","Цибуля молода","25.00","50.00","38.00","1","1.62","40.45","61.48"
"26","1270","броколі свіже","70.00","50.00","100.00","1","0.00","0.00","0.00"
"27","1277","морква молода","35.00","50.00","58.00","1","10.48","366.87","607.96"
"28","1281","помідор високорослий","70.00","70.00","100.00","1","18.67","1,306.90","1,867.00"
"29","1282","кавун","25.00","60.00","35.00","1","124.18","3,104.45","4,346.23"
"30","1290","перець зелений свіж","60.00","45.00","88.00","1","3.80","228.06","334.49"
"31","1296","помідор малинівка","70.00","50.00","110.00","1","5.11","357.84","562.32"
"32","3504181360986","чері фас 250 асорті","40.00","50.00","60.00","0","0.00","0.00","0.00"
"33","4820268120397","Мікс мягка уп","50.00","40.00","70.00","0","0.00","0.00","0.00"
"34","7700000011824","Салата Айсберг","65.00","40.00","95.00","0","0.00","0.00","0.00"
"35","7700000011916","Цибулька зелена пучок","10.00","33.33","20.00","0","0.00","0.00","0.00"
"36","7700000012173","Редиска свіжа","23.00","40.00","35.00","0","0.00","0.00","0.00"
"37","7700000012449","Морква молода","80.00","50.00","130.00","1","0.00","0.00","0.00"
"38","7700000012517","нектарин","125.00","50.00","180.00","1","4.72","589.63","849.06"
"39","805698127769","Салат мікс Кувег Італія 125 г","45.00","40.00","63.00","0","0.00","0.00","0.00"
"40","8423223211916","Чері асорті 300г","65.00","40.00","112.00","0","0.00","0.00","0.00"

