"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","7700000010490","Одноразовий посуд ""Черепашки ніндзя""","30.00","66.67","50.00","0","1.00","30.00","50.00"
"2","7700000010742","Стакан однораз. 100г","0.50","300.00","2.00","0","2,527.00","1,263.50","5,054.00"
"3","7700000010759","Набір посуду одноразов. дорогий","38.00","80.00","68.00","0","0.00","0.00","0.00"
"4","7700000010766","Набір посуду однораз. дешевий","17.00","76.47","30.00","0","0.00","0.00","0.00"
"5","7700000010773","Тарілка пластмасова 20см","2.00","150.00","5.00","0","0.00","0.00","0.00"
"6","7700000010780","Контейнер під фрукти і т.д. 11х19х5","2.50","200.00","5.00","0","60.00","150.00","300.00"
"7","7700000010797","Вилка одноразова","1.00","100.00","2.00","0","98.00","98.00","196.00"
"8","7700000010803","Ложка одноразова столова","1.00","100.00","2.00","0","102.00","102.00","204.00"
"9","7700000011893","Стакан Бокал 485 мл","0.62","222.58","2.00","0","0.00","0.00","0.00"
"10","7700000011909","Тарілка десертна 165","1.00","100.00","2.00","0","178.00","178.00","356.00"
"11","8699241270017","Стакан 180 мг одноразовий прозорий","0.50","53.85","2.00","0","631.00","315.50","1,262.00"

