"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820001115567","Олія Соняшникова Рафінована Традиційна Олейна 1л","86.00","25.00","108.00","0","7.00","602.00","756.00"
"2","4820015942418","Розчин оцтової кислоти 9% Руна 0,75л","20.00","25.00","30.00","0","31.00","620.00","930.00"
"3","4820015942425","Оцет ""Столовий"" 9%, с колпачком дозатором","24.00","25.00","30.00","0","10.00","240.00","300.00"
"4","4820017091084","оцет столовий 9% 1л зелений","14.38","35.00","20.00","0","130.00","1,869.40","2,600.00"
"5","4820027570012","Олія""ЧеснийЛітр"" раф. 1л","67.00","25.00","85.00","0","12.00","804.00","1,020.00"
"6","4820027570074","Олія""Чесний Літир""2л","134.00","25.00","173.00","0","5.00","670.00","865.00"
"7","4820027570265","Олія Родине поле 2л","112.00","25.00","140.00","0","5.00","560.00","700.00"
"8","4820027570302","Олія чесний літр  5 л","325.00","25.00","406.00","0","2.00","650.00","812.00"
"9","4820027570647","олія 3.8л родинне поле","270.00","25.00","338.00","0","2.00","540.00","676.00"
"10","4820045678455","Оцет *Капелька* Яблучний 6% 0.5л.(Сан-Венто)","26.00","23.08","32.00","0","0.00","0.00","0.00"
"11","4820060040626","Олія Соняшникова Рафінована1л Майола","73.00","25.00","92.00","0","12.00","876.00","1,104.00"
"12","4820060040633","Олія майола 2 л","144.00","25.00","180.00","0","11.00","1,584.00","1,980.00"
"13","4820060042989","Олія ""Соняшна"" рафінована 0,81л","59.00","25.00","75.00","0","0.00","0.00","0.00"
"14","4820078575936","Олія Чумак"" Золота""  соняшникова рафінована 0,9 л","91.00","25.00","114.00","0","3.00","273.00","342.00"
"15","4820105010171","Олія середня масляна раф 3л","202.00","25.00","253.00","0","0.00","0.00","0.00"
"16","4820128880157","ПОДСОЛНЕЧНОЕ МАСЛО 0,9Л ОЛДИ НЕ РАФ","55.00","29.09","71.00","0","0.00","0.00","0.00"
"17","4820175668852","Оцет столовий Корол смак9% 925мл","24.00","25.00","35.00","0","3.00","72.00","105.00"
"18","4820183540058","Олія магнолія нерафін 0.7","50.00","25.00","63.00","0","7.00","350.00","441.00"
"19","4820239370103","оцет яблучний любава","25.00","35.00","34.00","0","23.00","575.00","782.00"
"20","5201034031335","Масло олив ""Olive oil"" экстра виржин 250мл","92.00","30.43","120.00","0","0.00","0.00","0.00"
"21","8586021963873","Мак мелений Fresh 200г","62.00","35.00","84.00","0","3.00","186.00","252.00"

