"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1050","Філе Оселедцю Білий кит шкірка 3кг","188.00","30.32","245.00","1","0.00","0.00","0.00"
"2","1051","Філе Оселедця Роза Marlin 3кг Матьє в/о","166.70","40.00","240.00","1","0.62","102.69","147.84"
"3","1052","Кілька балтійська прямого посолу","115.00","30.43","150.00","1","0.00","0.00","0.00"
"4","1053","Салака нептун жирна,без голови","106.00","30.19","138.00","1","0.00","0.00","0.00"
"5","1054","Філе копчене оселедця","269.00","30.11","350.00","1","0.00","0.00","0.00"
"6","1232","Філе оселедця роза хрін 2кг","380.00","40.00","532.00","1","0.00","0.00","0.00"
"7","4820022650818","Оселедець в соусі тартар з овочами 0,250","57.00","35.00","77.00","0","1.00","57.00","77.00"
"8","4820022650825","Оселедець в рожевому соусі з овочами 250г.","57.00","35.00","77.00","0","1.00","57.00","77.00"
"9","4820022651631","Філе оселедця в олії SF 200г","63.60","35.00","86.00","0","2.00","127.20","172.00"
"10","4820022655363","Філе оселедця слабосолоне 500г","121.80","35.00","164.00","0","0.00","0.00","0.00"
"11","4820183920980","Салака 250г Дуб (тарілочка)","50.00","30.00","65.00","0","0.00","0.00","0.00"
"12","4820261130058","Пресерва 200 г ( Філе ) прямокутник галфіш","57.72","35.00","78.00","0","1.00","57.72","78.00"
"13","4820261130126","Філе оселедця 3кг Нептун","167.00","30.32","245.00","1","0.00","0.00","0.00"
"14","4820298800016","Філе осел нептун 450г","95.00","30.00","124.00","0","0.00","0.00","0.00"
"15","4820298800047","Філе осел нептун зі спеціями","185.00","28.00","240.00","0","0.00","0.00","0.00"
"16","4820298800054","філе осел нептун з овочами","180.00","28.00","230.00","0","0.00","0.00","0.00"
"17","4820298800061","нептун 0,3 філе","75.00","30.00","98.00","0","0.00","0.00","0.00"
"18","4820298800122","філе нептун хрін 450","95.00","30.00","124.00","0","0.00","0.00","0.00"
"19","4820298800139","Філе осел нептун з овочами 0.5","98.00","28.00","128.00","0","2.00","196.00","256.00"
"20","7700000011794","Оселедець філе шматочки в олії Білий кит 550г по шведськи","95.00","30.00","130.00","0","1.00","95.00","130.00"
"21","7700000011992","Оселедець матіас норвезький","107.00","30.84","140.00","0","0.00","0.00","0.00"
"22","7700000012555","Філе оселедцю роза білий кит без шкірки","163.33","50.00","245.00","1","0.00","0.00","0.00"

