"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820003831885","Рушники паперові кухонні 1 рулон Диво","25.00","40.00","35.00","0","0.00","0.00","0.00"
"2","4820003831915","туалетний папір диво білий","12.25","80.00","22.00","0","40.00","490.00","880.00"
"3","4820003837573","паперовий рушник диво","42.50","40.00","60.00","0","22.00","935.00","1,320.00"
"4","4820003838419","Туалетний папір ""Диво"" Decoro","14.00","42.86","20.00","0","67.00","938.00","1,340.00"
"5","4820032450033","Туалетний папір ""Кохавинка"", тиснений","7.50","42.86","11.00","0","276.00","2,070.00","3,036.00"
"6","4820032450323","Кохавинка Рушники паперові, зелені, 170 шт.","25.00","44.00","36.00","0","1.00","25.00","36.00"
"7","4820076640872","Марго Серветки паперові, 33х33, 3 шари, 20 шт.","29.00","50.00","45.00","0","0.00","0.00","0.00"
"8","4820088558875","велюр сухі серветки","1.80","66.67","10.00","0","38.00","68.40","380.00"
"9","4820148140095","серветки столові уп.100шт","15.00","66.67","25.00","0","3.00","45.00","75.00"
"10","4820237500601","Серветки вологі boom fresh","3.80","66.67","10.00","0","37.00","140.60","370.00"
"11","4820280690090","Серветки косметичні 150шт Silken","45.00","33.33","60.00","0","4.00","180.00","240.00"
"12","4820281460012","Серветки білі малвар 100 шт","11.00","81.82","20.00","0","43.00","473.00","860.00"
"13","4823071619010","Салфетки влажные ""Baby Superfresh"" 120 шт з клапаном","35.00","37.00","48.00","0","0.00","0.00","0.00"
"14","4823124601962","Серветки косметичні 150шт ТМ ""Soho""","50.00","40.00","70.00","0","1.00","50.00","70.00"
"15","5998648702828","РушничкиПаперовіКухонні Sindy","20.00","30.00","26.00","0","2.00","40.00","52.00"
"16","8606034950155","туалет папір PERFEX","10.00","50.00","15.00","0","48.00","480.00","720.00"

