"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","024354200244","Круасан з шоколадно-ванільною начинкою 40 г like Home","16.20","30.00","21.00","0","9.00","145.80","189.00"
"2","024354200589","Пончик з полуничною начинкою 50 г like Home","14.88","40.00","21.00","0","0.00","0.00","0.00"
"3","024354420802","Бісквітний кекс Bubble cake кокос Like home","12.00","25.00","15.00","0","0.00","0.00","0.00"
"4","1013","Пряники вагові з повидлом","109.00","24.77","136.00","1","0.00","0.00","0.00"
"5","1017","Мармелад дольками ваговий","148.00","25.00","185.00","1","0.55","81.70","102.12"
"6","1036","Вафлі вагові 4шт темні Харківський бісквіт","153.08","35.00","207.00","1","4.98","762.80","1,031.48"
"7","1130","Вафлі класичні з згущонкою","123.00","34.15","165.00","1","0.00","0.00","0.00"
"8","1167","Вафлі 4шт лимонні Харківський бісквіт","137.00","30.66","179.00","1","1.49","204.27","266.89"
"9","1173","Печиво пташине молоко гурман","133.00","30.08","173.00","1","0.70","93.10","121.10"
"10","1217","Печево вівсяне медуня 3 кг","73.40","35.00","100.00","1","0.00","0.00","0.00"
"11","1228","Трубочка згущонка 1.5 криниця","154.00","38.00","213.00","1","0.00","0.00","0.00"
"12","1256","Печиво шарлотка ТМ добрий вечір","227.34","35.00","307.00","1","1.20","271.90","367.17"
"13","1267","тістечко бісквітне Каралато біскоті","292.82","40.00","410.00","1","0.00","0.00","0.00"
"14","1297","хрустик фруктовий церера","145.00","35.00","196.00","1","1.01","146.74","198.35"
"15","17627","Печиво здобне пісоч барвена культуа","164.05","35.00","221.00","1","1.02","167.33","225.42"
"16","2000000000183","Печиво Мізинчик з варенням Культ","154.00","29.87","200.00","1","0.01","1.54","2.00"
"17","2000000000794","Сушка баварська вагова","163.17","38.00","225.00","1","0.00","0.00","0.00"
"18","44238","тістечко листкове яблучник культуа 1,3","215.21","37.00","295.00","0","2.30","494.98","678.50"
"19","4820002300764","4820002300764Печиво діабетичне  на фруктозе 200 г ТМ Харківські солодощі","25.27","40.00","35.00","0","3.00","75.81","105.00"
"20","4820002300818","Печиво фасоване затяжне ""Зоологічне""300г","37.81","38.00","52.00","0","1.00","37.81","52.00"
"21","4820002301532","Печиво ""Крекер цибулька""  400гр   ХКФ","41.00","25.00","60.00","0","0.00","0.00","0.00"
"22","4820002302058","Печенье ""Крекер нежный""  400гр   ХКФ","45.00","40.00","63.00","0","0.00","0.00","0.00"
"23","4820002303727","Вафлі диаб.Лимончик  на фруктозе ""  130 гр   ХКФ","25.91","40.00","36.00","0","4.00","103.64","144.00"
"24","4820002303772","Рулет бісквітний  ""Фірмовий"" Крем-молоко 290 гр   ХКФ","0.01","40.00","87.00","0","0.00","0.00","0.00"
"25","4820002303796","Рулет бісквітний  ""Фірмовий"" Крем-вишня 290 гр Бесквіт-шоколад","62.36","40.00","87.00","0","0.00","0.00","0.00"
"26","4820002304038","Бісквіт ""Фірмовий"" Коктейль шоколадний 330 гр   ХКФ","69.00","30.43","90.00","0","0.00","0.00","0.00"
"27","4820002304052","Рулет фірмовий молочний крем 290 г","0.01","0.00","115.00","0","1.00","0.01","115.00"
"28","4820002305455","печиво Марія  230г БШ Харків","24.82","38.00","35.00","0","0.00","0.00","0.00"
"29","4820002306704","Вафлі диаб. Какао  на фруктозе ""  130 гр   ХКФ","25.90","40.00","36.00","0","0.00","0.00","0.00"
"30","4820007052996","Халва соняшникова з ароматом ванілі","137.25","35.00","187.00","1","1.81","248.42","338.47"
"31","4820017296748","Сухі сніданки ""Золоте зерно"" 200г","46.00","26.09","58.00","0","0.00","0.00","0.00"
"32","4820024387620","сухарі з ізюмом родина 300г","40.05","40.00","56.00","0","1.00","40.05","56.00"
