"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","43393","Пиво львівське мяке 0.9","54.62","33.00","73.00","0","3.00","163.86","219.00"
"2","480216370225","Пиво Микулин світле 0.5 л","26.54","30.00","35.00","0","0.00","0.00","0.00"
"3","4820000190954","Оболонь світле 0,5л  ж.б","32.75","27.00","41.00","0","8.00","262.00","328.00"
"4","4820000191180","пиво Оболонь Соборне 0.5 банка","34.72","35.00","47.00","0","2.00","69.44","94.00"
"5","4820000191708","Пиво ""Оболонь Світле"" 0,5л","24.61","45.00","38.00","0","9.00","221.49","342.00"
"6","4820000192125","""БІРМІКС ВИШНЯ"" , банка 0,5л","37.11","35.00","50.00","0","8.00","296.88","400.00"
"7","4820000192514","Пиво ""Хайк Преміум"" 0,5л Банка","38.75","30.00","51.00","0","4.00","155.00","204.00"
"8","4820000197472","""Зіберт  Світле""  в склопляшці 0,5л","33.39","30.00","44.00","0","1.00","33.39","44.00"
"9","4820000451178","Туборг Грін 0,5л ПЕТ","43.13","30.00","56.00","0","3.00","129.39","168.00"
"10","4820000451307","Туборг Грін 0,5л банка Туборг(24)","29.67","30.56","47.00","0","28.00","830.76","1,316.00"
"11","4820000451420","Арсенал міцне 0,5 ПЕТ Нове","37.00","27.03","47.00","0","2.00","74.00","94.00"
"12","4820000454766","Пиво Славутич Ice beer Mix зі смаком Lime 0.5л ж/б","40.84","25.00","51.00","0","0.00","0.00","0.00"
"13","4820000455732","1715 Львівське 0,45л.пл  (20) Нове","37.08","35.00","50.00","0","15.00","556.20","750.00"
"14","4820000455855","Кроненбург Бланк пл 0,46л","58.89","33.00","76.00","0","5.00","294.45","380.00"
"15","4820000455985","Кроненбург Бланк банка 0,5л АТБ ( 1728 п )","52.99","35.00","71.00","0","4.00","211.96","284.00"
"16","4820000456418","Пиво ""Garage Лимон""пл.0,44л","46.97","35.00","64.00","0","3.00","140.91","192.00"
"17","4820000456463","Карлсберг 0,5л банка (24)  Карлсберг АТБ ( 1728 п )","42.97","30.00","56.00","0","6.00","257.82","336.00"
"18","4820000457309","Кроненбург Бланк банка 0,33л","35.26","34.38","47.00","0","4.00","141.04","188.00"
"19","4820000458696","Світле Львівське 0,9л  ПЕТ","42.05","30.00","55.00","0","6.00","252.30","330.00"
"20","4820000458795","Карлсберг нов 0,45л Карлсберг(20)","47.82","33.00","65.00","0","5.00","239.10","325.00"
"21","4820000458801","Карлсберг Безалкогольне 0,45л пл (20)","45.43","37.00","60.00","0","2.00","90.86","120.00"
"22","4820000458955","Світле Львівське 1,8 л Львівське (6)","64.20","27.73","82.00","0","1.00","64.20","82.00"
"23","4820000459372","Пиво розливне Веселий батяр 0.5 л","23.14","55.57","43.00","0","298.00","6,895.72","12,814.00"
"24","4820000459754","Пиво ""Garage Лимон"" 0,9л","60.90","31.36","80.00","0","2.00","121.80","160.00"
"25","4820002713151","Сеньйор Картель(""SENOR CARTEL"") в склопляшці 0,33л","54.36","25.00","68.00","0","0.00","0.00","0.00"
"26","4820002713786","""SENOR CARTEL LEMON (Сеньйор Картель Лимон)""склопл.0,33л","54.36","33.09","72.00","0","1.00","54.36","72.00"
"27","4820002713816","""SENOR CARTEL CERO (Сеньйор Картель Серо)""склопл.0,33л","46.50","29.03","60.00","0","0.00","0.00","0.00"
"28","4820003160015","Пиво МИКУЛИН світле 0,5л","30.74","30.00","40.00","0","14.00","430.36","560.00"
"29","4820009940314","Пиво Медове 2002 скло 0.5","39.30","40.00","55.00","0","6.00","235.80","330.00"
"30","4820009940512","Пиво Вайсбург лагер скло 0.5","35.04","40.00","49.00","0","2.00","70.08","98.00"
"31","4820009940543","Пиво Пшеничне скло 0.5","34.14","40.00","48.00","0","0.00","0.00","0.00"
"32","4820009941083","Пиво Вайсбург бланш скло 0.5","37.08","40.00","52.00","0","6.00","222.48","312.00"
"33","4820009941168","Пиво Умань пет 1л св. Вайсбург безалкогольне","35.88","40.00","50.00","0","10.00","358.80","500.00"
"34","4820009944213","Пиво Уманське Солодово-Пшеничне скло 0.5","35.64","40.00","50.00","0","0.00","0.00","0.00"
"35","4820009944374","Сидр Уманський Яблучний скло 0.5","40.80","40.00","57.00","0","2.00","81.60","114.00"
"36","4820009944701","Пиво Вайсбург Дункель скло 0.5","40.20","40.00","56.00","0","3.00","120.60","168.00"
"37","4820022692658","Пиво""1-ша пр.бров.""Тетерів"" 0,5л","37.40","35.00","51.00","0","6.00","224.40","306.00"
"38","4820022692818","Пиво хайкен 0,33 л олмар ( скло)","43.04","33.00","57.00","0","4.00","172.16","228.00"
"39","4820022692832","Пиво ""Heineken"" скло 0.5 л","58.64","37.00","83.00","0","0.00","0.00","0.00"
"40","4820022693037","Чайка Чорноморська Лимон-Лайм 0.5 л (ж.б.)","38.00","28.95","49.00","0","0.00","0.00","0.00"
"41","4820022693051","пиво чайка чорноморська лимон лайнм 0.9","64.32","35.00","87.00","0","0.00","0.00","0.00"
"42","4820022693266","Пиво Чайка Чорноморська лимон-лайм 0.5 зб","41.23","35.00","56.00","0","0.00","0.00","0.00"
"43","4820022693303","пиво чайка чорноморська кактус ківі 0.45","44.71","35.00","60.00","0","2.00","89.42","120.00"
