"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","3587925332890","Парфум Pride 100ml","80.00","50.00","120.00","0","1.00","80.00","120.00"
"2","4820010222126","Парфюм.вода 100мл Платинум","80.00","87.50","150.00","0","0.00","0.00","0.00"
"3","4820210640676","Запашна вода Містер Х platinum extra","25.00","60.00","40.00","0","1.00","25.00","40.00"
"4","4820210640812","Туалетна вода чол. Gentlemans aura 100ml","80.00","87.50","150.00","0","0.00","0.00","0.00"
"5","4820274201042","Парфумована вода для жінок ТМ ""NOTAGE""","80.00","87.50","150.00","0","2.00","160.00","300.00"
"6","4826354612449","подарунковий набір чол екстра туал вода  дезод","125.00","60.00","200.00","0","1.00","125.00","200.00"
"7","5908241729023","подарунковий набір чолджинс марк в сумоч","223.00","55.00","346.00","0","0.00","0.00","0.00"
"8","6282717219973","Парфумна вода Infinity чол","200.00","75.00","350.00","0","0.00","0.00","0.00"
"9","6291199446128","Парфумна вода статус чол","200.00","75.00","350.00","0","1.00","200.00","350.00"
"10","6292625179993","Парфумна вода Три фрагрансес","270.00","29.63","350.00","0","0.00","0.00","0.00"
"11","6949063991020","Туалетна вода чол. Vacation EROS 100ml","200.00","65.00","330.00","0","0.00","0.00","0.00"
"12","8006530006989","Набір old spice дезодорант + гель для душу","180.00","44.44","260.00","0","0.00","0.00","0.00"
"13","8439627584310","парфюм м","200.00","50.00","350.00","0","1.00","200.00","350.00"
"14","8690506546717","подарунковий набір чол арко піна гель душ","145.00","55.00","225.00","0","1.00","145.00","225.00"
"15","8690506554682","подарунковий набір чол арко гель дез спрей","180.00","55.00","279.00","0","1.00","180.00","279.00"
"16","8700216614740","Набір чоловічий Old Spice and H&S 330ml 50ml","260.00","53.85","400.00","0","0.00","0.00","0.00"
"17","8720182991256","Бархатные ручки под.набір LUXURY","120.00","66.67","200.00","0","0.00","0.00","0.00"
"18","8720633014978","Набір AXE Дезодорант + Гель для душу","240.00","47.92","355.00","0","0.00","0.00","0.00"
"19","8720633015524","Набір Dove Дезодорант + Гель для душу","158.00","56.25","260.00","0","3.00","474.00","780.00"

