"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1257721517679","Пакет подарунковий SM1767L-2 30x41.5x12","35.00","100.00","70.00","0","2.00","70.00","140.00"
"2","2200000350893","Пакет подарунковий під пляшку R95561","19.00","100.00","38.00","0","4.00","76.00","152.00"
"3","2200000350947","Пакет подарунковий під пляшку  R 95010","18.00","100.00","38.00","0","12.00","216.00","456.00"
"4","2200000350954","Подарунковий пакет R95011","20.00","75.00","35.00","0","0.00","0.00","0.00"
"5","2200000412201","Пакет подарун вел R34785","35.00","71.43","60.00","0","0.00","0.00","0.00"
"6","6572259834834","пакети подарунковий HL-103/DF-348M","27.00","100.00","55.00","0","2.00","54.00","110.00"
"7","6572259865722","Пакет подарунковий df-657S-1 18X10X23","30.00","66.67","45.00","0","0.00","0.00","0.00"
"8","6972522622791","Пакет подарунковий WB-2279-3M 26x32x10","32.00","56.25","50.00","0","0.00","0.00","0.00"
"9","7700000010520","Подарунковий міні-пакет тонкий","1.00","200.00","3.00","0","26.00","26.00","78.00"
"10","7700000010568","Подарунковий пакет на Миколая","2.00","150.00","5.00","0","56.00","112.00","280.00"

