"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820169310705","Попкорн карамель Snex","26.00","23.08","32.00","0","1.00","26.00","32.00"
"2","4820196730798","Попкорн для мікрохвильової печі холодець з хріном Panda","26.00","23.08","32.00","0","0.00","0.00","0.00"
"3","4820196730804","Попкорн для мікрохвильової печі  сметана зелень Panda","26.99","40.00","38.00","0","1.00","26.99","38.00"
"4","4820196730842","Попкорм Панда зі смаком холодцю з хроном 70 г","23.00","30.43","30.00","0","1.00","23.00","30.00"
"5","4820196730934","попкорн кола 170г","70.00","50.00","105.00","0","0.00","0.00","0.00"
"6","4820196731115","ПАНДА ПОП КОРН ДЛЯ МИКРОВОЛНОВКИ 100 гр РЕБРА","26.98","23.08","38.00","0","2.00","53.96","76.00"
"7","4820196731498","Попкорн для мікрохвильової печі  гриби Panda","26.00","23.08","32.00","0","0.00","0.00","0.00"
"8","4820196731504","Панда Попкорн для мікрохв. Краб 100г.","26.99","40.00","38.00","0","1.00","26.99","38.00"
"9","4820196731580","Попкорн Панда для мікрохвильової бекон","26.99","40.00","38.00","0","4.00","107.96","152.00"
"10","4820196732006","попкорм карамель 170г","70.00","50.00","105.00","0","6.00","420.00","630.00"
"11","4820196732044","Попкорм фантастичний мікс","70.00","50.00","105.00","0","0.00","0.00","0.00"
"12","4820196732488","Попкорн карамелізований зі смаком солоної карамелі Boomza 170g","80.00","50.00","120.00","0","1.00","80.00","120.00"
"13","4820205521959","Кукурудзяні палички ПУФ супер сир 50 г","16.50","40.00","23.00","0","0.00","0.00","0.00"
"14","4820205521966","Кукурудзяні палички ПУФ 50 г супер краб","16.50","40.00","23.00","0","0.00","0.00","0.00"
"15","4820205521973","Кукурудзяні палички ПУФ 50 гсупер карамель","16.50","40.00","23.00","0","0.00","0.00","0.00"

