"Id","Найменування","Реквізити","Відстрочка платежу","Макс. сума боргу"
"24","1001 дрібниця","","0","0.00"
"10","Білий магазин","","0","0.00"
"13","Віноро","","0","0.00"
"52","Віноро пиво","","0","0.00"
"38","ВЕСТ Гірник(алкоголь)","","0","0.00"
"9","Галичина","","0","0.00"
"15","Горянка","","0","0.00"
"59","кава","","0","0.00"
"37","Кано (Лімо морозиво)","","0","0.00"
"8","Карпатська джерельна","","0","0.00"
"60","Лайфсел","","0","0.00"
"51","Ласунка","","0","0.00"
"43","Легіон-Трейд (Моршинська)","","0","0.00"
"49","Лого Транс","","0","0.00"
"42","Лого-Транс (Деліція)","","0","0.00"
"7","Львівська горілка","","0","0.00"
"17","Львівське пиво","","0","0.00"
"29","Медоф","","0","0.00"
"47","Молчанова(Щедрий вечір)","","0","0.00"
"28","Оболонь","","0","0.00"
"14","Овація","","0","0.00"
"53","Олесинська м’ясна лінія","","0","0.00"
"12","Олмар (пиво)","","0","0.00"
"11","Олмар(алкоголь)","","0","0.00"
"44","Птахофабрика","","0","0.00"
"30","Родина (Славко)","","0","0.00"
"34","СULTUA Біскоті","","0","0.00"
"58","Сав Орбіко (савсервіс хімія)","","0","0.00"
"27","Сандора","","0","0.00"
"31","СТВ Центр (молочка,люкс)","","0","0.00"
"45","Твій продукт","","0","0.00"
"32","Тедіс","","0","0.00"
"1","Тест","Реквизиты поставщика","0","0.00"
"41","Торговий дім ""Бойчак""","","0","0.00"
"61","Тушонки  Іван","","0","0.00"
"57","ФОП Кульчицький (дитячка)","","0","0.00"
"36","ХД Трейд","","0","0.00"
"5","Хліб Калуш","","0","0.00"
"6","Хліб Піддністряни","","0","0.00"
"4","Хліб ТзОВ ""Пекарня Стасюка"" (Черниця)","","0","0.00"
"3","Хліб ФОП Лавро І. Й. (Березина)","","0","0.00"
"46","Ходорівські ковбаси","","0","0.00"
"55","Хрещатик","","0","0.00"
"2","Шувар","","0","0.00"
"23","Шувар бакалія Назар","","0","0.00"
"21","Шувар кавоман","","0","0.00"
"40","Шувар ковбаса","","0","0.00"
"48","Шувар Молочка","","0","0.00"
"20","Шувар печево Ігор","","0","0.00"
"39","Шувар Польща","","0","0.00"
"18","Шувар різне","","0","0.00"
"22","Шувар риба Віктор","","0","0.00"
"19","Шувар Сергій","","0","0.00"
"54","Шувар фрукти овочі","","0","0.00"
"25","Шувар Хімія Ростик","","0","0.00"
"26","Шувар чай","","0","0.00"
"50","Яйце","","0","0.00"

