"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","026102377925","Luminarc Cadix Тарілка обед 25см Н4132","50.00","60.00","80.00","0","13.00","650.00","1,040.00"
"2","087954558115","""Parma"" суповая тарелка 23 см /24 код","70.00","50.00","105.00","0","4.00","280.00","420.00"
"3","2200000228819","Ланч бокс R30059","30.00","83.33","55.00","0","1.00","30.00","55.00"
"4","2200000250155","салатник риба","400.00","50.00","600.00","0","1.00","400.00","600.00"
"5","4820095710099","Контейнер харчовий 1.15л 12*17.6*9см NP-57","40.00","50.00","60.00","0","0.00","0.00","0.00"
"6","4820143570705","Контейнер №1 пищевой с зажимом 0,5л 162*112*65мм LUX","20.00","75.00","35.00","0","2.00","40.00","70.00"
"7","4820143571788","Контейнер 3в1 Twist Box великі (круглі) (1,18х0,88*0,6)","77.43","60.00","124.00","0","2.00","154.86","248.00"
"8","4820143571801","бокс економ квадр №2 0,9л","24.22","100.00","48.00","0","2.00","48.44","96.00"
"9","4820143571818","бокс економ квадр №3  1,5л","32.28","100.00","65.00","0","1.00","32.28","65.00"
"10","4820143571849","бокс економ №3 1,75л","28.00","100.00","56.00","0","3.00","84.00","168.00"
"11","4823082525799","040-01-102 Чашка з іграшкою у подар.упак.300мл Теді","200.00","60.00","320.00","0","1.00","200.00","320.00"
"12","5999880112215","Лоток 0,8л","22.00","100.00","44.00","0","2.00","44.00","88.00"
"13","5999880115186","Контейнер харчовий, 0,5 л","16.50","100.00","33.00","0","2.00","33.00","66.00"
"14","5999880115230","Лоток 1,2л","33.00","81.82","60.00","0","0.00","0.00","0.00"
"15","6902020081653","салатник белый Виттора 165мм *97472","200.00","65.00","330.00","0","1.00","200.00","330.00"
"16","6902021110079","Оселедниця Vittora 225мл. 6 шт.","300.00","66.67","500.00","0","1.00","300.00","500.00"
"17","6953440502365","Набір стаканів 255мл 309С","200.00","65.00","330.00","0","0.00","0.00","0.00"
"18","6953440505809","Набір стаканів віскі 6х285 мл G-horse","280.00","67.86","470.00","0","0.00","0.00","0.00"
"19","6953440593660","Набір чашок на лате  G-horse 6x280ml","400.00","37.50","550.00","0","1.00","400.00","550.00"
"20","6990001480731","Набір чарок MISKET 30 мл, VERSAILLES 6 шт","108.58","60.00","174.00","0","1.00","108.58","174.00"
"21","7700000010575","Набір стаканів 6 шт. темні","200.00","50.00","300.00","0","1.00","200.00","300.00"
"22","7700000012425","Стакан бокал 500 гост","1.70","100.00","2.00","0","245.00","416.50","490.00"
"23","8693357090736","Набір стаканів 6 Paradise  42414","200.00","65.00","330.00","0","1.00","200.00","330.00"
"24","883314440447","Кружка 6 шт. luminarc cup28","240.00","50.00","360.00","0","1.00","240.00","360.00"
"25","883314634723","Тарелка Люминарк белая квадратная большая 3621","50.00","90.00","95.00","0","4.00","200.00","380.00"

