"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","3800024047886","Порошок савекс автомат 2,25 кг  кольор","220.00","35.00","297.00","0","0.00","0.00","0.00"
"2","3800024047909","Порошок савекс автомат 2,25 кг білого","220.00","35.00","297.00","0","2.00","440.00","594.00"
"3","3800024049200","порошок савекс автомат 300г","33.00","35.00","45.00","0","2.00","66.00","90.00"
"4","3800024049231","порошок савекс руч 300г","33.00","35.00","45.00","0","5.00","165.00","225.00"
"5","3800024049651","Капсули для прання Savex color xxl","8.92","60.00","16.00","0","60.00","535.20","960.00"
"6","4008455060811","DR.BECKMANN салфетки для черного","12.00","83.33","22.00","0","0.00","0.00","0.00"
"7","4015400759119","Прокладки олвейс ультратонкі аромат Супер сінгле(8 шт.)","49.83","36.46","68.00","0","9.00","448.47","612.00"
"8","4046723022017","порошок кисневий відбілювач dr. helen","105.00","32.00","142.00","0","1.00","105.00","142.00"
"9","4066447236125","Серветка для прання DenMit для кол.","12.00","83.33","22.00","0","24.00","288.00","528.00"
"10","4260145991953","Гель для стирки Повер Вош+ 4л для цветного","262.00","29.77","340.00","0","0.00","0.00","0.00"
"11","4260145991960","Гель для прання Power Wash 4л Універсальний 92 прання","220.00","35.22","311.00","0","4.00","880.00","1,244.00"
"12","4260504880270","серветки для прання Делюкс чорні речі","3.75","80.00","7.00","0","18.00","67.50","126.00"
"13","4260504880300","Гель для прання ензо 4 л","260.00","35.00","351.00","0","0.00","0.00","0.00"
"14","4260582342219","Гель для прання конвалія Konigliche wasche 3.2l","250.00","29.60","324.00","0","1.00","250.00","324.00"
"15","4820191761711","Гель для прання ""Гель універ. про мах"" 5,5 л","170.00","35.00","250.00","0","1.00","170.00","250.00"
"16","4820191762268","Гель для прання Onix universal 5kg","198.00","29.80","257.00","0","0.00","0.00","0.00"
"17","4820281850295","відбілювач кисневийдля білих MSHELEN 900","103.00","35.00","139.00","0","3.00","309.00","417.00"
"18","4823107605727","Капсули для прання Silla universal","6.00","66.67","10.00","0","0.00","0.00","0.00"
"19","4823107605734","Капсула Сила","6.73","55.00","12.00","0","12.00","80.76","144.00"
"20","4823107607073","Кисневий відбілювач SILA OXI 0.5 кг","55.00","34.55","74.00","0","1.00","55.00","74.00"
"21","4823128002208","Гель для прання гелах універсальний 4 л","238.00","35.00","321.00","0","0.00","0.00","0.00"
"22","4823128005230","Wash free гель для прання 5л","195.00","35.90","265.00","0","0.00","0.00","0.00"
"23","5900672423112","TARA Відбілювач для тюлів, 35 г","10.00","50.00","15.00","0","23.00","230.00","345.00"
"24","5999109563163","Плямовивідник для білого Vanish 1l","112.00","29.46","145.00","0","0.00","0.00","0.00"
"25","7700000010735","Капсули для прання Tide","10.51","60.00","17.00","0","35.00","367.85","595.00"
"26","8001090790743","АРІЄЛЬ універсал бутель 5775мл покращенний","145.00","35.17","196.00","0","0.00","0.00","0.00"
"27","8006530172301","Порошок тайд авт колор 2.1кг","232.28","35.18","314.00","0","1.00","232.28","314.00"
"28","8006530177719","Порошок аріель авт Аква-Пудра Колор 2.1 кг","256.39","35.34","347.00","0","1.00","256.39","347.00"
"29","8006530178020","Порошок аріель авт гірське джерело 2.1 кг","256.39","35.34","347.00","0","1.00","256.39","347.00"
"30","8006530178181","GALA порошок ручне","26.00","35.00","35.00","0","4.00","104.00","140.00"
"31","8006540512098","ПОРОШОК Гала 300г автомат французький аромат","31.00","40.00","42.00","0","3.00","93.00","126.00"
"32","8006540512180","Порошок Gala ручне французький аромат 300г","26.00","40.00","35.00","0","0.00","0.00","0.00"
"33","8006540534304","Tide Авт СМ3 порошок Аква пудра Альп.свіж.21кг","250.00","20.00","300.00","0","2.00","500.00","600.00"
"34","8006540535394","Тайд аква-пудра 300г альпійська свіжість","38.00","23.68","47.00","0","1.00","38.00","47.00"
"35","8006540536469","порошок арiель для кол. аква пудра","50.00","28.00","65.00","0","6.00","300.00","390.00"
"36","8006540901830","Помякшувач тканин Lenor Орхідея і ваніль 1200мл","142.00","30.28","185.00","0","0.00","0.00","0.00"
"37","8015194530730","шантаклєр гель для прання 28 прання 1260г мускус білий","175.00","37.00","240.00","0","0.00","0.00","0.00"
"38","8015194530754","шантаклєр гель для прання 28 прання 1260г кольорове прання","175.00","37.00","240.00","0","2.00","350.00","480.00"
"39","8015194530761","шантаклєр гель для прання 28 прання 1260г бікарбонат","175.00","37.00","240.00","0","1.00","175.00","240.00"
"40","8015194530778","гель для прання 28пр 1260","175.00","35.00","236.00","0","2.00","350.00","472.00"
"41","8700216723879","Конд ленор квітковий букет і нотка мускусу 987 мл","134.43","35.39","182.00","0","0.00","0.00","0.00"
"42","8700216724296","Кондиц ленор орхідея та ваніль 987 мл","134.43","35.39","182.00","0","0.00","0.00","0.00"
"43","8700216764032","Аріель капсули ехстра","12.18","50.00","18.00","0","32.00","389.76","576.00"
"44","8700216765183","Капсула аріель колір","9.42","50.00","15.00","0","0.00","0.00","0.00"
"45","8700216971225","Капсула для прання Ariel + lenor","9.50","57.89","15.00","0","0.00","0.00","0.00"
"46","8720181410659","Помякшувач тканин Cocolino fresh&soft orange rush 1700ml","165.00","30.30","215.00","0","1.00","165.00","215.00"

