"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4015400125037","NATURELLA Ultra Жіночі гіг. прокл. Camomile Normal 10шт","47.00","35.00","64.00","0","2.00","94.00","128.00"
"2","4015400125099","Ароматизированные женские гигиенические прокладки Натурелла Ультра Кэмомайл Макси с крылышками, 8шт 5к","47.00","35.00","64.00","0","1.00","47.00","64.00"
"3","4015400240310","щоденні прокладки ""Naturella comomile"" Normal, Petal-soft, 20 шт.","42.00","35.00","57.00","0","3.00","126.00","171.00"
"4","4015400317876","NATURELLA Classic Жіночі гіг. прокл. з крильцями Camomile Normal Single 10шт    15,76  акція!!!!","34.52","35.00","49.00","0","10.00","345.20","490.00"
"5","4015400317999","NATURELLA Classic Жіночі гіг. прокл. з крильцями Camomile Maxi Single 8шт 8шт","35.50","35.00","48.00","0","1.00","35.50","48.00"
"6","4015400435846","NATURELLA Ultra Жіночі гіг. прокл. Night Single 7шт","43.00","71.11","77.00","0","4.00","172.00","308.00"
"7","4015400437543","NATURELLA Classic Жіночі гіг. прокл. з крильцями Camomile Night Single 7шт 7шт","45.00","26.67","57.00","0","1.00","45.00","57.00"
"8","5029053540108","Гігієнічні прокладки ""Kotex"" Ultra, нічні, 7 шт.","58.00","38.00","80.00","0","1.00","58.00","80.00"
"9","5029053542645","Гігієнічні прокладки ""Kotex"" Ultra, супер, 8 шт.","58.00","38.00","80.00","0","1.00","58.00","80.00"
"10","5029053548227","Прокладки Котекс Део Нормал 20 шт","40.00","37.50","55.00","0","0.00","0.00","0.00"
"11","5900516310370","Прокладки щоденні bella classic 1шт","0.70","114.29","1.50","0","22.00","15.40","33.00"
"12","8001090131232","Щоденні гігієнічні прокладки олвейс нормал  30 шт.","40.30","35.00","54.00","0","5.00","201.50","270.00"
"13","8001090444950","прокладки олвейс платинум 2","37.00","35.00","50.00","0","8.00","296.00","400.00"
"14","8001090445032","прокладки Олвейс ультра Platinum нічні 6 штук","37.00","35.00","55.00","0","7.00","259.00","385.00"
"15","8001090603883","NATURELLA М_якi щоденнi прокладки Green Tea Magic Normal (з ароматом зеленого чаю) 52шт ПрКор 52шт","85.00","38.82","118.00","0","1.00","85.00","118.00"
"16","8001841504636","Naturella ultra night xl pack","57.00","35.09","77.00","0","1.00","57.00","77.00"
"17","8001841733050","Прокладки олвейс ультратонкі ароматизовані  ніч  6 шт.","50.35","35.00","68.00","0","5.00","251.75","340.00"
"18","8006540098219","прокладки натурелла ультра нормал 4к","43.00","35.00","58.00","0","5.00","215.00","290.00"
"19","8700216022262","Прокладки always ultra day light жовті","50.35","38.00","69.00","0","15.00","755.25","1,035.00"
"20","8700216152846","Прокладки щоденні Discreet део вотер лілі мультіформ","37.62","42.86","54.00","0","3.00","112.86","162.00"
"21","8700216861120","Прокладки always ultra day normal 3x protection оранж.","49.83","38.00","68.00","0","19.00","946.77","1,292.00"
"22","8700216916059","Прокладки always ultra day super extra 3x protection синні","50.00","38.00","69.00","0","0.00","0.00","0.00"

