"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1073","Сардельки з телятиноюХодорівський м'ясокомбінат","167.50","33.00","225.00","1","0.00","0.00","0.00"
"2","1074","Парувкі сосиски Ходорівський м'ясокомбінат","167.00","45.00","242.00","1","0.00","0.00","0.00"
"3","1139","Сосиски Антошка в/c ( ходорів)","214.50","33.00","286.00","1","1.20","257.40","343.20"
"4","1140","Сардельки Баликові Ходорівський м'ясокомбінат","167.50","40.00","235.00","1","0.00","0.00","0.00"
"5","1141","Сардельки Товстунчик ходорівські ковб","256.00","40.00","359.00","1","0.00","0.00","0.00"
"6","1155","Сардельки ""Домашні"" (газ 0.8 кг) Забіяка","175.32","35.00","240.00","1","0.86","149.90","205.20"
"7","1156","Сардельки Першого сорту ""Соковиті з сиром"" (газ 0,8кг)","168.96","30.21","220.00","1","0.00","0.00","0.00"
"8","1157","Сардельки Першого сорту ""Соковиті"" (газ 0,8 кг) Забіяка","175.32","35.00","237.00","1","0.78","136.40","184.39"
"9","1158","Сардельки Вищого сорту ""Лікарські"" (газ 5шт)","212.76","30.19","277.00","1","0.00","0.00","0.00"
"10","1159","Сосиски ""Альпійські"" (газ 0,55 кг)","172.80","30.21","225.00","1","0.00","0.00","0.00"
"11","1160","Сосиски ""Ранкові"" (газ 0,7кг) Забіяка","176.88","35.00","239.00","1","0.56","99.76","134.80"
"12","1161","Сосиски ""Філейні"" (газ 0,5 кг) Ходорів","246.00","35.00","332.00","1","0.00","0.00","0.00"
"13","1193","Сардельки лікарські ходорів","168.00","33.00","225.00","1","0.00","0.00","0.00"
"14","1204","Сосиски бебі босс ходорівський комбіат","257.00","35.00","350.00","1","0.00","0.00","0.00"
"15","1211","Сардельки ""Селянські"" (газ 0,8кг) Забіяка","144.48","35.00","195.00","1","0.76","109.66","148.01"
"16","1212","Сосиски Першого сорту ""Елітні"" (газ 0,8кг)","182.88","30.00","240.00","1","0.00","0.00","0.00"
"17","1213","Сосиски молочні варені в/г (поліамід) ТМ ЧК газ","89.52","38.00","124.00","1","0.00","0.00","0.00"
"18","1214","Сардельки фірмові варені 1/с ТМ ЧК газ","117.48","40.00","164.00","1","0.00","0.00","0.00"
"19","1230","Пік-нік гриль ковб","216.00","37.00","296.00","1","0.00","0.00","0.00"
"20","1239","Сардельки шкільні в с ходорів","247.50","40.00","350.00","1","0.70","173.25","245.00"
"21","1248","Сардельки соковиті олесинська мясна лінія","173.00","40.00","243.00","1","1.09","187.71","263.66"
"22","1249","Сардельки фірмові олесинська мясна лінія","245.00","40.00","343.00","1","0.54","132.30","185.22"
"23","1252","Сардельки швейцарські ходорів з сиром вс","285.00","40.00","399.00","1","0.00","0.00","0.00"
"24","1258","Сарделька докторська ходорів","242.50","40.00","340.00","1","0.00","0.00","0.00"
"25","1298","Сарделька мясна олесинська мясна лінія","150.00","50.00","225.00","1","0.54","81.00","121.50"
"26","2202476908066","Сардельки  докторські мясна історія","218.04","40.00","306.00","1","0.00","0.00","0.00"
"27","2203063711021","Сосиски з мяса птиці Паровки ТМ мясна історія","148.80","40.00","208.00","1","1.99","295.81","413.50"
"28","2203120406600","Сардельки  гулівер ТМ мясна історія","152.64","40.00","214.00","1","0.67","101.96","142.95"
"29","2203226606980","Сосиски дитячі мясна історія","189.00","40.00","265.00","1","0.00","0.00","0.00"
"30","2306848007347","Сардельки родинські Червона калина","140.88","38.00","194.00","1","0.00","0.00","0.00"
"31","2306854007744","Сосиски зі скоринкою варені ТМ ЧК газ","156.96","35.00","212.00","1","0.00","0.00","0.00"
"32","2994730009434","Сардельки козацькі забіяка","134.28","35.00","181.00","1","0.00","0.00","0.00"
"33","2997080004586","Сосиски Фуршетні(газ 0.4) Забіяка","176.16","40.00","247.00","1","0.00","0.00","0.00"
"34","2999510005040","Сардельки курячі вищий сорт забіяка","232.92","35.00","315.00","1","0.00","0.00","0.00"
"35","2999590006395","Сосиски першого сорту сімейні забіяка","126.36","35.00","171.00","1","0.65","82.64","111.83"
"36","4820191370500","Сосиски першого гатунку апетитні 0.33 забіяка","62.40","40.00","87.00","0","0.00","0.00","0.00"
"37","4822005002690","Сосиски лікарські ходорівські ковб","166.50","35.00","225.00","1","0.00","0.00","0.00"
"38","5900751003594","Яно Сосиски Польща  1кг.","118.00","35.00","162.00","1","3.76","443.68","609.12"
"39","7700000012272","Сосиски берлінки уп Ходорів","166.50","35.00","225.00","1","0.00","0.00","0.00"
"40","7700000012289","Сосиски Мясненькі уп Ходорів","239.00","35.00","323.00","1","0.00","0.00","0.00"

