"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","11369","сигарети вінстон хс сільвер","153.90","8.00","166.00","0","0.00","0.00","0.00"
"2","4820000361361","Сигарети Пріма Срібна Янтарна","129.86","8.00","140.00","0","0.00","0.00","0.00"
"3","4820000363440","Пріма Срібна Червона","129.86","8.00","141.00","0","0.00","0.00","0.00"
"4","4820000363457","Сигарети Пріма синя срібна","129.86","8.00","141.00","0","6.00","779.16","846.00"
"5","4820001986174","Сигарети Rothmans Blue","125.04","8.00","135.00","0","0.00","0.00","0.00"
"6","4820192104074","Сигарети Комплімент червоні","118.04","8.50","130.00","0","17.00","2,006.68","2,210.00"
"7","4820192106979","Сигарети стронг армійські","118.04","10.13","130.00","0","0.00","0.00","0.00"
"8","4820192686907","Сигарети Прилуки Класичні 10","120.23","8.00","130.00","0","0.00","0.00","0.00"
"9","4820192687058","Сигарети Rothmans Demi Purple","149.09","8.00","161.00","0","6.00","894.54","966.00"
"10","4820272211050","Сигарети Марвел пурпле","155.81","9.11","170.00","0","2.00","311.62","340.00"
"11","4820286860329","Сигарети Rothmans Red","134.66","8.00","146.00","0","4.00","538.64","584.00"
"12","4820286860763","Сигарети Rothmans червоні","120.23","8.00","130.00","0","39.00","4,688.97","5,070.00"
"13","48207782","Сигарети парламент сільвер Blue","173.14","8.58","188.00","0","0.00","0.00","0.00"
"14","48209564","Сигарети Rothmans Demi Silver","158.70","8.00","172.00","0","24.00","3,808.80","4,128.00"
"15","48209571","Сигарети Ротманс Демі Блю","158.70","8.00","172.00","0","7.00","1,110.90","1,204.00"
"16","48211253","Sobranie blue сигарети","182.76","8.00","198.00","0","20.00","3,655.20","3,960.00"
"17","48211260","Sobranie london жовте","182.76","8.00","198.00","0","12.00","2,193.12","2,376.00"
"18","48211321","Сигарети кемел блю","173.14","8.00","187.00","0","11.00","1,904.54","2,057.00"
"19","48211376","Сигарети Winston xs blue тонкі","163.52","8.00","177.00","0","57.00","9,320.64","10,089.00"
"20","48211710","Сигарети winston xstyle blue","163.52","8.00","167.00","0","25.00","4,088.00","4,175.00"
"21","48211741","Сигарети Winston XStyle silver","163.52","8.00","177.00","0","12.00","1,962.24","2,124.00"
"22","4823003208107","Сигарети Bond Street Blue Selection 20шт","144.29","8.00","156.00","0","7.00","1,010.03","1,092.00"
"23","4823003208947","Сигарети  L&M Loft Sea Blue","158.71","8.00","172.00","0","11.00","1,745.81","1,892.00"
"24","4823003208978","Сигарети L&M Loft Blue","158.71","8.00","172.00","0","20.00","3,174.20","3,440.00"
"25","4823003210070","Сигарети Marlboro gold","173.14","8.00","187.00","0","10.00","1,731.40","1,870.00"
"26","4823003210506","Сигарети Bond Street Blue Selection (25 сиг.)1","173.14","8.00","187.00","0","0.00","0.00","0.00"
"27","4823003215426","Chesterfield XL 30 original","185.71","5.00","195.00","0","0.00","0.00","0.00"
"28","4823003216812","Сигарети ЛМ фірзт гут лонг блю","129.86","8.00","140.00","0","0.00","0.00","0.00"

