"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1046","Сир твердий фасований Український Горянка 50%","181.32","40.00","266.00","1","1.20","218.13","320.00"
"2","1047","Сир СП Фас в асортименті","190.00","42.11","270.00","1","0.00","0.00","0.00"
"3","1048","Сири розсільні нитка","268.68","50.00","404.00","1","0.00","0.00","0.00"
"4","1049","Соломка косичка Житомирська вагова Заможні","244.20","65.00","420.00","1","1.81","442.00","760.20"
"5","1063691024747","Класичний сирний продукт ТМ молочний шлях","190.00","50.00","285.00","1","0.00","0.00","0.00"
"6","1150","Туба 500г Моцарелла maestro pizza 40%","146.16","40.00","205.00","1","1.01","147.77","207.26"
"7","1208","Косичка житомирська вакуум сири розсільні","272.16","50.00","410.00","1","3.23","879.08","1,324.30"
"8","1220","Сир косичка біла Полтав Сир розсільний сулугуні","326.88","50.00","500.00","1","0.00","0.00","0.00"
"9","1221","косичка житомир вакуум заможня","251.76","50.00","380.00","1","0.00","0.00","0.00"
"10","1233","Сир український продукт (ваговий)","134.50","50.00","202.00","1","0.00","0.00","0.00"
"11","1254","косичка палочка асорті","227.00","50.00","333.00","1","1.53","347.76","510.16"
"12","1280","Сир косичка Монашиські сири ( фасований горянка)","280.80","50.00","421.00","1","0.70","197.40","295.96"
"13","1284","Сир плавлений ковбасно-копчений НМ гурман","291.84","40.00","409.00","1","0.37","108.27","151.74"
"14","2100003002648","Сир Гауда Горянка ваговий","246.36","35.00","333.00","1","0.31","77.36","104.56"
"15","2100004003927","Сир мармуровий Горянка ваговий","279.72","35.00","378.00","1","1.36","379.30","512.57"
"16","2201068902581","бринза болгарська НАК 0.258г Горянка","227.00","29.69","295.00","1","0.01","3.18","4.13"
"17","2202706126659","сирний продукт тульчинка","158.00","50.00","237.00","1","0.00","0.00","0.00"
"18","2203168105022","Продукт м/в сирний Чедер 45% ТМ Горянка","206.88","50.00","310.00","1","0.50","103.65","155.31"
"19","2369499001263","Бринза по-болгарськи Монашинські сири 45% жиру","214.00","29.91","278.00","0","0.00","0.00","0.00"
"20","2805740014304","Салямі сир Серенада 45%","275.50","35.00","375.00","1","0.00","0.00","0.00"
"21","2805740015509","Сир серенада Salami 1,5kg","346.00","30.06","450.00","1","0.00","0.00","0.00"
"22","2840050003396","Сир блакитний Лазур з пліснявою 340г","452.00","29.87","587.00","1","0.00","0.00","0.00"
"23","4750025470697","М'який сир RASA класичний 180г","84.36","30.00","110.00","0","0.00","0.00","0.00"
"24","4820009350526","Сир плавлений асорті зі смак грибів, оригін зі смаком бекону звени гора","55.68","40.00","78.00","0","2.00","111.36","156.00"
"25","4820009352476","Сир твердий голандський брусковий 45% 150 г Звени гора","76.20","40.00","107.00","0","1.00","76.20","107.00"
"26","4820009353695","Сир твердий україн традиційний 50% 150 г Звени гора","76.80","40.00","108.00","0","2.00","153.60","216.00"
"27","4820009354357","Крем-сир класичний звени Гора 130 г","46.68","35.00","66.00","0","2.00","93.36","132.00"
"28","4820009354371","Крем-сир зі смаком весняної зелені 130 г","46.68","35.00","66.00","0","2.00","93.36","132.00"
"29","4820009354395","Крем-сир Звени Гора зі смаком лосося 130 г","48.60","35.00","66.00","0","0.00","0.00","0.00"
"30","4820011063766","Сир Сулугуні Яготенське 300г","62.00","29.03","80.00","0","0.00","0.00","0.00"
"31","4820039803542","Сир ""Горіховий"" 50% ТМ ""Комо"" 150 г","84.00","40.00","118.00","0","0.00","0.00","0.00"
"32","4820039806321","Сир КОМО Сметанковий 50% брусок 150 г.","68.00","40.00","95.00","0","0.00","0.00","0.00"
"33","4820039808387","КОМО Сир твердий ""Традиційний"" 50% 150г БРУСОК","68.00","40.00","95.00","0","0.00","0.00","0.00"
"34","4820149829616","Сир Пріма гранде витриманий 50% 150г","107.00","30.84","140.00","0","0.00","0.00","0.00"
"35","4820222762632","Молоко 2.5% Галичина 900 г мяка уп.","36.00","33.00","48.00","0","7.00","252.00","336.00"
"36","4820226167679","Сир кисломолочний Простонаше 300г","82.28","40.00","115.00","0","0.00","0.00","0.00"
"37","4820245520974","Сир плавлений Вершковий смак Тульчинка 70г","12.00","25.00","15.00","0","0.00","0.00","0.00"
"38","4820245520998","Сир плавлений Голландський смак Тульчинка 70г","12.00","25.00","15.00","0","0.00","0.00","0.00"
"39","4820245529519","Сир плавлений вершковий Ферма 70г","18.55","30.00","25.00","0","25.00","463.75","625.00"
"40","4820254401516","Молоко 2.5% Молочна Долина","28.30","30.00","39.00","0","23.00","650.90","897.00"
"41","4820285110173","Сир плавлений Вершковий Комо","20.00","30.00","26.00","0","12.00","240.00","312.00"
"42","4820292760316","Моцарела до піци Горянка 0.280г","60.96","35.00","86.00","0","6.00","365.76","516.00"
"43","4820292760330","Сулугуні Горянка 0.280г","60.96","40.00","86.00","0","4.00","243.84","344.00"
"44","4820301130031","сирок глазурований зі смаком полуниці 35г дари карпат","14.04","50.00","21.00","0","11.00","154.44","231.00"
"45","4823039001475","Продукт молоковмісний Сир плавлений Янтар 180г  ванночка","33.48","29.41","44.00","0","3.00","100.44","132.00"
"46","4823039003929","Янтар Туба 200г. ТМ Наш Сирок","39.72","31.58","53.00","0","10.00","397.20","530.00"
"47","4823039004896","Сир плав. Вершковий 70г Наш Сирок","18.00","27.78","23.00","0","0.00","0.00","0.00"
"48","4823039004902","Сир плав. Голландський 70г Наш Сирок","18.00","27.78","23.00","0","0.00","0.00","0.00"
"49","4823039004919","Сир плав. Дружба 70г Наш Сирок","18.00","27.78","23.00","0","0.00","0.00","0.00"
"50","4823039005138","Сир плавлений Cheddario ТМ ""Molendam""","18.01","38.00","25.00","0","2.00","36.02","50.00"
"51","4823039005718","Сир плавлений Gouda ТМ ""Molendam""","18.01","38.00","25.00","0","5.00","90.05","125.00"
"52","4823039010347","Сир плав. Сметанковий смак 70г Наш Сирок","18.00","27.78","23.00","0","0.00","0.00","0.00"
"53","4823039010705","Сир плавлений Crema ТМ ""Molendam""","18.01","38.00","25.00","0","12.00","216.12","300.00"
"54","4823039011566","Сир плавлений Наш молочник український 70г","13.08","30.77","17.00","0","0.00","0.00","0.00"
"55","5760466872102","Сир ананас Castello Frischkase - Ananas","95.00","30.00","130.00","0","2.00","190.00","260.00"
"56","5900120064294","Сир книжка дуо пак святовід0,250 (Гауда)","77.50","40.00","109.00","0","0.00","0.00","0.00"
"57","5900120064300","Сирна нарізка світовід 250 г","77.50","40.00","109.00","0","0.00","0.00","0.00"
"58","5900512110189","сир гауда світовід 300 нарізка","90.00","40.00","126.00","0","5.00","450.00","630.00"
"59","5900512110196","сирна нарізка світовід 300","90.00","40.00","130.00","0","0.00","0.00","0.00"
"60","5900512700014","Сир Фета Ser Favita salatkowy - kanapkowy 270г  Польша Млековіта","55.50","30.00","73.00","0","4.00","222.00","292.00"
"61","5900512980539","Mlekovita Сир з пліснявою Камамбер 120г Інко-Фуд","55.00","30.36","73.00","0","0.00","0.00","0.00"
"62","5900512980782","Млековіта Сир з пліснявою La Polle 120г","60.00","35.00","81.00","0","2.00","120.00","162.00"
"63","5900512980812","Сир  Брі Білий Млековіта","56.00","35.00","77.00","0","0.00","0.00","0.00"
"64","5900552012504","Сирнек на зимно Gellwe 193г","72.00","25.00","90.00","0","2.00","144.00","180.00"
"65","5900820009250","Сир Ліліпут 350гр Польша","118.00","40.00","166.00","0","2.00","236.00","332.00"
"66","5900820011468","Намазка Laciaty класична 135г","42.00","35.00","59.00","0","10.00","420.00","590.00"
"67","5900820011499","крем сир лаціата часник","43.00","35.00","58.00","0","2.00","86.00","116.00"
"68","5900820011512","Намазка Laciaty цибуля 135г","42.50","35.00","58.00","0","0.00","0.00","0.00"
"69","5900820014698","Сир книжка Mlekpol edamgaud","92.50","40.00","137.00","0","12.00","1,110.00","1,644.00"
"70","5900820016036","Сирок сметанковий натур. Mleczarnia, 1кг","256.00","30.00","333.00","0","1.00","256.00","333.00"
"71","5900820016197","Намазка laciaty з часником і зеленню 135г","43.00","35.00","58.00","0","1.00","43.00","58.00"
"72","5900820016203","крем сир лаціата помідор","43.00","35.00","58.00","0","0.00","0.00","0.00"
"73","5900820018054","Сир Моцарела 300г. Млековіта","96.00","35.00","130.00","0","5.00","480.00","650.00"
"74","5900820019105","Намазка Laciaty лосось 135г","36.50","30.00","49.00","0","0.00","0.00","0.00"
"75","5900820019112","крем сир лаціата оливка","43.00","35.00","58.00","0","1.00","43.00","58.00"
"76","5900820020323","намазка лаціата 135 гриби","43.00","35.00","57.00","0","2.00","86.00","114.00"
"77","5900820021108","Сир Swiatowid Liliput 350гр.Польша","118.00","30.51","154.00","0","0.00","0.00","0.00"
"78","5900857007694","Сир Королівський, серенада 250г.Польша","84.50","35.00","115.00","0","7.00","591.50","805.00"
"79","5900857007793","Сирна нарізка серенада 135 г","54.00","40.00","76.00","0","0.00","0.00","0.00"
"80","5900857007953","сирна нарізка салямі кружочки  135г серенада","50.50","40.00","83.00","0","4.00","202.00","332.00"
"81","5900857008998","сир нарізка радомер серенада 135","50.00","35.00","68.00","0","3.00","150.00","204.00"
"82","5900857009032","Сир нарізка Krolewiecki 135гр Польша","56.00","30.36","73.00","0","0.00","0.00","0.00"
"83","5900857014326","сир серенада король 250","84.50","35.00","114.00","0","0.00","0.00","0.00"
"84","5900857030166","Сир твердий ТМ Spomlek - 45%. Радомер порционный Польша 250грам 1шт/уп","87.50","40.00","123.00","0","0.00","0.00","0.00"
"85","5900857030180","сир гауда 250 грм польща","87.50","40.00","123.00","0","0.00","0.00","0.00"
"86","5901126000958","тостові лактіма 130","40.00","35.00","54.00","0","10.00","400.00","540.00"
"87","5901126012319","Сир Лактіма Емменталер слайси 130 гр. Польша","43.00","30.00","56.00","0","0.00","0.00","0.00"
"88","5901126012623","тостові лактіма 130","43.00","35.00","58.00","0","1.00","43.00","58.00"
"89","5901126012630","Сир плавленний тостовий ТМ Lactima - 40%. Тост 130грам 1шт/уп (1.0 шт)","43.00","35.00","58.00","0","0.00","0.00","0.00"
"90","5901390006526","Сир мякий з пліснявою Турек Камамберг 60% 120 г","80.64","30.00","110.00","0","3.00","241.92","330.00"
"91","5901390006540","Сир мякий з пліснявою Турек брі 51 % 125 г","89.88","35.00","125.00","0","3.00","269.64","375.00"
"92","5901753000376","сир король нарізка 150","62.50","40.00","88.00","0","0.00","0.00","0.00"
"93","5903312002418","Сир гауда 300г світовід польща","86.00","40.00","120.00","0","0.00","0.00","0.00"
