"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820000192101","""БІРМІКС ЛИМОН"" , банка  0,5л","37.11","35.00","50.00","0","3.00","111.33","150.00"
"2","4820000193238","Пиво оболонь Бірмікс малина 0.5 бан","37.11","35.00","50.00","0","1.00","37.11","50.00"
"3","4820000197434","Бренді Кола 0.33 Са напій","30.11","35.00","41.00","0","6.00","180.66","246.00"
"4","4820000197458","С/а напій ""Ром кола "" 0,33л","30.11","35.00","42.00","0","6.00","180.66","252.00"
"5","4820000454759","Айс Мікс Лайм  0,5л ПЕТ Нове","45.77","38.00","61.00","0","7.00","320.39","427.00"
"6","4820000456906","Сидр <СOMEPCБI> з соком чорниці банка 0,5л","44.00","29.55","57.00","0","0.00","0.00","0.00"
"7","4820000457217","Сидр <СOMEPCБI> з соком чорниці <SOMERSBY> 0,5л бут","48.95","30.43","65.00","0","5.00","244.75","325.00"
"8","4820000457668","Сидр <СOMEPCБI> Солодкий  0.5л пляшка  Нове","48.95","35.00","66.00","0","1.00","48.95","66.00"
"9","4820000457675","Сидр <СOMEPCБI>Солодкий ПЕТ 0,95 л  Нове","64.33","32.13","85.00","0","0.00","0.00","0.00"
"10","4820000458092","Сидр СОМЕРСБІ з грушевим соком 0.5 банка","46.67","35.00","63.00","0","2.00","93.34","126.00"
"11","4820000458177","Сидр <СOMEPCБI>з соком чорниці ПЕТ 0,95 л","64.33","32.13","85.00","0","3.00","192.99","255.00"
"12","4820000459891","Сидр <СOMEPCБI> Солодкий банка 0,5л","44.00","29.55","60.00","0","0.00","0.00","0.00"
"13","4820002712314","Сидр солодок ""Сібер Яблуко"" 0,8 л","50.77","30.00","66.00","0","3.00","152.31","198.00"
"14","4820002712949","""Сібер Яблуко""(""Ciber APPLE"")солодкий, банка 0,5л","39.80","23.12","49.00","0","1.00","39.80","49.00"
"15","4820002712970","Сидр зі смаком Фраголіно Россо 0,5/бан","45.36","25.66","57.00","0","5.00","226.80","285.00"
"16","4820002712987","""Сидр Вілла Бьянка зі смаком Фраголіно""Бьянко, банка 0,5л","45.36","30.00","59.00","0","3.00","136.08","177.00"
"17","4820002712994","""Сидр Вілла Бьянка зі смаком Фраголіно""Россо, банка 0,33л FIT","34.16","31.73","45.00","0","0.00","0.00","0.00"
"18","4820002713007","""Сидр Вілла Бьянка зі смаком Фраголіно""Бьянко, банка 0,33л FIT","34.16","25.88","43.00","0","3.00","102.48","129.00"
"19","4820002713632","Сидр зі смаком Фраголіно Белліні 0,5/бан","28.99","24.18","36.00","0","2.00","57.98","72.00"
"20","4820002713649","""Сидр Вілла Бьянка зі смаком Фраголіно""Белліні, банка 0,33л","21.00","115.00","43.00","0","4.00","84.00","172.00"
"21","4820002713854","""СІБЕР ВИШНЯ""(""CIBER CHERRY"")солодкий,  банка 0,5л","39.80","23.12","49.00","0","3.00","119.40","147.00"
"22","4820002713953","""Сидр Вілла Бьянка зі смаком Шардонне"" Бьянко банка 0,5л","27.61","95.58","54.00","0","0.00","0.00","0.00"
"23","4820029431083","""Смак Джин Тонік"" 0,33л","27.32","35.43","37.00","0","0.00","0.00","0.00"
"24","4820029431090","Смак Бренді Кола 0,33л","27.32","35.43","37.00","0","0.00","0.00","0.00"
"25","4820029431106","Смак Ром Кола 0,33л","30.11","35.00","41.00","0","0.00","0.00","0.00"
"26","4820029432028","""Смак Джин Грейпфрут"" 0,33л","30.11","35.00","40.00","0","4.00","120.44","160.00"
"27","4820029432141","""Смак Текіла Лайм"" 0,33л","27.32","35.43","37.00","0","0.00","0.00","0.00"
"28","4820097892328","Напій рево вишня 0.5  ен ж\б","46.80","35.00","63.00","0","0.00","0.00","0.00"
"29","4820193034516","с/а Оболонь Джин Грейпфрут 0.5 банка","37.88","24.90","47.00","0","0.00","0.00","0.00"
"30","4820193036756","С/а напій ""Дзен зі смаком коктейлю ""БОРА БОРА"" 0,5","39.87","30.00","53.00","0","2.00","79.74","106.00"
"31","4820193038941","""БІРМІКС КАВУН"" , банка 0,5л","37.11","37.97","52.00","0","1.00","37.11","52.00"
"32","4820193039641","С/а напій ""Джин Вишня"" 0,33л","30.11","35.00","41.00","0","5.00","150.55","205.00"
"33","4820193039658","Сф напій Джин вишня 0.5 банка","33.84","35.00","46.00","0","1.00","33.84","46.00"
"34","4820250942686","Сидр Сомерсбі смак малина-лайм 0.5 банка","46.67","35.00","63.00","0","2.00","93.34","126.00"
"35","4820250942709","Сидр <СOMEPCБI> смак Малина-Лайм 0.33л пл","32.00","28.13","41.00","0","0.00","0.00","0.00"
"36","4820250943829","Сидр міцний ""Дольчеліні Бянко зі смаком Ламбруско ПЕТ 0,8","64.13","37.22","88.00","0","2.00","128.26","176.00"
"37","4820250943867","Сидр міцний ""Дольчеліні Россо зі смаком Ламбруско ПЕТ 0,8","64.13","37.22","88.00","0","2.00","128.26","176.00"
"38","4820250944819","Сомерсбі полуниця лайм 0.33","32.61","30.00","43.00","0","2.00","65.22","86.00"
"39","4820250944840","Сидр <СOMEPCБI> смак Персик Гуава банка 0,5л","44.47","35.00","60.00","0","0.00","0.00","0.00"
"40","4820250944864","Сидр <СOMEPCБI> смак персик-гуава ПЕТ 0,95 л","67.52","36.26","92.00","0","0.00","0.00","0.00"
"41","4820252124578","Напій рево манго 0.5 л с/а ен ж/б 8.5%","46.80","40.00","66.00","0","2.00","93.60","132.00"
"42","4820271511779","вино с/а газ фрателлі москато бьянко 0,33? Fratelli ж/б","38.25","40.00","54.00","0","2.00","76.50","108.00"
"43","4820301160021","Напій винний слабоалког газ напівсол туріно фраголіно салюте росо 0,75","129.66","35.00","175.00","0","4.00","518.64","700.00"

